id,descripcion
1,Abacavir
2,Acarbosa
3,Aceclofenaco
4,Aceite de ricino
5,Acenocumarol
6,Acetato potásico
7,Acetilcisteína
8,Aciclovir
9,Ácido acetilsalicílico
10,Ácido alendrónico
11,Ácido ascórbico
12,Ácido azelaico
13,Ácido carglúmico
14,Ácido cítrico anhidro
15,Ácido clavulánico
16,Ácido cromoglícico
17,Ácido dobesílico
18,Ácido fólico
19,Ácido fusídico
20,Ácido hialurónico
21,Ácido ibandrónico
22,Ácido láctico
23,Ácido micofenólico
24,Ácido picosulfúrico
25,Ácido risedrónico
26,Ácido salicílico
27,Ácido tiludrónico
28,Ácido tranexámico
29,Ácido ursodeoxicólico
30,Ácido ursodesoxicólico
31,Ácido valproico
32,Ácido zoledrónico
33,Adapaleno
34,Adefovir
35,Adenosina
36,Agomelatina
37,Albendazol
38,Alcanfor
39,Alcohol diclorobencílico
40,Alcohol polivinílico
41,Alfacalcidol
42,Alfuzosina
43,Alimemazina
44,Aliskire
45,Alitretinoína
46,Almagato
47,Almotriptá
48,Alopurinol
49,Alprazolam
50,Altizida
51,Aluminio
52,Ambrisenta
53,Ambroxol
54,Amikacina
55,Amilmetacresol
56,Amilorida
57,Amiodarona
58,Amisulprida
59,Amitriptilina
60,Amlodipino
61,Amorolfina
62,Amoxicilina
63,Anagrelida
64,Anastrozol
65,Anfotericina B
66,Antimonio
67,Apraclonidina
68,Aripiprazol
69,Arnica montana
70,Arteméter
71,Asenapina
72,Atenolol
73,Atomoxetina
74,Atorvastatina
75,Atovacuona
76,Atropina
77,Azatioprina
78,Azelastina
79,Azitromicina
80,Bacitracina
81,Baclofeno
82,Bálsamo del Perú
83,Bambuterol
84,Barnidipino
85,Beclometasona
86,Bemiparina
87,Benazepril
88,Bencetonio
89,Bencidamina
90,Benserazida
91,Bentazepam
92,Benzalconio
93,Benzbromarona
94,Benzocaína
95,Betahistina
96,Betametasona
97,Bexaroteno
98,Bezafibrato
99,Bicalutamida
100,Bifonazol
101,Bilastina
102,Biotina
103,Bisacodilo
104,Bisoprolol
105,Brea hulla
106,Brimonidina
107,Brinzolamida
108,Brivudina
