id,numctaant,descripcionant,numctaact,descripcionact,revisar
1,1000,Capital ordinario,100,Capital social,0
2,1001,Capital privilegiado,100,Capital social,0
3,1002,Capital sin derecho a voto,100,Capital social,0
4,1003,Capital con derechos restringidos,100,Capital social,0
5,110,Prima de emisión de acciones,110,Prima de emisión o asunción,0
6,111,Reservas de revalorización,113,Reservas voluntarias,1
7,113,Reservas especiales,114,Reservas especiales,0
8,114,Reservas para acciones de la sociedad dominante,1140,Reservas para acciones o participaciones de la sociedad dominante,0
9,115,Reservas para acciones propias,1144,Reservas por acciones propias aceptadas en garantía,0
10,116,Reservas estatutarias,1141,Reservas estatutarias,0
11,117,Reservas voluntarias,113,Reservas voluntarias,0
12,118,Reserva por capital amortizado,1142,Reserva por capital amortizado,0
13,119,Diferencias por redenominación del capital en euros.,119,Diferencias por ajuste del capital a euros.,0
14,122,Aportaciones de socios por compensación de pérdidas,118,Aportaciones de socios o propietarios,0
15,129,Pérdidas y ganancias,129,Resultado del ejercicio,0
16,1300,Subvenciones del Estado,130,Subvenciones oficiales de capital,0
17,1301,Subvenciones de otras Administraciones Públicas,130,Subvenciones oficiales de capital,0
18,131,Subvenciones de capital,131,Donaciones y legados de capital,0
19,135,Ingresos por intereses diferidos,113,Reservas voluntarias,1
20,136,Diferencias positivas en moneda extranjera,135,Diferencias de conversión,0
21,137,Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios,1370,Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios,0
22,138,Ingresos fiscales por deducciones y bonificaciones fiscales a distribuir en varios ejercicios,1371,Ingresos fiscales por deducciones y bonificaciones a distribuir en varios ejercicios,0
23,140,Provisión para pensiones y obligaciones similares,140,Provisión por retribuciones a largo plazo al personal,0
24,142,Provisión para responsabilidades,142,Provisión para otras responsabilidades,0
25,143,Provisión para grandes reparaciones,143,"Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado",0
26,144,Fondo de reversión,142,Provisión para otras responsabilidades,0
27,150,Obligaciones y bonos,177,Obligaciones y bonos,0
28,1500,Obligaciones y bonos simples,177,Obligaciones y bonos,0
29,1501,Obligaciones y bonos garantizados,177,Obligaciones y bonos,0
30,1502,Obligaciones y bonos subordinados,177,Obligaciones y bonos,0
31,1503,Obligaciones y bonos cupón cero,177,Obligaciones y bonos,0
32,1504,Obligaciones y bonos con opción de adquisición de acciones,177,Obligaciones y bonos,0
33,1505,Obligaciones y bonos con participación en beneficios,177,Obligaciones y bonos,0
34,151,Obligaciones y bonos convertibles,178,Obligaciones y bonos convertibles,0
35,155,Deudas representadas en otros valores negociables,179,Deudas representadas en otros valores negociables,0
36,160,Deudas a largo plazo con empresas del grupo,1633,"Otras deudas a largo plazo, empresas del grupo",0
37,1600,Préstamos a largo plazo de empresas del grupo,1633,"Otras deudas a largo plazo, empresas del grupo",0
38,1608,Deudas a largo plazo con empresas del grupo por efecto impositivo,1633,"Otras deudas a largo plazo, empresas del grupo",0
39,1609,Otras deudas a largo plazo con empresas del grupo,1633,"Otras deudas a largo plazo, empresas del grupo",0
40,161,Deudas a largo plazo con empresas asociadas,1634,"Otras deudas a largo plazo, empresas  asociadas",0
41,162,Deudas a largo plazo con entidades de crédito del grupo,1603,"Deudas a largo plazo con entidades de crédito, empresas del grupo",0
42,163,Deudas a largo plazo con entidades de crédito asociadas,1604,"Deudas a largo plazo con entidades de crédito, empresas asociadas",0
43,164,"Proveedores de inmovilizado a largo plazo, empresas del grupo",1613,"Proveedores de inmovilizado a largo plazo, empresas del grupo",0
44,165,"Proveedores de inmovilizado a largo plazo, empresas asociadas",1614,"Proveedores de inmovilizado a largo plazo, empresas  asociadas",0
45,1700,Préstamos a largo plazo de entidades de crédito,170,Deudas a largo plazo con entidades de crédito,0
46,1709,Otras deudas a largo plazo de entidades de crédito,170,Deudas a largo plazo con entidades de crédito,0
47,172,Deudas a largo plazo transformables en subvenciones,172,"Deudas a largo plazo transformables en subvenciones, donaciones  y legados",0
48,174,Efectos a pagar a largo plazo,175,Efectos a pagar a largo plazo,0
49,190,Accionistas por desembolsos no exigidos,103,Socios por desembolsos no exigidos,0
50,191,"Accionistas por desembolsos no exigidos, empresas del grupo",103,Socios por desembolsos no exigidos,0
51,192,"Accionistas por desembolsos no exigidos, empresas asociadas",103,Socios por desembolsos no exigidos,0
52,193,Accionistas por aportaciones no dinerarias pendientes,104,Socios por aportaciones no dinerarias pendientes,0
53,194,"Accionistas por aportaciones no dinerarias pendientes, empresas del grupo",104,Socios por aportaciones no dinerarias pendientes,0
54,195,"Accionistas por aportaciones no dinerarias pendientes, empresas asociadas",104,Socios por aportaciones no dinerarias pendientes,0
55,196,"Socios, parte no desembolsada",103,Socios por desembolsos no exigidos,0
56,198,Acciones propias en situaciones especiales,108,Acciones o participaciones propias en situaciones especiales,0
57,199,Acciones propias para reducción de capital,109,Acciones o participaciones propias para reducción de capital,0
58,200,Gastos de constitución,113,Reservas voluntarias,1
59,201,Gastos de primer establecimiento,113,Reservas voluntarias,1
60,202,Gastos de ampliación de capital,113,Reservas voluntarias,1
61,210,Gastos de investigación y desarrollo,200,Investigación,1
62,2100,Gastos de investigación y desarrollo en proyectos no terminados,200,Investigación,1
63,2101,Gastos de investigación y desarrollo en proyectos terminados,200,Investigación,1
64,211,Concesiones administrativas,202,Concesiones administrativas,0
65,212,Propiedad industrial,203,Propiedad industrial,0
66,213,Fondo de comercio,204,Fondo de comercio,0
67,214,Derechos de traspaso,205,Derechos de traspaso,0
68,215,Aplicaciones informáticas,206,Aplicaciones informáticas,0
69,217,Derechos sobre bienes en régimen de arrendamiento financiero.,200,Investigación,1
70,219,Anticipos para inmovilizaciones inmateriales,209,Anticipos para inmovilizaciones intangibles,0
71,220,Terrenos y bienes naturales,210,Terrenos y bienes naturales,0
72,221,Construcciones,211,Construcciones,0
73,222,Instalaciones técnicas,212,Instalaciones técnicas,0
74,223,Maquinaria,213,Maquinaria,0
75,224,Utillaje,214,Utillaje,0
76,225,Otras instalaciones,215,Otras instalaciones,0
77,226,Mobiliario,216,Mobiliario,0
78,227,Equipos para proceso de información,217,Equipos para proceso de información,0
79,228,Elementos de transporte,218,Elementos de transporte,0
