id,claveFiltro,nombre,campo,orden,campovisualizacion,etiquetasini,tipofiltro,Visible,consultaindependiente,subClave,modofiltro,consultacombo,combovaloresUsu,disponible
1,ControlClientes,Todos los teléfonos,smovilcli|stelefonocli|telefono2|telefono3,3,,0,0,True,,,,,,1
2,ControlClientes,func:GetEtiqNombreCliente,snombrecli,1,,1,3,True,,,,,,1
3,ControlClientes,Correo electrónico,email,4,,0,3,True,(icodcli IN (select icodcli from diremailcli dec where email like '%{0}%')),,,,,1
4,ControlClientes,NIF/CIF,snifcli,2,,0,0,True,,,,,,1
5,ControlClientes,Número,codigo,5,!bvercamponumerico,0,0,False,,,,,,1
6,ControlClientes,Dirección,sdomiciliocli,6,,0,0,False,,,,,,1
7,ControlClientes,clinombrecomercial,snombreclicomercial,7,bvernomcomercialcli,1,0,False,,ControlClientes,,,,1
8,ControlClientes,Población,spoblacioncli,8,,0,0,False,,,,,,1
9,ControlClientes,Provincia,sprovinciacli,9,,0,0,False,,,,,,1
10,ControlClientes,Código Postal,scodpostalcli,10,,0,0,False,,,,,,1
11,ControlClientes,País,snombrepais,11,,0,0,False,,,,,,1
12,ControlClientes,Teléfono,stelefonocli,12,,0,0,False,,,,,,1
13,ControlClientes,Teléfono 2,telefono2,13,,0,0,False,,,,,,1
14,ControlClientes,Teléfono 3,telefono2,14,,0,0,False,,,,,,1
15,ControlClientes,clienfax,sfaxcli,15,,1,0,False,,,,,,1
16,ControlClientes,Móvil,smovilcli,16,,0,0,False,,,,,,1
17,ControlClientes,Página Web,pagweb,17,,0,0,False,,,,,,1
18,ControlClientes,CCC,cuentabanco,18,,0,0,False,,,,,,1
19,ControlClientes,Notas,notas,19,,0,0,False,,,,,,1
20,ControlClientes,Nacionalidad,nacionalidad,20,bvernacionalidadcli,0,0,False,,ControlClientes,,,,1
21,ControlClientes,Estado,estadocli,21,,0,0,False,,,,,,1
22,ControlExpedientes,Cliente,snombreclitodos,1,,1,3,True,idexp IN (SELECT ECP.inumexp * CAST(10000 as bigint) + ECP.iyear as idexp    FROM [[instancia]advabousu[empresa]].dbo.exclipro ECP    JOIN [[instancia]advabousu[empresa]].dbo.clientes C ON ECP.icodcli = C.icodcli    WHERE C.tipobd = 0 AND C.snombrecli LIKE '%{0}%'),ControlExpedientes,,,,1
23,ControlExpedientes,EtiqDescripExpediente,descripcion,2,,1,3,True,,,,,,1
24,ControlExpedientes,EtiqTipoExpediente,tipoexp,4,,1,3,False,,,,,,1
25,ControlExpedientes,EtiqNumExpediente,expediente,21,,1,3,False,,,,,,1
26,ControlExpedientes,ContrarioTituloSingular,contrariotodos,2,bverficcont,1,3,True, exists (SELECT 1 FROM [[instancia]advabousu[empresa]].dbo.exclicon ECC   JOIN [[instancia]advabousu[empresa]].dbo.cliecont CC ON ECC.icodclicon = CC.icodclicon   WHERE ECC.inumexp = [nomTablaGestor].inumexp and ECC.iyear = [nomTablaGestor].iyear and  CC.snombreclicon LIKE '%{0}%') ,ControlExpedientes,,,,1
27,ControlExpedientes,Núm Autos,snumasuntotodos,3,bverficjuzga,0,3,True,idexp IN (SELECT EJ.numexp * CAST(10000 as bigint) + EJ.iyear as idexp    FROM [[instancia]advabousu[empresa]].dbo.expjuzga EJ   WHERE EJ.numasunto LIKE '%{0}%'),ControlExpedientes,,,,1
28,ControlExpedientes,JuzgadoTituloSingular,juzgado,1,bverficjuzga,1,3,False,,,,,,1
29,ControlExpedientes,EtiqAbogadoPropio,abopropiotodos,1,bverficabog,1,3,False,idexp IN (SELECT EPP.inumexp * CAST(10000 as bigint) + EPP.iyear as idexp    FROM [[instancia]advabousu[empresa]].dbo.expropro EPP    JOIN [[instancia]advabousu[empresa]].dbo.abogados A ON EPP.icodpro = A.icodabo   WHERE A.snombreabo LIKE '%{0}%'),ControlExpedientes,,,,1
30,ControlExpedientes,Ref. Propia,srefabogado,28,bverrefpropia,1,3,False,,,,,,1
31,ControlExpedientes,EtiqRefExpediente,srefcliente,5,bverrefcliente,1,3,False,,,,,,1
32,ControlExpedientes,NIG,nig,1,bvernigexp,0,3,False,,ControlExpedientes,,,,1
33,ControlExpedientes,cliUsuario,usuario,6,,1,3,False,,,,,,1
34,ControlExpedientes,Tipo Asunto,tipoasunto,1,bvertipoasunto,0,3,False,,,,,,1
