id,idPestaña,tipoCampo,etiqueta,columna,visualizar,marcaControl,info,orden,esCampoFijo,entidad1,entidad2
1,1,2,Fecha 1,0,False,False,,0,0,,
2,1,2,Fecha 2,0,False,False,,0,0,,
3,1,2,Fecha 3,0,False,False,,0,0,,
4,1,2,Fecha 4,0,False,False,,0,0,,
5,1,2,Fecha 5,0,False,False,,0,0,,
6,1,2,Fecha 6,0,False,False,,0,0,,
7,2,2,Fecha 1,0,False,False,,0,0,,
8,2,2,Fecha 2,0,False,False,,0,0,,
9,2,2,Fecha 3,0,False,False,,0,0,,
10,2,2,Fecha 4,0,False,False,,0,0,,
11,2,2,Fecha 5,0,False,False,,0,0,,
12,2,2,Fecha 6,0,False,False,,0,0,,
13,3,2,Fecha 1,0,False,False,,0,0,,
14,3,2,Fecha 2,0,False,False,,0,0,,
15,3,2,Fecha 3,0,False,False,,0,0,,
16,3,2,Fecha 4,0,False,False,,0,0,,
17,3,2,Fecha 5,0,False,False,,0,0,,
18,3,2,Fecha 6,0,False,False,,0,0,,
19,4,2,Fecha 1,0,True,False,,,0,,
20,4,2,Fecha 2,0,True,False,,,0,,
21,4,2,Fecha 3,0,True,False,,,0,,
22,4,2,Fecha 4,0,True,False,,,0,,
23,4,2,Fecha 5,0,True,False,,,0,,
24,4,2,Fecha 6,0,True,False,,,0,,
25,5,2,Fecha 1,0,False,False,,0,0,,
26,5,2,Fecha 2,0,False,False,,0,0,,
27,5,2,Fecha 3,0,False,False,,0,0,,
28,5,2,Fecha 4,0,False,False,,0,0,,
29,5,2,Fecha 5,0,False,False,,0,0,,
30,5,2,Fecha 6,0,False,False,,0,0,,
31,6,2,Fecha 1,0,True,False,,,0,,
32,6,2,Fecha 2,0,True,False,,,0,,
33,6,2,Fecha 3,0,True,False,,,0,,
34,6,2,Fecha 4,0,True,False,,,0,,
35,6,2,Fecha 5,0,True,False,,,0,,
36,6,2,Fecha 6,0,True,False,,,0,,
37,7,2,Fecha 1,0,True,False,,,0,,
38,7,2,Fecha 2,0,True,False,,,0,,
39,7,2,Fecha 3,0,True,False,,,0,,
40,7,2,Fecha 4,0,True,False,,,0,,
41,7,2,Fecha 5,0,True,False,,,0,,
42,7,2,Fecha 6,0,True,False,,,0,,
43,8,2,Fecha 1,0,True,False,,,0,,
44,8,2,Fecha 2,0,True,False,,,0,,
45,8,2,Fecha 3,0,True,False,,,0,,
46,8,2,Fecha 4,0,True,False,,,0,,
47,8,2,Fecha 5,0,True,False,,,0,,
48,8,2,Fecha 6,0,True,False,,,0,,
49,9,2,Fecha 1,0,True,False,,,0,,
50,9,2,Fecha 2,0,True,False,,,0,,
51,9,2,Fecha 3,0,True,False,,,0,,
52,9,2,Fecha 4,0,True,False,,,0,,
53,9,2,Fecha 5,0,True,False,,,0,,
54,9,2,Fecha 6,0,True,False,,,0,,
55,10,2,Fecha 1,0,False,False,,0,0,,
56,10,2,Fecha 2,0,False,False,,0,0,,
57,10,2,Fecha 3,0,True,False,,,0,,
58,10,2,Fecha 4,0,False,False,,0,0,,
59,10,2,Fecha 5,0,False,False,,0,0,,
60,10,2,Fecha 6,0,False,False,,0,0,,
61,11,2,Fecha 1,0,True,False,,,0,,
62,11,2,Fecha 2,0,True,False,,,0,,
63,11,2,Fecha 3,0,True,False,,,0,,
64,11,2,Fecha 4,0,True,False,,,0,,
65,11,2,Fecha 5,0,True,False,,,0,,
66,11,2,Fecha 6,0,True,False,,,0,,
67,12,2,Fecha 1,0,True,False,,,0,,
68,12,2,Fecha 2,0,True,False,,,0,,
69,12,2,Fecha 3,0,True,False,,,0,,
70,12,2,Fecha 4,0,True,False,,,0,,
71,12,2,Fecha 5,0,True,False,,,0,,
72,12,2,Fecha 6,0,True,False,,,0,,
73,13,2,Fecha 1,0,True,False,,,0,,
74,13,2,Fecha 2,0,True,False,,,0,,
75,13,2,Fecha 3,0,True,False,,,0,,
76,13,2,Fecha 4,0,True,False,,,0,,
77,13,2,Fecha 5,0,True,False,,,0,,
78,13,2,Fecha 6,0,True,False,,,0,,
79,14,2,Fecha 1,0,False,False,,0,0,,
80,14,2,Fecha 2,0,False,False,,0,0,,
81,14,2,Fecha 3,0,False,False,,0,0,,
82,14,2,Fecha 4,0,False,False,,0,0,,
83,14,2,Fecha 5,0,False,False,,0,0,,
84,14,2,Fecha 6,0,False,False,,0,0,,
85,15,2,Fecha 1,0,True,False,,,0,,
86,15,2,Fecha 2,0,True,False,,,0,,
87,15,2,Fecha 3,0,True,False,,,0,,
88,15,2,Fecha 4,0,True,False,,,0,,
89,15,2,Fecha 5,0,True,False,,,0,,
90,15,2,Fecha 6,0,True,False,,,0,,
91,16,2,Fecha 1,0,True,False,,,0,,
92,16,2,Fecha 2,0,True,False,,,0,,
93,16,2,Fecha 3,0,True,False,,,0,,
94,16,2,Fecha 4,0,True,False,,,0,,
95,16,2,Fecha 5,0,True,False,,,0,,
96,16,2,Fecha 6,0,True,False,,,0,,
97,15,2,Fecha Última Cita,0,True,False,,,0,,
98,15,2,Fecha Próxima Cita,0,True,False,,,0,,
99,15,2,Fecha Último Contacto,0,True,False,,,0,,
100,15,0,Días desde última Cita,1,True,False,Días|Hoy|97|,,0,,
101,15,0,Días hasta próxima Cita,1,True,False,Días|98|Hoy|,,0,,
102,15,0,Días desde Último Contacto,1,True,False,Días|Hoy|99|,,0,,
103,16,2,Fecha Inicio Tarea,0,True,False,,,0,,
104,16,2,Fecha Actuación,0,True,False,,,0,,
