id,nombre,texto,accion,campoVisualizacion,usarEtiquetasIni,idPadre,esConfiguracion,icono,orden,campoPermiso,tipoAcceso
1,Bases de Datos,Bases de Datos,,,0,0,0,basesdatos_16x16,0,,
2,Potenciales,func:EtiqPotenciales|true,AbrirModulo|29,bverpotenciales,1,1,0,,20,clipotenper,
3,Clientes,EtiqClientesProp,AbrirModulo|30,bVerBaseDatosClientes,1,1,0,,30,,
4,Alumnos,EtiqAlumnosProp,AbrirModulo|38,bveralumno,1,1,0,,40,,
5,Pacientes,Pacientes,AbrirModulo|37,bverpaciente,0,1,0,,50,,
6,Expedientes,EtiqExpedientesProp,,bVerExpedientes[AND]!bTipoExpMenuPrincipal,1,0,0,expedientes_16x16,10,ExpPer,
7,Trabajadores,Trabajadores,AbrirModulo|40,bvertrabajador,0,1,0,,70,,
8,Terceros,EtiqTercerosProp,AbrirModulo|41,bVerTerceros,1,1,0,,80,permisoAccion:VerListadoTerceros,
9,Proveedores,Proveedores,AbrirModulo|34,bverproveedor,0,1,0,,90,!bOcultarBDProveedor,
10,Aseguradoras,Aseguradoras,AbrirModulo|42,bvermutua,0,1,0,,100,,
11,Mascotas,EtiqMascotasProp,AbrirModulo|46,bvermascota,1,1,0,,110,,
12,Compañías,Compañías,AbrirModulo|43,bvercompania,0,1,0,,120,,
13,Voluntarios,Voluntarios,AbrirModulo|44,bvervoluntarios,0,1,0,,130,,
14,Financiadores,Financiadores,AbrirModulo|45,bVerFinancieras,0,1,0,,140,,
15,Tercera Edad,Tercera Edad,AbrirDelphi|22,bverterceraedad,0,1,0,,150,,
16,Ficheros,Ficheros,,TieneFicherosActivados,0,1,0,,170,,
17,Contactos,TituloFormCorConPral,AbrirTipoFichero|7,bverficconta,1,16,0,,10,,
18,Contrarios,ContrarioTituloPlural,AbrirTipoFichero|1,bverficcont,1,16,0,,20,,
19,Abogados,AbogadoTituloPlural,AbrirTipoFichero|2,bverficabog,1,16,0,,30,,
20,Procuradores,ProcuradorTituloPlural,AbrirTipoFichero|3,bverficproc,1,16,0,,40,,
21,Juzgados,JuzgadoTituloPlural,AbrirTipoFichero|4,bverficjuzga,1,16,0,,50,,
22,Poderes,Poderes,AbrirTipoFichero|6,bverficpode,5,16,0,,60,,
23,Colaboradores,TituloFormColPral,AbrirTipoFichero|0,bverficcolab,1,16,0,,80,,
24,Organismos,Organismos,AbrirTipoFichero|10,bverficorg,0,16,0,,90,,
25,Inmuebles,Inmuebles,AbrirTipoFichero|21,bverficper1,5,16,0,,170,,
26,Notarías,Notarías,AbrirTipoFichero|8,bverficper2,5,16,0,,110,,
27,Promotoras,Promotoras,AbrirDelphi|23,bverficper3,5,16,0,,120,,
28,Vehículos,Vehículos,AbrirTipoFichero|1002,bverficper4,5,16,0,,180,,
29,Agencias Inmobiliarias,Inmobiliarias,AbrirTipoFichero|22,bverficper5,5,16,0,,130,,
30,Constructoras,Constructoras,AbrirDelphi|24,bverficper6,5,16,0,,140,,
31,Fichero Libre,FicheroLibre,AbrirTipoFichero|19,bverficper7,5,16,0,,190,,
32,Fichero Libre 1,FicheroLibre1,AbrirTipoFichero|16,bverficper8,5,16,0,,200,,
33,Fichero Libre 2,FicheroLibre2,AbrirTipoFichero|17,bverficper9,5,16,0,,210,,
34,Fichero Libre 3,FicheroLibre3,AbrirTipoFichero|18,bverficper10,5,16,0,,220,,
35,Peritos,Peritos,AbrirTipoFichero|5,bverficperit,5,16,0,,100,,
36,Talleres,Talleres,AbrirTipoFichero|20,bverfictalle,0,16,0,,150,,
37,Asegurados,Asegurados,AbrirTipoFichero|15,bverasegurados,5,16,0,,160,,
38,Colitigantes,Colitigantes,AbrirTipoFichero|14,bverficcolit,5,16,0,,70,,
39,Agenda,Agenda,,bVerNuevaAgenda,0,0,0,agenda_16x16,50,,
41,Sincronización Agenda,Sincronización Agenda,,bVerSincAgenda,0,39,0,,30,,
42,Office 365/Outlook,Office 365/Outlook,AbrirTipoFichero|1074,,0,41,0,,10,,
43,Google Calendar,Google Calendar,AbrirTipoFichero|1066,,0,41,0,,20,,
44,Correo,Correo,AbrirEjecutable|Correo.exe,bMostrarCorreo,0,624,0,,10,,
45,Cuentas de Correo ,Cuentas de Correo ,AbrirTipoFichero|1077,bMostrarCorreo[OR]esFreemium,0,44,1,,10,,
46,Firmas,Firmas,AbrirTipoFichero|1078,bMostrarCorreo[OR]esFreemium,0,44,1,,20,,
47,Adjuntos,Gestor Documental,,,0,0,0,adjuntos_16x16_2,40,,
48,Carpeta de Almacenamiento,Carpeta de Almacenamiento,"AbrirEjecutable|ConfigGenerales.exe,ConfigCarpetaAlmacenamiento",bvervisordocumental,0,47,1,,10,,
50,Control de Adjuntos,Control de Adjuntos,AbrirTipoFichero|992,bverControlAdjuntos,0,47,0,,30,,
51,Documentación Interna,Documentación Interna,AbrirEjecutable|DocumentacionInterna.exe,bverdocuminterna,0,47,0,,40,,
52,Facturación Emitida,Facturación Emitida,,bVerFacturacion,0,351,0,,20,,
53,Facturas,Facturas,AbrirModulo|21,bVerFacturacion,0,52,0,,10,FactPerEmitida,
56,Proformas,Proformas,AbrirModulo|24,bVerFacturacion[AND]True[AND]bverproforma,0,52,0,,20,FactPerEmitida,
59,Presupuestos,Presupuestos,AbrirModulo|27,bVerFacturacion[AND]True[AND]bverPresupuesto,0,52,0,,30,FactPerEmitida,
62,Albaranes,Albaranes,AbrirModulo|25,bVerFacturacion[AND]True[AND]FactPerEmitida|1[AND]bverAlbaran,0,52,0,,40,FactPerEmitida,
65,Pedidos,Pedidos,AbrirModulo|26,bVerFacturacion[AND]True[AND]FactPerEmitida|1[AND]bverPedido,0,52,0,,50,FactPerEmitida,
68,Control de Cuentas,Control de Cuentas,AbrirModulo|2,vermodcuentas,0,52,0,,80,bcontrolcuentas[AND]FactPerEmitida,
69,Cobros,Cobros,AbrirModulo|5,bVerFacturacion[AND]True,0,352,0,,10,CobrosPer,
70,Plantilla Impresión Cobro,Plantilla Impresión Cobro,"AbrirEjecutable|ConfigGenerales.exe,PlantillasCobros",bVerFacturacion[AND]True,0,69,1,,10,FactPerEmitida,
71,Remesas,Remesas,AbrirTipoFichero|1044,bVerFacturacion[AND]True[AND]bverrecibrem,0,417,0,,10,bcobrosper,
72,Bancos,Bancos,AbrirTipoFichero|1000,bVerFacturacion[AND]True[AND]bverrecibrem,0,417,0,,20,BancosPer,
73,Facturación Recibida,Facturación Recibida,,bVerFacturacion[AND]True[AND]bverfactrecibida,0,351,0,,30,,
74,Facturas,Facturas,AbrirModulo|48,bVerFacturacion[AND]True[AND]bverfactrecibida,0,73,0,,10,FactPerRecibida,
75,Albaranes,Albaranes,AbrirModulo|59,bVerFacturacion[AND]True[AND]bverfactrecibida[AND]bverFRAlbaran,0,73,0,,20,FactPerRecibida,
76,Pedidos,Pedidos,AbrirDelphi|27,DELPHI,0,73,0,,30,FactPerRecibida,
77,Presupuestos,Presupuestos,AbrirDelphi|28,DELPHI,0,73,0,,40,FactPerRecibida,
78,Pagos,Pagos,AbrirModulo|60,bVerFacturacion[AND]True[AND]bVerControlPagos,0,352,0,,30,LibPrevPagoPer[AND]FactPerRecibida,
79,Contabilidad,Contabilidad,,bVerContabilidad[AND]True[AND]bverContPGC,0,0,0,contabilidad_16x16,220,,
80,Contabilidad Autónomo o PGC,Contabilidad Autónomo o PGC,"AbrirEjecutable|ConfigGenerales.exe,TipoContabilidad",bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,79,1,,50,CuentaPer[AND]LibroDiario,
81,Libros/Modelos AEAT,Libros/Modelos AEAT,,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]!bOcultarModelosAEAT,0,79,0,,80,,
82,Diario,Diario,AbrirModulo|58,bVerContabilidad[AND]True[AND]LibroDiario|1[AND]bverContPGC[AND]bVerDiario,0,79,0,,20,LibroDiario,
83,Listado del Mayor,Listado del Mayor,AbrirTipoFichero|1140,bVerContabilidad[AND]True[AND]ListMayorPer|1[AND]bverContPGC[AND]bVerDiario,0,79,0,,30,ListMayorPer,
84,Balances,Balances,,bVerContabilidad[AND]True[AND]ListBalanceSitPer|1[AND]bverContPGC[AND]bVerDiario,0,79,0,,60,ListBalanceSitPer,
85,Modelos,Modelos,,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]!bOcultarModelosAEAT,0,81,0,,20,,
86,Herramientas de Chequeo,Herramientas de Chequeo,AbrirTipoFichero|1267,bVerContabilidad[AND]True[AND]bverContPGC[AND]CuentaPer[AND]LibroDiario[AND]bVerDiario,0,369,0,,20,CuentaPer[AND]LibroDiario,
87,Importación,Importación,AbrirEjecutable|Importador.exe,bVerImportador,0,721,0,,30,permisoAccion:VerModuloImportador,
88,Whatsapp,Whatsapp,AbrirTipoFichero|1075,bVerWhatsapp,0,716,0,,1,permisoAccion:VerModuloWhatsApp,
91,Oportunidades,OportunidadesPl,AbrirModulo|1,bvercontroloportunidad,1,0,0,CRM__oportunidades,80,,
94,Tareas,TareasPl,AbrirModulo|49,bMostrarPlanificacionTareas[AND]bVerAtencionCliente[AND]!bTipoTareaMenuPrincipal,1,658,0,,20,,
95,Plantilla Impresión Orden de Trabajo,Plantilla Impresión Orden de Trabajo,"AbrirEjecutable|ConfigGenerales.exe,PlantillasOrdenesTrabajo",bVerAtencionCliente,0,704,1,,10,,
96,Compras,Compras,AbrirModulo|51,bVerModuloCompra,1,721,0,,20,,
97,Comisiones,Comisiones,AbrirModulo|50,bVerComisiones,0,872,0,Comisiones,100,,
100,Inicio Jornada,Inicio Jornada,"AbrirTipoFichero|1076,0",bVerTimeReport[OR]bWorkControlHorario[OR]esFreemium,0,945,0,,10,,
101,Fin Jornada,Fin Jornada,"AbrirTipoFichero|1076,1",bVerTimeReport[OR]bWorkControlHorario[OR]esFreemium,0,945,0,,20,,
102,Inicio Descanso,Inicio Descanso,"AbrirTipoFichero|1076,2",bVerTimeReport[OR]bWorkControlHorario[OR]esFreemium,0,945,0,,30,,
103,Fin Descanso,Fin Descanso,"AbrirTipoFichero|1076,3",bVerTimeReport[OR]bWorkControlHorario[OR]esFreemium,0,945,0,,40,,
104,Time Sheet,Imputaciones de Tiempo,"AbrirModulo|39,0,pestanaSel=2",bVerTimeReport[OR]esFreemium,0,353,0,,10,,
105,Informes,Informes,"AbrirModulo|39,3",bVerInformesTR,0,191,0,,30,permisoAccion:ControlHorarioInformes,
106,Cuadro de Mando,Cuadros de Informes,,bVerCuadroMandos[OR]esFreemium,0,872,0,cuadromandos_16x16,120,,
108,Emailer,Mail Marketing,AbrirEjecutable|Emailer.exe,bVerEmailer,0,1178,0,,40,bVerEmailer,
109,Cuenta de envío de Emailer,Cuenta de envío de Emailer,"AbrirEjecutable|Emailer.exe,2",bVerEmailer,0,108,1,,10,esSupervisor,
110,Firma Electrónica,Firma Electrónica,,bVerMNDocSign,0,1159,0,,30,,
118,Protección de Datos,Seguridad,,,0,0,0,protecciondatos_16x16,240,,
120,Auditoría Datos (logs),Auditoría Datos (logs),AbrirEjecutable|GestorLogs.exe,bverlopd,0,118,0,,70,,
121,Análisis de Seguridad,Análisis de Seguridad,"AbrirEjecutable|OtrosModulos.exe,ResumenLopd",(!esCloud)[AND](bverlopd[OR]esFreemium),0,118,0,,90,,
122,Baja Comunicaciones Comerciales (LSSI),Baja Comunicaciones Comerciales (LSSI),,bBajaComComercial,0,118,0,,80,,
123,Control de Historial,Control de Historial,AbrirModulo|0,bVerControlHistorial,0,0,0,historial_16x16,30,,
124,Stock,Stock,,bMostarArticulos,0,175,0,,50,,
125,Artículos,Artículos,AbrirTipoFichero|1217,bMostarArticulos,0,124,0,,10,,
127,Clases,Clases,,bcontrolcursos,0,0,0,clases_16x16,20,,
128,Control de Clases,Control de Clases,AbrirModulo|52,bcontrolcursos,0,127,0,,20,,
129,Control Seguimiento,Control de Asistencia,,bvercontrolAsistencia,0,127,0,,30,,
130,Seguimiento y Asistencia,Pasar Asistencia,AbrirTipoFichero|1093,bvercontrolAsistencia,0,129,0,,30,,
131,Imprimir Plantillas de Asistencia,Imprimir Plantillas de Asistencia,AbrirTipoFichero|1069,bvercontrolAsistencia,0,129,0,,40,,
133,Reserva Online Clases,Reserva Online Clases,,bcontrolcursos[AND]bMostrarCitaOnline,0,127,0,,40,,
134,Configurar Web,Configurar Web,"AbrirTipoFichero|1067,2",bcontrolcursos,0,133,0,,10,,
135,Enviar Enlace de Reserva,Enviar Enlace de Reserva,,bcontrolcursos,0,133,0,,20,,
136,Reserva Online Cursos,Reserva Online Cursos,,bcontrolcursos[AND]bMostrarCitaOnline,0,127,0,,50,,
137,Configurar Web,Configurar Web,"AbrirTipoFichero|1067,3",bcontrolcursos,0,136,0,,10,,
138,Enviar Enlace de Reserva,Enviar Enlace de Reserva,,bcontrolcursos,0,136,0,,20,,
139,Formularios Registro Web,Formularios Registro Web,,bVerModuloFormulariosClientes,0,451,0,,10,,
140,Configurar Web,Configurar Web,"AbrirEjecutable|ConfiguracionAccesoCloud.exe,formulariosregistro",bMostrarCitaOnline[AND]bVerModuloFormulariosClientes,0,139,0,,157,,
141,Enviar Enlace,Enviar Enlace,,bMostrarCitaOnline[AND]bVerModuloFormulariosClientes,0,139,0,,158,,
142,Recobros,Recobros,AbrirModulo|53,bVerModuloRecobros,0,0,0,recobros_16x16,100,,
143,Crédito y Caución,Crédito y Caución,"AbrirModulo|0,2",bVerCreditoCaucion,0,0,0,credito_caucion_16x16,243,,
144,Número de Gestor,Número de Gestor,"AbrirEjecutable|ConfigGenerales.exe,CreditoCaucion",bVerCreditoCaucion,0,143,1,,10,,
146,Vencimientos/Pólizas,ven:Vencimientos,AbrirModulo|4,bverficvencimientos,0,841,0,,10,,
147,Odontograma,Odontología,,bverodontograma[OR]bvercontroltratamiento[OR]bvergesttarfodont[OR]bVerPlanTratamiento,0,0,0,odontograma_16x16,110,,
148,Lexnet,Lexnet,AbrirEjecutable|LexNet.exe,ComprobarEjecutable|Lexnet.exe[AND]bVerLexnet,0,905,0,,10,,
149,Formato número de autos,Formato número de autos,"AbrirEjecutable|ConfigGenerales.exe,LexnetNumAutos",ComprobarEjecutable|Lexnet.exe[AND]bVerLexnet,0,148,1,,150,,
150,Avantius,Avantius,AbrirEjecutable|LexNet.exe,ComprobarEjecutable|Lexnet.exe[AND]bVerAvantius,0,432,0,,20,,
151,Formato número de autos,Formato número de autos,"AbrirEjecutable|ConfigGenerales.exe,AvantiusNumAutos",ComprobarEjecutable|Lexnet.exe[AND]bVerAvantius,0,150,1,,10,,
152,Vereda,Vereda,AbrirEjecutable|LexNet.exe,ComprobarEjecutable|Lexnet.exe[AND]bVerVereda,0,432,0,,30,,
153,Formato número de autos,Formato número de autos,"AbrirEjecutable|ConfigGenerales.exe,VeredaNumAutos",ComprobarEjecutable|Lexnet.exe[AND]bVerVereda,0,152,1,,10,,
154,Justizia.Sip,Justizia.Sip,AbrirEjecutable|LexNet.exe,ComprobarEjecutable|Lexnet.exe[AND]bVerJustiziaSIP,0,432,0,,40,,
155,Formato número de autos,Formato número de autos,"AbrirEjecutable|ConfigGenerales.exe,JusticiaSIPNumAutos",ComprobarEjecutable|Lexnet.exe[AND]bVerJustiziaSIP,0,154,1,,10,,
156,Ejusticia.Cat,Ejusticia.Cat,AbrirEjecutable|LexNet.exe,ComprobarEjecutable|Lexnet.exe[AND]bVerEJusticia,0,432,0,,50,,
157,Formato número de autos,Formato número de autos,"AbrirEjecutable|ConfigGenerales.exe,eJusticiaNumAutos",ComprobarEjecutable|Lexnet.exe[AND]bVerEJusticia,0,156,1,,10,,
158,Procesos Automáticos,RPA,,DELPHI,0,690,0,,1,,
159,Creación de Historial,Reglas Automáticas de Historial,AbrirTipoFichero|1055,MostrarRpaReglasAutomaticas,0,1179,0,,10,,
160,Recordatorios Automáticos,Correos Automáticos,,DELPHI,0,158,0,,97,,
163,Valoraciones,Valoraciones,AbrirModulo|47,bVerModuloValoracionesServicio[OR]esFreemium,0,872,0,Valoraciones1,110,,
165,Acceso Web/Móvil,Acceso Web/Móvil,,DELPHI,0,858,0,,7,,
166,Reserva Online,Reserva Online,,VersionConCitaOnline,0,872,0,Reserva_online,90,,
167,Configuraciones,Configuraciones,,bMostrarCitaOnlineCitas,0,480,0,,30,,
168,Formularios Registro Web,Formularios Web,,bVerModuloFormulariosClientes[AND]esCloud,0,675,0,,30,,
169,Configurar webs,Formularios de Registro,"AbrirEjecutable|ConfiguracionAccesoCloud.exe,formulariosregistro",bVerModuloFormulariosClientes[AND]bVerFormulariosRegistro,0,168,0,,10,,
170,Configuración,Configuración,,,0,0,1,configuracion_16x16,299,,
171,Configuraciones Obligatorias,Configuraciones Obligatorias,,,0,170,0,,10,,
172,Seleccionar Empresa,Seleccionar Empresa,AbrirTipoFichero|1080,,0,171,0,,10,,
173,Logo de Empresa,Logo de Empresa,AbrirDelphi|86,,0,171,0,,20,,
174,Configuraciones Generales,Configuraciones Generales,,,0,170,0,,20,,
175,Predefinidos,Predefinidos,,,0,174,0,,10,,
176,Gestión de Plantillas,Gestión de Plantillas,,,0,0,0,ficheros_16x16,230,,
177,Seleccionar Ejercicio,Seleccionar Ejercicio,AbrirTipoFichero|1081,,0,174,0,,20,,
178,Seleccionar Impresora,Seleccionar Impresora,AbrirDelphi|108,,0,174,0,,30,,
179,Configuraciones Supervisor,Configuraciones Supervisor,,,0,170,0,,30,,
180,Configuraciones Generales,Configuraciones Generales,AbrirEjecutable|ConfigGenerales.exe,,0,179,0,,10,,
181,Personalización,Personalización,AbrirDelphi|109,,0,179,0,,20,,
182,Gestión de Permisos,Gestión de Permisos,,DELPHI,0,179,0,,30,,
183,Correo,Correo,AbrirTipoFichero|1004,bverlopd[OR]esFreemium,0,122,0,,10,,
184,SMS,SMS,AbrirTipoFichero|1005,bverlopd[OR]esFreemium,0,122,0,,20,,
185,Correo,Correo,"AbrirTipoFichero|1068,2",bcontrolcursos,0,135,0,,151,,
186,WhatsApp,WhatsApp,"AbrirTipoFichero|1071,2",bcontrolcursos,0,135,0,,187,permisoAccion:VerModuloWhatsApp,
187,Correo,Correo,"AbrirTipoFichero|1068,3",bcontrolcursos,0,138,0,,20,,
188,WhatsApp,WhatsApp,"AbrirTipoFichero|1071,3",bcontrolcursos,0,138,0,,10,permisoAccion:VerModuloWhatsApp,
189,Correo,Correo,AbrirTipoFichero|1072,bMostrarCitaOnline[AND]bVerModuloFormulariosClientes,0,141,0,,159,,
190,WhatsApp,WhatsApp,AbrirTipoFichero|1073,bMostrarCitaOnline[AND]bVerModuloFormulariosClientes,0,141,0,,160,permisoAccion:VerModuloWhatsApp,
191,Control Horario,Registro Horario,,bWorkControlHorario[OR]esFreemium,0,872,0,controlhorario_16x16,10,,
193,Libros/Declaraciones,Libros/Declaraciones,,DELPHI,0,428,0,,70,,
