Nivel1,Nivel2,Nivel3,Nivel4,Nivel5,Nivel6,Cuenta,Descripcion,Importe,itiposaldo
1,0,0,0,0,0,,ACTIVO,,0
1,1,0,0,0,0,,A) ACTIVO NO CORRIENTE,,0
1,1,1,0,0,0,,I. Inmovilizado intangible,,0
1,1,1,1,0,0,,1. Investigación,,0
1,1,1,1,1,0,200,Investigación,,0
1,1,1,1,2,0,2800,Amortización acumulada de investigación,,0
1,1,1,1,3,0,2900,Deterioro de valor de investigación,,0
1,1,1,2,0,0,,2. Desarrollo,,0
1,1,1,2,1,0,201,Desarrollo,,0
1,1,1,2,2,0,2801,Amortización acumulada de desarrollo,,0
1,1,1,2,3,0,2901,Deterioro del valor de desarrollo,,0
1,1,1,3,0,0,,3. Concesiones,,0
1,1,1,3,1,0,202,Concesiones administrativas,,0
1,1,1,3,2,0,2802,Amortización acumulada de concesiones administrativas,,0
1,1,1,3,3,0,2902,Deterioro de valor de concesiones administrativas,,0
1,1,1,4,0,0,,"4. Patentes, licencias, marcas y similares",,0
1,1,1,4,1,0,203,Propiedad industrial,,0
1,1,1,4,2,0,2803,Amortización acumulada de propiedad industrial,,0
1,1,1,4,3,0,2903,Deterioro de valor de propiedad industrial,,0
1,1,1,5,0,0,,5. Fondo de comercio,,0
1,1,1,5,1,0,204,Fondo de comercio,,0
1,1,1,6,0,0,,6. Aplicaciones informáticas,,0
1,1,1,6,1,0,206,Aplicaciones informáticas,,0
1,1,1,6,2,0,2806,Amortización acumulada de aplicaciones informáticas,,0
1,1,1,6,3,0,2906,Deterioro de valor de aplicaciones informáticas,,0
1,1,1,7,0,0,,7. Otro inmovilizado intangible,,0
1,1,1,7,1,0,205,Derechos de traspaso,,0
1,1,1,7,2,0,209,Anticipos para inmovilizaciones intangibles,,0
1,1,1,7,3,0,2805,Amortización acumulada de derechos de traspaso,,0
1,1,1,7,4,0,2905,Deterioro de valor de derechos de traspaso,,0
1,1,2,0,0,0,,II. Inmovilizado material,,0
1,1,2,1,0,0,,1. Terrenos y construcciones,,0
1,1,2,1,1,0,210,Terrenos y bienes naturales,,0
1,1,2,1,2,0,211,Construcciones,,0
1,1,2,1,3,0,2811,Amortización acumulada de construcciones,,0
1,1,2,1,4,0,2910,Deterioro de valor de terrenos y bienes naturales,,0
1,1,2,1,5,0,2911,Deterioro de valor de construcciones,,0
1,1,2,2,0,0,,2. Instalaciones técnicas y otro inmovilizado material,,0
1,1,2,2,1,0,212,Instalaciones técnicas,,0
1,1,2,2,2,0,213,Maquinaria,,0
1,1,2,2,3,0,214,Utillaje,,0
1,1,2,2,4,0,215,Otras instalaciones,,0
1,1,2,2,5,0,216,Mobiliario,,0
1,1,2,2,6,0,217,Equipos para procesos de información,,0
1,1,2,2,7,0,218,Elementos de transporte,,0
1,1,2,2,8,0,219,Otro inmovilizado material,,0
1,1,2,2,9,0,2812,Amortización acumulada de instalaciones técnicas,,0
1,1,2,2,10,0,2813,Amortización acumulada de maquinaria,,0
1,1,2,2,11,0,2814,Amortización acumulada de utillaje,,0
1,1,2,2,12,0,2815,Amortización acumulada de otras instalaciones,,0
1,1,2,2,13,0,2816,Amortización acumulada de mobiliario,,0
1,1,2,2,14,0,2817,Amortización acumulada de equipos para procesos de información,,0
1,1,2,2,15,0,2818,Amortización acumulada de elementos de transporte,,0
1,1,2,2,16,0,2819,Amortización acumulada de otro inmovilizado material,,0
1,1,2,2,17,0,2912,Deterioro de valor de instalaciones técnicas,,0
1,1,2,2,18,0,2913,Deterioro de valor de maquinaria,,0
1,1,2,2,19,0,2914,Deterioro de valor de utillaje,,0
1,1,2,2,20,0,2915,Deterioro de valor de otras instalaciones,,0
1,1,2,2,21,0,2916,Deterioro de valor de mobiliario,,0
1,1,2,2,22,0,2917,Deterioro de valor de equipos para procesos de información,,0
1,1,2,2,23,0,2918,Deterioro de valor de elementos de transporte,,0
1,1,2,2,24,0,2919,Deterioro de valor de otro inmovilizado material,,0
1,1,2,3,0,0,,3. Inmovilizado en curso y anticipos,,0
1,1,2,3,1,0,230,Adaptación de terrenos y bienes naturales,,0
1,1,2,3,2,0,231,Construcciones en curso,,0
1,1,2,3,3,0,232,Instalaciones técnicas en montaje,,0
1,1,2,3,4,0,233,Maquinaria en montaje,,0
1,1,2,3,5,0,237,Equipos para procesos de información en montaje,,0
1,1,2,3,6,0,239,Anticipos para inmovilizaciones materiales,,0
1,1,3,0,0,0,,III. Inversiones inmobiliarias,,0
1,1,3,2,0,0,,1. Terrenos,,0
1,1,3,2,1,0,220,Inversiones en terrenos y bienes naturales,,0
1,1,3,2,2,0,2920,Deterioro de valor de los terrenos y bienes naturales,,0
1,1,3,3,0,0,,2. Construcciones,,0
1,1,3,3,1,0,221,Inversiones en construcciones,,0
1,1,3,3,2,0,282,Amortización acumulada de las inversiones inmobiliarias,,0
1,1,3,3,3,0,2921,Deterioro de valor de construcciones,,0
1,1,4,0,0,0,,IV. Inversiones en empresas del grupo y asociadas a largo plazo,,0
1,1,4,2,0,0,,1. Instrumentos de patrimonio,,0
1,1,4,2,1,0,2403,Participaciones a largo plazo en empresas del grupo,,0
1,1,4,2,2,0,2404,Participaciones a largo plazo en empresas asociadas,,0
1,1,4,2,3,0,2493,Desembolsos pendientes sobre participaciones a largo plazo en empresas del grupo,,0
1,1,4,2,4,0,2494,Desembolsos pendientes sobre participaciones a largo plazo en empresas asociadas,,0
1,1,4,2,5,0,2933,Deterioro de valor de participaciones a largo plazo en empresas del grupo,,0
1,1,4,2,6,0,2934,Deterioro de valor de participaciones a largo plazo en empresas asociadas,,0
1,1,4,3,0,0,,2. Créditos a empresas,,0
1,1,4,3,1,0,2423,Créditos a largo plazo a empresas del grupo,,0
1,1,4,3,2,0,2424,Créditos a largo plazo a empresas asociadas,,0
1,1,4,3,3,0,2953,Deterioro de valor de créditos a largo plazo a empresas del grupo,,0
1,1,4,3,4,0,2954,Deterioro de valor de créditos a largo plazo a empresas asociadas,,0
1,1,4,4,0,0,,3. Valores representativos de deuda,,0
1,1,4,4,1,0,2413,Valores representativos de deuda a largo plazo de empresas del grupo,,0
1,1,4,4,2,0,2414,Valores representativos de deuda a largo plazo de empresas asociadas,,0
1,1,4,4,3,0,2943,Deterioro de valor de valores representativos de deuda a largo plazo de empresas del grupo,,0
1,1,4,4,4,0,2944,Deterioro de valor de valores representativos de deuda a largo plazo de empresas asociadas,,0
1,1,4,5,0,0,,4. Derivados,,0
1,1,4,6,0,0,,5. Otros activos financieros,,0
1,1,5,0,0,0,,V. Inversiones financieras a largo plazo,,0
1,1,5,2,0,0,,1. Instrumentos de patrimonio,,0
1,1,5,2,1,0,2405,Participaciones a largo plazo en otras partes vinculadas,,0
1,1,5,2,2,0,2495,Desembolsos pendientes sobre participaciones a largo plazo en otras partes vinculadas,,0
1,1,5,2,3,0,250,Inversiones financieras a largo plazo en instrumentos de patrimonio,,0
1,1,5,2,4,0,259,Desembolsos pendientes sobre participaciones en el patrimonio neto a largo plazo,,0
1,1,5,3,0,0,,2. Créditos a terceros,,0
1,1,5,3,1,0,2425,Créditos a largo plazo a otras partes vinculadas,,0
1,1,5,3,2,0,252,Créditos a largo plazo,,0
1,1,5,3,3,0,253,Créditos a largo plazo por enajenación de inmovilizado,,0
1,1,5,3,4,0,254,Créditos a largo plazo al personal,,0
1,1,5,3,5,0,2955,Deterioro de valor de créditos a largo plazo a otras partes vinculadas,,0
1,1,5,3,6,0,298,Deterioro de valor de créditos a largo plazo,,0
1,1,5,4,0,0,,3. Valores representativos de deuda,,0
1,1,5,4,1,0,2415,Valores representativos de deuda a largo plazo de otras partes vinculadas,,0
1,1,5,4,2,0,251,Valores representativos de deuda a largo plazo,,0
1,1,5,4,3,0,2945,Deterioro de valor de valores representativos de deuda a largo plazo de otras partes vinculadas,,0
1,1,5,4,4,0,297,Deterioro de valor de valores representativos de deuda a largo plazo,,0
1,1,5,5,0,0,,4. Derivados,,0
1,1,5,5,1,0,2550,"Activos por derivados financieros a largo plazo, cartera de negociación",,0
1,1,5,5,2,0,2553,"Activos por derivados financieros a largo plazo, instrumentos de cobertura",,0
1,1,5,6,0,0,,5. Otros activos financieros,,0
1,1,5,6,1,0,258,Imposiciones a largo plazo,,0
