idfiltro,idbasedatos
6,4
7,2
7,4
7,5
7,6
8,2
8,4
8,5
8,6
11,2
11,4
11,5
11,6
12,2
24,14
24,131
28,3
28,131
29,3
29,14
58,16
58,18
59,16
59,17
114,228
114,229
114,388
114,389
114,390
114,391
114,392
114,393
114,394
114,395
114,396
114,397
114,398
114,404
116,106
116,107
116,108
116,109
116,110
116,111
116,112
116,113
116,229
116,388
116,389
116,390
116,391
116,392
116,393
116,394
116,403
116,404
169,42
169,43
169,44
169,45
169,46
169,47
169,48
169,49
169,50
169,51
175,41
175,43
175,44
175,45
175,46
175,47
175,48
175,49
175,50
175,51
295,107
295,108
295,109
295,110
295,111
295,112
295,113
295,228
295,229
295,389
295,390
295,391
295,392
295,393
295,394
295,403
295,404
296,106
296,107
296,108
296,109
296,110
296,111
296,112
296,113
296,228
296,229
296,388
296,389
296,390
296,391
296,392
296,393
296,394
296,403
296,404
297,106
297,107
297,108
297,109
297,110
297,111
297,112
297,113
297,228
297,229
297,388
297,389
297,390
297,391
297,392
297,393
297,394
298,106
298,107
298,108
298,109
298,110
298,111
298,112
298,228
298,229
298,388
298,389
298,390
298,391
298,392
298,393
298,403
298,404
299,106
299,108
299,109
299,110
299,111
299,112
299,113
299,228
299,229
299,388
299,390
299,391
299,392
299,393
299,394
299,403
299,404
300,106
300,107
300,109
300,110
300,111
300,112
300,113
300,228
300,229
300,388
300,389
300,391
300,392
300,393
300,394
300,403
300,404
301,106
301,107
301,108
301,110
301,111
301,112
301,113
301,228
301,229
301,388
301,389
301,390
301,392
301,393
301,394
301,403
301,404
302,106
302,107
302,108
302,109
302,111
302,112
302,113
302,228
302,229
302,388
302,389
302,390
302,391
302,393
302,394
302,403
302,404
303,106
303,107
303,108
303,109
303,110
303,112
303,113
303,228
303,229
303,388
303,389
303,390
303,391
303,392
303,394
303,403
303,404
304,106
304,107
304,108
304,109
304,110
304,111
304,112
304,113
304,228
304,229
304,388
304,389
304,390
304,391
304,392
304,393
304,394
304,403
304,404
319,2
319,4
319,5
319,6
319,7
319,8
319,9
319,10
319,11
319,12
319,13
319,116
319,117
320,2
320,4
320,5
320,6
320,7
320,8
320,9
320,10
320,11
320,12
320,13
320,116
320,117
604,39
604,106
604,107
604,108
604,109
604,110
604,111
604,112
604,113
604,114
604,115
604,226
604,227
604,403
674,235
675,235
676,235
743,232
744,232
2213,433
2213,434
2214,433
2214,434
2232,433
2232,434
3672,2
3672,4
3672,5
3672,6
3672,7
3672,8
3672,9
3672,10
3672,11
3672,12
3672,13
3672,116
3672,117
3673,2
3673,4
3673,5
3673,6
3673,7
3673,8
3673,9
3673,10
3673,11
3673,12
3673,13
3673,116
3673,117
3703,408
3703,409
3703,411
3703,412
3703,429
3703,432
3703,435
3703,436
3703,437
3703,438
3703,439
3703,440
3703,441
3703,442
3703,443
3703,444
3703,445
3703,446
3703,447
3703,483
3703,485
3703,487
4005,424
4005,425
4005,426
4005,427
4005,428
4005,430
4005,431
4007,408
4007,409
4007,411
4007,412
4007,429
4007,432
4007,435
4007,436
4007,437
4007,438
4007,439
4007,440
4007,441
4007,442
4007,443
4007,444
4007,445
4007,446
4007,447
