id,bicswift,banco,nrbe
1,ABNAESMMXXX,"THE ROYAL BANK OF SCOTLAND PLC, SUCURSAL EN ESPAÑA",0156
2,AHCFESMMXXX,"AHORRO CORPORACION FINANCIERA, S.A. ,SOCIEDAD DE VALORES",3524
3,ALCLESMMXXX,"BANCO ALCALA, S.A.",0188
4,AREBESMMXXX,"ARESBANK, S.A.",0136
5,BAPUES22XXX,"BANCA PUEYO, S.A.",0078
6,BARCESMMXXX,"BARCLAYS BANK, S.A.",0065
7,BASKES2BXXX,"KUTXABANK, S.A.",2095
8,BBPIESMMXXX,"BANCO BPI, S.A., SUCURSAL EN ESPAÑA",0190
9,BBRUESMXXXX,"ING BELGIUM, S.A., SUCURSAL EN ESPAÑA",0168
10,BBVAESMMXXX,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",0182
11,BCOEESMM081,"CAJA RURAL DE CASTILLA-LA MANCHA, S.C.C.",3081
12,BCOEESMMXXX,"BANCO COOPERATIVO ESPAÑOL, S.A.",0198
13,BESMESMMXXX," BANCO ESPIRITO SANTO, S.A., SUCURSAL EN ESPAÑA",0131
14,BFASESMMXXX,"BANCO FINANCIERO Y DE AHORROS, S.A.",0488
15,BFIVESBBXXX,"BANCO MEDIOLANUM, S.A.",0186
16,BKBKESMMXXX,"BANKINTER, S.A.",0128
17,BKOAES22XXX,"BANKOA, S.A.",0138
18,BMARES2MXXX,"BANCA MARCH, S.A.",0061
19,BMCEESMMXXX,"BANQUE MAROCAINE COMMERCE EXTERIEUR INTERNATIONAL, S.A.",0219
20,BNPAESMHXXX,"BNP PARIBAS, SUCURSAL EN ESPAÑA",0149
21,BNPAESMZXXX,"BNP PARIBAS ESPAÑA, S.A.",0058
22,BOTKESMXXXX,"THE BANK OF TOKYO-MITSUBISHI UFJ, LTD, SUCURSAL EN ESPAÑA",0160
23,BPLCESMMXXX,"BARCLAYS BANK PLC, SUCURSAL EN ESPAÑA",0152
24,BRASESMMXXX,"BANCO DO BRASIL, S.A., SUCURSAL EN ESPAÑA",0155
25,BSABESBBXXX,"BANCO DE SABADELL, S.A.",0081
26,BSCHESMMXXX,"BANCO SANTANDER, S.A.",0049
27,BSUIESMMXXX,"CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK, SUCURSAL EN ESPAÑA",0154
28,BVALESMMXXX,"RBC INVESTOR SERVICES ESPAÑA, S.A.",0094
29,CAGLESMMVIG,"NCG BANCO, S.A.",2080
30,CAHMESMMXXX,"BANKIA, S.A.",2038
31,CAIXESBBXXX,"CAIXABANK, S.A.",2100
32,CAPIESMMXXX,"CM CAPITAL MARKETS BOLSA, SOCIEDAD DE VALORES, S.A.",3604
33,CASDESBBXXX,CAJA DE ARQUITECTOS S.C.C.,3183
34,CAZRES2ZXXX,"IBERCAJA BANCO, S.A.",2085
35,CCOCESMMXXX,"BANCO CAMINOS, S.A.",0234
36,CCRIES2AXXX,"CAJAS RURALES UNIDAS, S.C.C.",3058
37,CDENESBBXXX,"CAIXA DE CREDIT DELS ENGINYERS - CAJA DE CREDITO DE LOS INGENIEROS, S.C.C.",3025
38,CECAESMM045,CAJA DE AHORROS Y M.P. DE ONTINYENT,2045
39,CECAESMM048,"LIBERBANK, S.A.",2048
40,CECAESMM056,COLONYA - CAIXA D ESTALVIS DE POLLENSA,2056
