id,codpostal
1,01000
2,01001
3,01002
4,01003
5,01004
6,01005
7,01006
8,01007
9,01008
10,01009
11,01010
12,01012
13,01013
14,01015
15,01100
16,01110
17,01117
18,01118
19,01120
20,01128
21,01129
22,01130
23,01138
24,01139
25,01160
26,01165
27,01169
28,01170
29,01191
30,01192
31,01193
32,01194
33,01195
34,01196
35,01200
36,01206
37,01207
38,01208
39,01211
40,01212
41,01213
42,01216
43,01220
44,01230
45,01240
46,01250
47,01260
48,01300
49,01306
50,01307
51,01308
52,01309
53,01320
54,01321
55,01322
56,01330
57,01340
58,01400
59,01408
60,01409
61,01420
62,01423
63,01426
64,01427
65,01428
66,01430
67,01439
68,01440
69,01449
70,01450
71,01468
72,01470
73,01474
74,01476
75,01477
76,01478
77,01479
78,01510
79,01520
80,02001
81,02002
82,02003
83,02004
84,02005
85,02006
86,02007
87,02008
88,02009
89,02049
90,02071
91,02099
92,02100
93,02110
94,02120
95,02124
96,02125
97,02127
98,02129
99,02130
100,02136
101,02137
102,02139
103,02140
104,02141
105,02142
106,02150
107,02151
108,02152
109,02153
110,02154
111,02155
112,02156
113,02160
114,02161
115,02162
116,02200
117,02210
118,02211
119,02212
120,02213
121,02214
122,02215
123,02220
124,02230
125,02240
126,02246
127,02247
128,02248
129,02249
130,02250
131,02251
132,02252
133,02253
134,02260
135,02270
136,02300
137,02310
138,02311
139,02312
140,02313
141,02314
142,02315
143,02316
144,02320
145,02326
146,02327
147,02328
148,02329
149,02340
150,02350
151,02360
152,02400
153,02409
154,02410
155,02420
156,02430
157,02434
158,02435
159,02436
160,02437
161,02439
162,02440
163,02448
164,02449
165,02450
166,02459
167,02460
168,02461
169,02462
170,02480
171,02484
172,02485
173,02486
174,02487
175,02489
176,02490
177,02499
178,02500
179,02510
180,02511
181,02512
182,02513
183,02520
184,02530
185,02534
186,02536
187,02600
188,02610
189,02611
190,02612
191,02614
192,02620
193,02630
194,02636
195,02637
196,02638
197,02639
198,02640
199,02650
200,02651
201,02652
202,02653
203,02660
204,02690
205,02691
206,02692
207,02693
208,02694
209,02695
210,02696
211,03000
212,03001
213,03002
214,03003
215,03004
216,03005
217,03006
218,03007
219,03008
220,03009
221,03010
222,03011
223,03012
224,03013
225,03014
226,03015
227,03016
228,03100
