id,tabla,campo,valor,color,selec,selec2,tipo,estado,pestañaDinamica,midetiempo,orden
12153,clientespotenciales,TipoFichero,Grandes Cuentas,,,,,,0,,12153
12154,clientespotenciales,TipoFichero,Normal,,,,,,0,,12154
12155,clientespotenciales,TipoFichero,Agrupación,,,,,,0,,12155
12156,clientespotenciales,TipoFichero,Colegio Profesional,,,,,,0,,12156
12157,clientes,TipoFichero,Preferente,,,,,,0,,12157
12158,clientes,TipoFichero,Colaborador,,,,,,0,,12158
12159,clientes,TipoFichero,Normal,,,,,,0,,12159
12160,clientes,TipoFichero,Agrupación,,,,,,0,,12160
12161,clientes,TipoFichero,Colegio Profesional,,,,,,0,,12161
12162,trabajadores,TipoFichero,Contrato Fijo,,,,,,0,,12162
12163,trabajadores,TipoFichero,Colaborador Externo,,,,,,0,,12163
12164,otros,TipoFichero,Colaborador,,,,,,0,,12164
12165,otros,TipoFichero,Proveedor,,,,,,0,,12165
12166,otros,TipoFichero,Partner,,,,,,0,,12166
12167,otros,TipoFichero,Agente Comercial,,,,,,0,,12167
12168,otros,TipoFichero,Franquicia,,,,,,0,,12168
12169,clientespotenciales,TipoFichero,Preferente,,,,,,0,,12169
12170,clientespotenciales,TipoFichero,Colaborador,,,,,,0,,12170
12171,clientes,TipoFichero,Grandes Cuentas,,,,,,0,,12171
12172,trabajadores,TipoFichero,Contrato Temporal,,,,,,0,,12172
12173,productos,tipo,Campaña,,,,,,0,,12173
12174,productos,fuente,Base de Datos,,,,,,0,,12174
12175,productos,fuente,Distribuidor,,,,,,0,,12175
12176,productos,fuente,Referencia Anuncio,,,,,,0,,12176
12177,productos,fuente,Referencia Cliente,,,,,,0,,12177
12178,productos,fuente,Referencia Compañero,,,,,,0,,12178
12179,productos,fuente,Reseña,,,,,,0,,12179
12180,productos,codigo,ACTL (Actualización de Licencia),,,,,,0,,12180
12181,productos,codigo,ACTP (Actualización de Programa),,,,,,0,,12181
12182,productos,codigo,PD (Pedido de Distribución),,,,,,0,,12182
12183,productos,codigo,PU (Pedido de Usuario),,,,,,0,,12183
12184,clientes,NaturJuridica,Persona Física,,,,,,0,,12184
12185,clien	tes,NaturJuridica,Persona Jurídica,,,,,,0,,12185
12186,trabajadores,NaturJuridica,Persona Física,,,,,,0,,12186
12187,trabajadores,NaturJuridica,Persona Jurídica,,,,,,0,,12187
12188,otros,NaturJuridica,Persona Física,,,,,,0,,12188
12189,otros,NaturJuridica,Persona Jurídica,,,,,,0,,12189
12190,clientespotenciales,NaturJuridica,Persona Física,,,,,,0,,12190
12191,clientespotenciales,NaturJuridica,Persona Jurídica,,,,,,0,,12191
12192,clientes,departamento,Hombre,,,,,,0,,12192
12193,clientes,departamento,Mujer,,,,,,0,,12193
12194,clientes,cargo,No,,,,,,0,,12194
12195,clientes,cargo,Si,,,,,,0,,12195
12196,clientes,origen,Clinica,,,,,,0,,12196
12197,clientes,origen,Domicilio,,,,,,0,,12197
12198,clientes,origen,Mixto,,,,,,0,,12198
12199,clientes,zona,Seguro,,,,,,0,,12199
12200,clientes,zona,Particular,,,,,,0,,12200
12201,clientes,zona,Convenio,,,,,,0,,12201
12202,clientes,zona,Mixto,,,,,,0,,12202
12203,clientes,NaturJuridica,Persona Jurídica,,,,,,0,,12203
12204,clientes,TipoFichero,Paciente,,,,,,0,,12204
12205,clientes,TipoFichero,Mutua,,,,,,0,,12205
12206,clientes,empresa,Si,,,,,,0,,12206
12207,clientes,empresa,No,,,,,,0,,12207
12208,clientes,origen,caneiro,,,,,,0,,12208
12209,clientes,origen,poligono,,,,,,0,,12209
12210,clientes,zona,CYCLOPS,,,,,,0,,12210
12211,clientes,zona,UMI,,,,,,0,,12211
12212,clientes,zona,IIP,,,,,,0,,12212
12213,clientes,zona,MULTIASISTENCIA,,,,,,0,,12213
12214,clientes,sector,DIOESIS,,,,,,0,,12214
12215,clientes,sector,PRUEBA,,,,,,0,,12215
12216,clientes,zona,DIOCESIS,,,,,,0,,12216
12217,clientes,origen,DIOCESIS,,,,,,0,,12217
12218,clientes,zona,ADESLAS,,,,,,0,,12218
12219,clientes,zona,ADESLAS,,,,,,0,,12219
12220,cbestadoseg,0,Rojo,,,,,,0,,12220
12221,cbestadoseg,1,Amarillo,,,,,,0,,12221
12222,cbestadoseg,2,Azul,,,,,,0,,12222
12223,cbestadoseg,3,Verde,,,,,,0,,12223
12224,clipers3,perso4,Alta,,,,,,0,,12224
12225,clipers3,perso4,Baja,,,,,,0,,12225
12226,gastospred,tipo,Sueldos y Salarios (640),,,,,,0,,12226
12227,gastospred,tipo,Sueldos y Salarios (642),,,,,,0,,12227
12228,gastospred,tipo,Otros Gastos de Personal (649),,,,,,0,,12228
12229,gastospred,tipo,Compras y Servicios (600),,,,,,0,,12229
12230,gastospred,tipo,Suministros (628),,,,,,0,,12230
12231,gastospred,tipo,Alquileres (621),,,,,,0,,12231
