idAcceso,numEmpresa,orden,visible,texto,idGrupo
1,1,0,0,Bases de Datos,
1,2,0,0,Bases de Datos,
2,1,186,0,Potenciales,
2,2,186,0,Potenciales,
3,1,1,0,Clientes,
3,2,1,0,Clientes,
4,1,0,0,Alumnos,
4,2,0,0,Alumnos,
5,1,5,1,Pacientes,54
5,2,5,1,Pacientes,60
6,1,2,0,Expedientes,
6,2,2,0,Expedientes,
7,1,7,1,Trabajadores,54
7,2,7,1,Trabajadores,60
8,1,8,1,Terceros,54
8,2,8,1,Terceros,60
9,1,9,1,Proveedores,54
9,2,9,1,Proveedores,60
10,1,6,1,Aseguradoras,54
10,2,6,1,Aseguradoras,60
11,1,0,0,Mascotas,
11,2,0,0,Mascotas,
12,1,0,0,Compañías,
12,2,0,0,Compañías,
13,1,0,0,Voluntarios,
13,2,0,0,Voluntarios,
14,1,0,0,Financiadores,
14,2,0,0,Financiadores,
15,1,0,0,Tercera Edad,
15,2,0,0,Tercera Edad,
16,1,3,0,Ficheros,
16,2,3,0,Ficheros,
17,1,4,0,Contactos,
17,2,4,0,Contactos,
18,1,0,0,Contrarios,
18,2,0,0,Contrarios,
19,1,0,0,Abogados,
19,2,0,0,Abogados,
20,1,0,0,Procuradores,
20,2,0,0,Procuradores,
21,1,0,0,Juzgados,
21,2,0,0,Juzgados,
22,1,0,0,Poderes,
22,2,0,0,Poderes,
23,1,0,0,Colaboradores,
23,2,0,0,Colaboradores,
24,1,0,0,Organismos,
24,2,0,0,Organismos,
25,1,0,0,Inmuebles,
25,2,0,0,Inmuebles,
26,1,0,0,Notarías,
26,2,0,0,Notarías,
27,1,0,0,Promotoras,
27,2,0,0,Promotoras,
28,1,0,0,Vehículos,
28,2,0,0,Vehículos,
29,1,0,0,Agencias Inmobiliarias,
29,2,0,0,Agencias Inmobiliarias,
30,1,0,0,Constructoras,
30,2,0,0,Constructoras,
31,1,0,0,Proveedores,
31,2,0,0,Proveedores,
32,1,0,0,Fichero Libre 1,
32,2,0,0,Fichero Libre 1,
33,1,0,0,Fichero Libre 2,
33,2,0,0,Fichero Libre 2,
34,1,0,0,Fichero Libre 3,
34,2,0,0,Fichero Libre 3,
35,1,0,0,Peritos,
35,2,0,0,Peritos,
36,1,0,0,Talleres,
36,2,0,0,Talleres,
37,1,0,0,Asegurados,
37,2,0,0,Asegurados,
38,1,0,0,Colitigantes,
38,2,0,0,Colitigantes,
39,1,5,0,Agenda,
39,2,5,0,Agenda,
41,1,6,0,Sincronización Agenda,
41,2,6,0,Sincronización Agenda,
42,1,7,0,Office 365/Outlook,
42,2,7,0,Office 365/Outlook,
43,1,8,0,Google Calendar,
43,2,8,0,Google Calendar,
44,1,4,1,Correo,
44,2,4,1,Correo,
47,1,9,0,Adjuntos,
47,2,9,0,Adjuntos,
50,1,10,0,Control de Adjuntos,
50,2,10,0,Control de Adjuntos,
51,1,0,0,Documentación Interna,
51,2,0,0,Documentación Interna,
52,1,11,0,Facturación Emitida,
52,2,11,0,Facturación Emitida,
53,1,0,1,Facturas,50
53,2,0,1,Facturas,56
56,1,0,0,Proformas,
56,2,0,0,Proformas,
59,1,10,1,Presupuestos,50
59,2,10,1,Presupuestos,56
62,1,0,0,Albaranes,
62,2,0,0,Albaranes,
65,1,0,0,Pedidos,
65,2,0,0,Pedidos,
68,1,12,0,Control de Cuentas,
68,2,12,0,Control de Cuentas,
69,1,11,1,Cobros,50
69,2,11,1,Cobros,56
71,1,13,0,Remesas,
71,2,13,0,Remesas,
72,1,14,0,Bancos,
72,2,14,0,Bancos,
73,1,15,0,Facturación Recibida,
73,2,15,0,Facturación Recibida,
74,1,1,1,Facturas,51
74,2,1,1,Facturas,57
75,1,0,0,Albaranes,
75,2,0,0,Albaranes,
76,1,0,0,Pedidos,
76,2,0,0,Pedidos,
77,1,0,0,Presupuestos,
77,2,0,0,Presupuestos,
78,1,2,1,Pagos,51
78,2,2,1,Pagos,57
79,1,11,0,Contabilidad,
79,2,11,0,Contabilidad,
81,1,16,0,Libros/Modelos AEAT,
81,2,16,0,Libros/Modelos AEAT,
82,1,0,0,Diario,
82,2,0,0,Diario,
83,1,0,0,Listado del Mayor,
83,2,0,0,Listado del Mayor,
84,1,0,0,Balances,
84,2,0,0,Balances,
85,1,17,0,Formularios Agencia Tributaria,
85,2,17,0,Formularios Agencia Tributaria,
86,1,0,0,Herramientas de Chequeo,
86,2,0,0,Herramientas de Chequeo,
87,1,18,0,Importación,
87,2,18,0,Importación,
88,1,19,0,Whatsapp,
88,2,19,0,Whatsapp,
91,1,0,0,Oportunidades,
91,2,0,0,Oportunidades,
94,1,0,0,Tareas,
94,2,0,0,Tareas,
96,1,20,0,Compras,
96,2,20,0,Compras,
97,1,21,0,Comisiones,
97,2,21,0,Comisiones,
100,1,22,0,Inicio Jornada,
100,2,22,0,Inicio Jornada,
101,1,23,0,Fin Jornada,
101,2,23,0,Fin Jornada,
102,1,24,0,Inicio Descanso,
102,2,24,0,Inicio Descanso,
103,1,25,0,Fin Descanso,
103,2,25,0,Fin Descanso,
104,1,0,0,Time Sheet,
104,2,0,0,Time Sheet,
105,1,26,0,Informes,
105,2,3,1,Informes,62
106,1,27,0,Cuadro de Mandos,
106,2,27,0,Cuadro de Mandos,
108,1,28,0,Emailer,
108,2,13,1,Mail Marketing,
110,1,29,0,Firma Electrónica,
110,2,29,0,Firma Electrónica,
118,1,30,0,Protección de Datos,
118,2,30,0,Protección de Datos,
120,1,32,0,Auditoría Datos (logs),
120,2,32,0,Auditoría Datos (logs),
121,1,33,0,Análisis de Seguridad,
121,2,33,0,Análisis de Seguridad,
122,1,34,0,Baja Comunicaciones Comerciales (LSSI),
122,2,34,0,Baja Comunicaciones Comerciales (LSSI),
123,1,35,0,Control de Historial,
123,2,35,0,Control de Historial,
124,1,0,0,Stock,
124,2,0,0,Stock,
125,1,0,0,Artículos,
125,2,0,0,Artículos,
127,1,36,0,Clases,
127,2,36,0,Clases,
128,1,37,0,Control de Clases,
128,2,37,0,Control de Clases,
129,1,38,0,Control Seguimiento,
129,2,38,0,Control Seguimiento,
130,1,39,0,Seguimiento y Asistencia,
130,2,39,0,Seguimiento y Asistencia,
131,1,40,0,Imprimir Plantillas de Asistencia,
131,2,40,0,Imprimir Plantillas de Asistencia,
133,1,41,0,Reserva Online Clases,
133,2,41,0,Reserva Online Clases,
134,1,42,0,Configurar Web,
134,2,42,0,Configurar Web,
135,1,43,0,Enviar Enlace de Reserva,
135,2,43,0,Enviar Enlace de Reserva,
136,1,44,0,Reserva Online Cursos,
136,2,44,0,Reserva Online Cursos,
137,1,45,0,Configurar Web,
137,2,45,0,Configurar Web,
138,1,46,0,Enviar Enlace de Reserva,
138,2,46,0,Enviar Enlace de Reserva,
139,1,47,0,Formularios Registro Web,
139,2,47,0,Formularios Registro Web,
140,1,48,0,Configurar Web,
140,2,48,0,Configurar Web,
141,1,49,0,Enviar Enlace,
141,2,49,0,Enviar Enlace,
142,1,0,0,Recobros,
142,2,0,0,Recobros,
143,1,0,0,Crédito y Caución,
143,2,0,0,Crédito y Caución,
146,1,0,0,Vencimientos/Pólizas,
146,2,0,0,Vencimientos/Pólizas,
147,1,0,0,Odontograma,
147,2,0,0,Odontograma,
148,1,0,0,Lexnet,
148,2,0,0,Lexnet,
150,1,0,0,Avantius,
150,2,0,0,Avantius,
152,1,0,0,Vereda,
152,2,0,0,Vereda,
154,1,0,0,Justizia.Sip,
154,2,0,0,Justizia.Sip,
156,1,0,0,Ejusticia.Cat,
156,2,0,0,Ejusticia.Cat,
158,1,50,0,Procesos Automáticos,
158,2,50,0,Procesos Automáticos,
159,1,51,0,Creación de Historial,
159,2,51,0,Creación de Historial,
160,1,52,0,Recordatorios Automáticos,
160,2,52,0,Recordatorios Automáticos,
163,1,53,0,Valoraciones,
163,2,53,0,Valoraciones,
165,1,54,0,Acceso Web/Móvil,
165,2,54,0,Acceso Web/Móvil,
166,1,55,0,Reserva Online,
166,2,55,0,Reserva Online,
167,1,39,0,Configurar webs,
167,2,39,0,Configurar webs,
168,1,56,0,Formularios Registro Web,
168,2,56,0,Formularios Registro Web,
169,1,57,0,Configurar webs,
169,2,57,0,Configurar webs,
171,1,58,0,Configuraciones Obligatorias,
171,2,58,0,Configuraciones Obligatorias,
172,1,59,0,Seleccionar Empresa,
172,2,59,0,Seleccionar Empresa,
173,1,60,0,Logo de Empresa,
173,2,60,0,Logo de Empresa,
174,1,61,0,Configuraciones Generales,
174,2,61,0,Configuraciones Generales,
175,1,62,0,Predefinidos,
175,2,62,0,Predefinidos,
176,1,63,0,Gestión de Plantillas,
176,2,63,0,Gestión de Plantillas,
177,1,64,0,Seleccionar Ejercicio,
177,2,64,0,Seleccionar Ejercicio,
178,1,65,0,Seleccionar Impresora,
178,2,65,0,Seleccionar Impresora,
179,1,66,0,Configuraciones Supervisor,
179,2,66,0,Configuraciones Supervisor,
180,1,67,0,Configuraciones Generales,
180,2,67,0,Configuraciones Generales,
181,1,68,0,Personalización,
181,2,68,0,Personalización,
182,1,69,0,Gestión de Permisos,
182,2,69,0,Gestión de Permisos,
183,1,70,0,Correo,
183,2,70,0,Correo,
184,1,71,0,SMS,
184,2,71,0,SMS,
185,1,72,0,Correo,
185,2,72,0,Correo,
187,1,148,0,Correo,
187,2,148,0,Correo,
188,1,73,0,WhatsApp,
188,2,73,0,WhatsApp,
189,1,74,0,Correo,
189,2,74,0,Correo,
190,1,75,0,WhatsApp,
190,2,75,0,WhatsApp,
191,1,76,0,Control Horario,
191,2,15,1,Registro Horario,
193,1,0,0,Libros/Declaraciones,
193,2,0,0,Libros/Declaraciones,
194,1,0,0,Libro del IVA/IGIC (Fra. Emitidas/Fra. Recibidas),
194,2,0,0,Libro del IVA/IGIC (Fra. Emitidas/Fra. Recibidas),
196,1,0,0,Libro de Gastos,
196,2,0,0,Libro de Gastos,
197,1,0,0,Libro Bs. Inversión,
197,2,0,0,Libro Bs. Inversión,
199,1,0,0,I.V.A.,
199,2,0,0,I.V.A.,
200,1,0,0,Liquidación IVA Mód. 303,
200,2,0,0,Liquidación IVA Mód. 303,
201,1,0,0,Declaración Mód. 347,
201,2,0,0,Declaración Mód. 347,
202,1,0,0,I.R.P.F.,
202,2,0,0,I.R.P.F.,
203,1,0,0,Ventas,
203,2,0,0,Ventas,
204,1,0,0,Nóminas,
204,2,0,0,Nóminas,
205,1,0,0,Alquileres,
205,2,0,0,Alquileres,
206,1,0,0,Profesionales,
206,2,0,0,Profesionales,
207,1,0,0,Nóminas - Rendimientos en Especie,
207,2,0,0,Nóminas - Rendimientos en Especie,
208,1,77,0,Libros Según Facturación,
208,2,77,0,Libros Según Facturación,
209,1,78,0,Libros Declaraciones,
209,2,78,0,Libros Declaraciones,
210,1,79,0,Libro del IVA/IGIC (Fra. Emitidas/Fra Recibidas),
210,2,79,0,Libro del IVA/IGIC (Fra. Emitidas/Fra Recibidas),
211,1,80,0,Libros de Ingresos,
211,2,80,0,Libros de Ingresos,
212,1,81,0,Libro de Gastos,
212,2,81,0,Libro de Gastos,
213,1,82,0,Libro Bs. Inversión,
213,2,82,0,Libro Bs. Inversión,
214,1,83,0,Libro Provisiones/Suplidos,
214,2,83,0,Libro Provisiones/Suplidos,
215,1,84,0,I.V.A.,
215,2,84,0,I.V.A.,
216,1,85,0,Liquidación IVA Mód. 303,
216,2,85,0,Liquidación IVA Mód. 303,
217,1,86,0,Declaración Mód. 347,
217,2,86,0,Declaración Mód. 347,
218,1,87,0,I.R.P.F.,
218,2,87,0,I.R.P.F.,
219,1,88,0,Ventas,
219,2,88,0,Ventas,
220,1,89,0,Nóminas,
220,2,89,0,Nóminas,
221,1,90,0,Alquileres,
221,2,90,0,Alquileres,
222,1,91,0,Profesionales,
222,2,91,0,Profesionales,
223,1,92,0,IRPF - Nóminas - Rendimientos en Especie,
