id,codope,aplicacion,equipo,tipo,fecha,versionSO
1,1,MNprogram,DESKTOP-D72E0H9,0,2024-06-25 10:12:25.670000,
2,1,Correo,DESKTOP-D72E0H9,0,2024-06-25 10:12:41.290000,
3,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-06-25 10:12:41.597000,
4,1,MNprogram,DESKTOP-D72E0H9,1,2024-06-25 10:25:48.203000,
5,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-06-25 12:28:23.677000,
6,1,Correo,DESKTOP-D72E0H9,1,2024-06-25 12:28:27.473000,
7,1,MNprogram,DESKTOP-D72E0H9,0,2024-06-25 12:57:52.347000,
8,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-06-25 12:58:00.163000,
9,1,Correo,DESKTOP-D72E0H9,0,2024-06-25 12:58:02.143000,
10,1,GestorConsultas:40,DESKTOP-D72E0H9,0,2024-06-25 12:58:10.447000,
11,1,GestorConsultas:33,DESKTOP-D72E0H9,0,2024-06-25 12:58:20.923000,
12,1,GestorConsultas:33,DESKTOP-D72E0H9,1,2024-06-25 13:00:24.547000,
13,1,GestorConsultas:48,DESKTOP-D72E0H9,0,2024-06-25 13:00:35.230000,
14,1,GestorConsultas:48,DESKTOP-D72E0H9,1,2024-06-25 13:01:02.630000,
15,1,MNprogram,DESKTOP-D72E0H9,1,2024-06-25 13:01:43.150000,
16,1,GestorConsultas:40,DESKTOP-D72E0H9,1,2024-06-25 13:01:45.490000,
17,1,Correo,DESKTOP-D72E0H9,1,2024-06-25 13:08:18.907000,
18,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-06-29 15:29:15.083000,
19,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-01 17:03:16.867000,
20,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-01 17:03:25.957000,
21,1,Correo,DESKTOP-D72E0H9,0,2024-07-01 17:03:28.700000,
22,1,GestorConsultas:40,DESKTOP-D72E0H9,0,2024-07-01 17:11:42.677000,
23,1,GestorConsultas:40,DESKTOP-D72E0H9,1,2024-07-01 17:30:31.547000,
24,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-03 16:44:12.187000,
25,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-03 16:44:15.343000,
26,1,Correo,DESKTOP-D72E0H9,1,2024-07-03 16:44:23.597000,
27,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-03 16:44:55.717000,
28,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-03 16:45:04.360000,
29,1,Correo,DESKTOP-D72E0H9,0,2024-07-03 16:45:06.117000,
30,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-03 16:46:31,9
31,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-03 16:47:08.360000,
32,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-03 16:47:16.357000,
33,1,Correo,DESKTOP-D72E0H9,1,2024-07-03 16:47:24.573000,
34,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-03 16:47:34.830000,
35,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-03 16:47:42.270000,
36,1,Correo,DESKTOP-D72E0H9,0,2024-07-03 16:47:43.750000,
37,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-03 16:52:13.960000,
38,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-03 16:52:29.600000,
39,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-03 16:52:37.277000,
40,1,Correo,DESKTOP-D72E0H9,0,2024-07-03 16:52:40.237000,
41,1,GestorConsultas:40,DESKTOP-D72E0H9,0,2024-07-03 16:54:28.210000,
42,1,GestorConsultas:40,DESKTOP-D72E0H9,1,2024-07-03 16:59:11.990000,
43,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-03 17:21:32.357000,
44,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-03 19:24:49,9
45,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-04 10:04:50.410000,
46,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-04 10:04:58.543000,
47,1,Correo,DESKTOP-D72E0H9,0,2024-07-04 10:35:13.770000,
48,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-04 12:12:27.420000,
49,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-08 16:41:53.187000,
50,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-08 16:42:00.700000,
51,1,Correo,DESKTOP-D72E0H9,0,2024-07-08 16:42:56.297000,
52,1,Correo,DESKTOP-D72E0H9,1,2024-07-08 16:47:49.137000,
53,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-08 16:47:53.377000,
54,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-09 10:39:46.043000,
55,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-09 10:39:53.930000,
56,1,Correo,DESKTOP-D72E0H9,0,2024-07-09 11:11:37.213000,
57,1,Correo,DESKTOP-D72E0H9,1,2024-07-09 11:11:44.567000,
58,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-09 12:33:10.957000,
59,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-09 16:44:44.447000,
60,1,GestorConsultas:21,DESKTOP-D72E0H9,0,2024-07-09 18:08:04.830000,
61,1,GestorConsultas:21,DESKTOP-D72E0H9,1,2024-07-10 15:54:03.053000,
62,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-10 15:54:08.557000,
63,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-10 15:57:53.647000,
64,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-10 16:40:33.690000,
65,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-10 16:40:40.957000,
66,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-10 19:48:52.623000,
67,1,AppAngular,MNCLOUDIIS02,0,2024-07-10 19:50:41.767000,
68,1,AppAngular,MNCLOUDIIS02,0,2024-07-10 19:52:07.030000,
69,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-10 21:14:16.720000,
70,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-10 21:39:02.363000,
71,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-10 21:39:03.677000,
72,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-11 09:37:00.617000,
73,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-11 09:37:08.737000,
74,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-11 13:07:59.770000,
75,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-11 13:08:19.437000,
76,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-11 15:26:23.340000,
77,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-11 16:51:07.277000,
78,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-15 19:36:56.163000,
79,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-15 19:38:44.860000,
80,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-16 08:19:39.720000,
81,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-16 08:19:46.690000,
82,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-16 13:10:16.010000,
83,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-16 13:10:20.403000,
84,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-16 16:11:32.020000,
85,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-16 16:11:38.357000,
86,1,GestorConsultas:37,DESKTOP-D72E0H9,1,2024-07-16 19:33:03.607000,
87,1,MNprogram,DESKTOP-D72E0H9,1,2024-07-16 19:33:10.027000,
88,1,MNprogram,DESKTOP-D72E0H9,0,2024-07-17 08:51:57.173000,
89,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-07-17 08:52:06.040000,
