Nivel1,Nivel2,Nivel3,Nivel4,Cuenta,Descripcion,Importe
1,0,0,0,,A) Resultado de la cuenta de pérdidas y ganancias,
2,0,0,0,,Ingresos y Gastos imputados directamente al patrimonio neto,
2,1,0,0,,I. Por valoración de instrumentos financieros,
2,1,1,0,,1. Activos financieros disponibles para la venta,
2,1,1,1,800,Pérdidas en activos financieros disponibles para la venta,
2,1,1,2,891,"Deterioro de participaciones en el patrimonio, empresas del grupo",
2,1,1,3,892,"Deterioro de participaciones en el patrimonio, empresas asociadas",
2,1,1,4,900,Beneficios en activos financieros disponibles para la venta,
2,1,1,5,991,"Recuperación de ajustes valorativos negativos previos, empresas del grupo",
2,1,1,6,992,"Recuperación de ajustes valorativos negativos previos, empresas asociadas",
2,1,2,0,,2. Otros ingresos/gastos,
2,2,0,0,,II. Por coberturas de flujos de efectivo,
2,2,1,0,810,Pérdidas por coberturas de flujos de efectivo,
2,2,2,0,910,Beneficios por coberturas de flujos de efectivo,
2,3,0,0,,"III. Subvenciones, donaciones y legados recibidos",
2,3,1,0,940,Ingresos de subvenciones oficiales de capital,
2,3,2,0,941,Ingresos de donaciones y legados de capital,
2,3,3,0,942,"Ingresos de otras subvenciones, donaciones y legados",
2,4,0,0,,IV. Por ganancias y  pérdidas actuariales y otros ajustes,
2,4,1,0,850,Pérdidas actuariales,
2,4,2,0,851,Ajustes negativos en activos por retribuciones a largo plazo de prestación definida,
2,4,3,0,950,Ganancias actuariales,
2,4,4,0,951,Ajustes positivos en activos por retribuciones a largo plazo de prestación definida,
2,5,0,0,,V. Efecto impositivo,
2,5,1,0,8300,Impuesto corriente,
2,5,2,0,8301,Impuesto diferido,
2,5,3,0,833,Ajustes negativos en la imposición sobre beneficios,
2,5,4,0,834,Ingresos fiscales por diferencias permanentes,
2,5,5,0,835,Ingresos fiscales por deducciones y bonificaciones,
2,5,6,0,838,Ajustes positivos en la imposición sobre beneficios,
3,0,0,0,,B)TOTAL INGRESOS Y GASTOS IMPUTADOS DIRECTAMENTE EN EL PATRIMONIO NETO (I+II+III+IV+V),
4,0,0,0,,	Transferencias a la cuenta de pérdidas y ganancias,
4,1,0,0,,VI. Por valoración de instrumentos financieros,
4,1,1,0,,1. Activos financieros disponibles para la venta,
4,1,1,1,802,Transferencia de beneficios en activos financieros disponibles para la venta,
4,1,1,2,902,Transferencia de pérdidas de activos financieros disponibles para la venta,
4,1,1,3,993,"Transferencia por deterioro de ajustes valorativos negativos previos, empresas del grupo",
4,1,1,4,994,"Transferencia por deterioro de ajustes valorativos negativos previos, empresas asociadas",
4,1,2,0,,2. Otros ingresos/gastos,
4,2,0,0,,VII. Por coberturas de flujos de efectivo,
4,2,1,0,812,Transferencia de beneficios por coberturas de flujos de efectivo,
4,2,2,0,912,Transferencia de pérdidas por coberturas de flujos de efectivo,
4,3,0,0,,"VIII.  Subvenciones, donaciones y legados recibidos",
4,3,1,0,840,Transferencia de subvenciones oficiales de capital,
4,3,2,0,841,Transferencia de donaciones y legados de capital,
4,3,3,0,842,"Transferencia de otras subvenciones, donaciones y legados",
4,4,0,0,,IX. Efecto impositivo,
4,4,1,0,836,Transferencia de diferencias permanentes,
4,4,2,0,837,Transferencia de deducciones y bonificaciones,
5,0,0,0,,C)TOTAL DE GASTOS POR TRANSFERENCIAS A LA CUENTA DE PÉRDIDAS Y GANANCIAS (VI+VII+VIII+IX),
6,0,0,0,,TOTAL DE INGRESOS Y GASTOS RECONOCIDOS (A+B+C),
