idfiltro,idtipogestor,nombre,imagen,texto,usarForm,consultaSql,tipoFiltro,campo,winform,webpage,dinamico,subTipo,orden,tabla,grupo,descripcion,campoVisualizacion,usarEtiquetasIni,desglosable,nivelFiltro,otroscampos,valorDefecto,verFiltroDefecto,partesqlfiltro,filtroDataTable,disponible
1,1,dfechaact,,Fecha de Actuación,0,,2,dfechaact,,,0,0,1,0,,,,,,0,,,1,,,1
2,1,Realizada,green_check.png,Actu. Realizadas,0,acturealizada = 1,0,acturealizada,,,0,0,7,0,Realizadas,Actuación Realizada,,,,0,,,1,,,1
5,1,clUsuarioActuacion,user.png,cliActuacion,0,"select icodsubusu, nombre from subusu",0,subusu,,,0,2,8,0,,Usuario Actuación,bvertrabajador,1,,0,,,1,,,1
6,1,cliente,user2.png,EtiqClientesProp,0,"select icodcli, snombrecli, codigo from clientes where tipobd = 0",0,icodcli,,,0,2,4,0,,Cliente Ppal. Exp.,,1,,0,,,1,,,1
7,1,TipoExpediente,folder_32.png,EtiqTipoExpediente,0,"select codigo, tipoexp from tipoexp",0,itipoexp,,,0,2,13,0,,Tipo Expediente,bVerExpedientes,1,,0,,,0,,,1
8,1,DescripcionExpediente,folder_32.png,ExpDescripcionExp,0,,0,descripcion,,,0,1,13,1,,Descripción Exp,bVerExpedientes,1,,0,,,0,,,1
9,1,Precio,C:\Documents and Settings\grodriguezb\Escritorio\euro2.png,Precio,0,,0,precio,,,0,3,19,0,,Precio,,,,0,,,0,,,1
10,1,Coste,C:\Documents and Settings\grodriguezb\Escritorio\euro2.png,Coste,0,,0,preciocoste,,,0,3,15,0,,Coste,bverpestanacostes,,,0,,,0,,,1
11,1,clUsuarioExpediente,user.png,ExpUsuario,0,"select icodsubusu, nombre from subusu",0,expusu,,,0,2,13,0,,Usuario Expediente,q,1,,0,,,0,,,1
12,1,clientesPotenciales,user3.png,Potenciales,0,"select icodcli as codigo, snombrecli from clientes
where tipobd = 2
",0,icodcli,,,0,2,13,0,,Clientes Potenciales,bverpotenciales,0,,0,,,0,,,1
13,1,TipoActuacion,a.png,Tipo de Actuación,0,,0,tipo,,,0,1,5,0,,Tipo de Actuación,,0,,0,,,1,,,1
14,1,ActuDescripcion,a.png,Actu. Descripción,0,,0,sactuacion,,,0,1,13,0,,Actuación. Descripción,,,,0,,,0,,,1
15,1,ActuPendientes,x.png,Actu. Pendientes,0,acturealizada = 0,0,acturealizada,,,0,0,6,0,Realizadas,Actuación Pendientes,,,,0,,,1,,,1
16,1,facturable,green_check.png,Actu. Cobrar,0,facturable is not null and facturable > 0 and (facturado is null or facturado < 1),0,facturable,,,0,0,13,0,facturar,Actuaciones a Facturar,,0,,0,facturado,,0,,,1
17,1,nofacturable,x.png,Actu. No Cobrar,0,facturable is null or facturable < 1,0,facturable,,,0,0,13,0,facturar,Actuaciones No Facturar,,0,,0,,,0,,,1
18,1,EnCuentas,cuentas.png,En Cuentas,0,facturado is not null and facturado > 0,0,facturado,,,0,0,15,0,,En Cuentas,,0,,0,,,0,,,1
19,1,EnFacturas,facturas.png,En Facturas,0,numfactura is not null and numfactura > 0,0,facturado,,,0,0,15,0,,En Facturas,,,,0,numfactura,,0,,,1
20,1,fecharealizacion,,Fecha Realización,0,,2,fecharealizacion,,,0,0,13,0,,,,0,,0,,,0,,,1
21,2,dfecha,,OporFecha,0,,2,dfecha,,,0,0,,0,,oporcli,,1,,0,,,0,,,1
22,2,fechacierre,,fechacierre,0,,2,fechacierre,,,0,0,,0,,oporcli,,2,,0,,,0,,,1
23,2,usuariooportunidad,user.png,Usuario,0,"select icodsubusu, nombre, estadoCli from subusu
left JOIN clientes C ON subusu.icodsubusu = C.CodSubUSu and C.clitrabajador = 1",0,icodusu,,,0,2,1,0,,Usuario Oportunidad,,0,1,0,,,0,,,1
24,2,clientes,user2.png,Clientes,0,"select icodcli, snombrecli from clientes
where tipobd = 0
",0,icodcli,,,0,2,2,0,,Clientes,,0,,0,,,0,,,1
25,2,precio,euro2.png,Precio,0,,0,precio,,,0,3,8,0,,Precio,,0,,0,,,0,,,1
26,2,importecierre,euro2.png,Importe Venta,0,,0,importecierre,,,0,3,11,0,,Importe Venta,,0,,0,,,0,,,1
28,2,clientespotenciales,user3.png,Potenciales,0,"select icodcli, snombrecli from clientes
where tipobd = 2",0,icodcli,,,0,2,4,0,,Clientes Potenciales,,0,,0,,,0,,,1
29,2,terceros,user3.png,EtiqTercerosProp,0,"select icodcli, snombrecli from clientes where tipobd = 3",0,icodcli,,,0,2,4,0,,EtiqTercerosProp,bVerTerceros,1,,0,,,0,,,1
31,2,fuente,a.png,Fuente,0,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'fuente'",0,fuente,,,0,1,12,0,,Fuente,,0,1,0,,,0,,,1
32,2,tipooportunidad,a.png,Tipo,0,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'tipo'",0,tipo,,,0,1,7,0,,Tipo Oportunidad,,0,1,0,,,0,,,1
33,2,codigo,a.png,Código,0,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'codigo'",0,codigo,,,0,2,16,0,,Código,,0,,0,,,0,,,1
34,2,etapa,a.png,Etapa,0,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'etapa'",0,etapa,,,0,1,9,0,,Etapa,,0,1,0,,,0,,,1
35,2,colectivo,a.png,Campo18,0,"SELECT valor
FROM combovalores
where tabla = 'clientes' and campo = 'perso88'",0,campo18,,,0,1,32,0,,oporcli,bvercampobd2opor,2,,0,,,0,,,1
36,2,nacionalidad,a.png,Nacionalidad,0,"SELECT valor
FROM combovalores
where tabla = 'clientes' and campo = 'Nacionalidad'",0,nacionalidad,,,0,1,11,0,,Nacionalidad,,0,,0,,,0,,,1
37,2,captador,a.png,Campo17,0,"SELECT descripcion 
FROM actuopor
WHERE campo = 1 and indice = 0",0,campo17,,,0,1,30,0,,oporcli,bvercampobd1opor,2,,0,,,0,,,1
38,2,campofecha1,,CampoFecha1,0,,2,campofecha1,,,0,0,,0,,oporcli,bvercampofecha1opor,2,,0,,,0,,,1
39,1,Base Datos,datos.png,Base de Datos,0,,0,,,,0,5,3,0,,Base de Datos,,0,,0,,,1,,,1
40,1,Campo1,a.png,campo1,0,,0,campo1,,,0,1,19,0,,segexp,vercampo1seg,2,,0,,,0,,,1
41,1,Campo2,a.png,campo2,0,,0,campo2,,,0,1,22,0,,segexp,vercampo2seg,2,,0,,,0,,,1
42,1,Campo4,a.png,campo4,0,,0,campo4,,,0,1,22,0,,segexp,vercampo4seg,2,,0,,,0,,,1
43,1,Campo5,a.png,campo5,0,,0,campo5,,,0,1,22,0,,segexp,vercampo5seg,2,,0,,,0,,,1
44,1,Campo7,a.png,campo7,0,,0,campo7,,,0,1,23,0,,segexp,vercampo7seg,2,,0,,,0,,,1
45,1,Campo8,a.png,campo8,0,,0,campo8,,,0,1,24,0,,segexp,vercampo8seg,2,,0,,,0,,,1
47,2,ventas,pagada.png,Ventas,0,etapa like 'Cerrada. Vendida' or etapa like 'Cerrada. Venta Adelantada',0,etapa,,,0,0,15,0,Etapa,Ventas,,0,,0,,,0,,,1
48,2,perdidas,perdida.png,Perdidas,0,etapa like 'Cerrada. Perdida',0,etapa,,,0,0,10,0,Etapa,Perdidas,,0,,0,,,0,,,1
50,2,estado,a.png,Estado,0,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'estadoopor'",0,estado,,,0,1,9,0,,Estado,,0,1,0,,,0,,,1
51,2,base datos,datos.png,Base Datos,0,,0,,,,0,5,1,0,,Base Datos,,0,,0,,,0,,,1
52,2,gestor impagado,a.png,Campo10,0,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'Campo10'",0,campo10,,,0,2,25,0,,oporcli,verCampo10opor,2,,0,,,0,,,1
53,2,campofecha4,,CampoFecha4,0,,2,campofecha4,,,0,0,,0,,oporcli,verCampoFecha4opor,2,,0,,,0,,,1
54,2,campofecha5,,CampoFecha5,0,,2,campofecha5,,,0,0,,0,,oporcli,verCampoFecha5opor,2,,0,,,0,,,1
