idfiltro,Codusu,verfiltro,orden
1,0,1,0
2,0,1,1
5,0,1,7
6,0,1,3
7,0,0,54
8,0,0,24
9,0,0,69
10,0,0,21
11,0,0,2
12,0,0,67
13,0,1,6
14,0,1,0
15,0,0,98
16,0,0,97
17,0,0,10
18,0,0,35
19,0,0,36
21,0,1,0
22,0,1,1
23,0,1,3
24,0,1,4
25,0,0,47
26,0,0,36
28,0,0,45
29,0,0,14
31,0,0,32
32,0,0,55
33,0,0,11
34,0,1,1
35,0,0,12
36,0,0,37
37,0,0,9
38,0,0,6
39,0,1,2
40,0,0,36
41,0,0,37
42,0,0,38
43,0,0,39
44,0,0,40
45,0,0,41
47,0,0,58
48,0,0,43
50,0,1,2
51,0,0,7
52,0,0,38
53,0,0,3
54,0,0,4
56,0,1,1
57,0,1,0
58,0,1,4
59,0,1,5
61,0,0,22
62,0,0,21
63,0,1,2
64,0,1,3
110,0,1,3
111,0,1,1
112,0,1,2
113,0,1,4
114,0,1,0
115,0,1,0
116,0,1,8
117,0,0,30
118,0,0,31
119,0,0,32
120,0,0,53
121,0,0,37
122,0,1,2
123,0,1,3
124,0,1,1
125,0,0,28
126,0,0,32
127,0,1,6
128,0,1,7
129,0,0,49
130,0,0,33
131,0,0,34
132,0,0,35
133,0,0,36
134,0,0,24
135,0,0,2
136,0,0,28
137,0,0,30
138,0,0,33
139,0,0,31
140,0,0,32
141,0,0,8
142,0,0,10
143,0,0,35
144,0,0,36
146,0,0,41
147,0,0,39
148,0,0,40
149,0,0,42
150,0,0,46
151,0,0,44
152,0,0,49
153,0,0,47
154,0,0,48
155,0,0,5
156,0,0,6
157,0,0,7
158,0,0,8
159,0,0,9
160,0,0,50
161,0,0,51
162,0,0,52
163,0,0,53
164,0,0,54
165,0,1,96
210,0,0,55
211,0,0,42
212,0,0,45
213,0,0,46
214,0,0,47
215,0,0,48
216,0,0,49
217,0,0,50
218,0,0,51
219,0,0,44
220,0,0,70
222,0,0,52
223,0,0,53
224,0,0,43
225,0,0,8
226,0,0,9
227,0,0,13
228,0,0,14
229,0,0,17
230,0,0,18
231,0,0,21
232,0,0,22
233,0,0,25
234,0,0,26
235,0,0,32
236,0,0,33
240,0,1,5
241,0,0,6
242,0,0,23
243,0,0,44
244,0,0,36
245,0,0,10
246,0,0,12
247,0,0,57
248,0,0,50
249,0,0,51
250,0,0,52
251,0,0,29
252,0,1,4
253,0,1,5
268,0,0,18
293,0,0,85
294,0,0,13
295,0,0,37
296,0,0,54
297,0,0,17
298,0,0,39
299,0,0,11
300,0,0,11
301,0,0,12
302,0,0,13
303,0,0,14
304,0,0,40
305,0,0,16
307,0,0,88
308,0,0,19
310,0,0,13
311,0,0,132
312,0,0,133
313,0,0,134
314,0,0,135
315,0,0,72
316,0,0,137
317,0,0,138
318,0,1,4
319,0,0,63
320,0,0,42
341,0,1,9
342,0,1,10
346,0,1,1
347,0,0,53
348,0,0,81
388,0,1,6
389,0,1,7
390,0,1,8
391,0,1,9
392,0,1,10
437,0,1,11
438,0,1,12
448,0,0,23
470,0,1,0
482,0,1,11
483,0,1,12
490,0,0,22
499,0,0,66
502,0,0,18
505,0,0,19
506,0,0,20
508,0,1,6
509,0,0,20
510,0,1,7
511,0,1,8
512,0,1,11
513,0,0,9
514,0,0,10
515,0,1,12
522,0,0,22
523,0,0,90
524,0,0,69
528,0,0,34
552,0,0,16
553,0,0,44
554,0,0,13
560,0,0,14
561,0,0,15
573,0,0,47
592,0,0,2
593,0,0,3
594,0,0,4
595,0,0,5
596,0,0,6
597,0,0,38
598,0,0,148
599,0,0,41
