idfiltro,columnas,campoId,consultaSql,CampoBusqueda,NombreBusqueda,UsarTablaComun,UsarCodigo,incluirFiltro,consultaTablaAparte,respetarOrden,campoTexto
5,Código|icodsubusu|100;Nombre|nombre|300,icodsubusu,"select  icodsubusu, nombre, estadocli, 0 as MARCA  from(
select icodsubusu, nombre, estadocli from [[instancia]advabousu[empresa]].dbo.subusu  
left join [[instancia]advabousu[empresa]].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1
union all
select 0 as icodsubusu, '/**ususupervisor**/' as nombre, 'Alta' as estadocli) T",nombre,Nombre,0,0,1,,,
6,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",snombrecli|codigo,nombre|código,0,0,1,,,
7,Codigo|codigo|100;Nombre|tipoexp|300,codigo,"select codigo, tipoexp from [[instancia]advabousu[empresa]].dbo.tipoexp",tipoexp,Tipo,0,0,,,,
11,Código|icodsubusu|100;Nombre|nombre|300,icodsubusu,"select icodsubusu, nombre, estadocli from [[instancia]advabousu[empresa]].dbo.subusu  
left join [[instancia]advabousu[empresa]].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1",nombre,Nombre,0,0,1,,,
12,código|codigo|100;nombre|snombrecli|300,codigo,"select icodcli, tipobd, snombrecli, codigo, estadocli from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 2 ",snombrecli|codigo,nombre|código,0,0,1,,,
23,Código|icodsubusu|100;Nombre|nombre|300,icodsubusu,"select icodsubusu, nombre, estadocli from [[instancia]advabousu[empresa]].dbo.subusu  
left join [[instancia]advabousu[empresa]].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1",nombre,Nombre,0,0,1,,,
24,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, tipobd, codigo from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",snombrecli|codigo,nombre|código,0,0,2,,,
28,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, tipobd, codigo from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 2",snombrecli|codigo,nombre|código,0,0,2,,,
29,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, tipobd, codigo from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 3",snombrecli|codigo,nombre|código,0,0,0,,,
31,Fuente|valor|300,valor,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'fuente'",valor,Fuente,1,1,,,,
32,Tipo|valor|300,valor,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'tipo'",valor,Tipo,1,1,,,,
33,Código|valor|300,valor,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'codigo'",valor,Código,1,1,,,,
34,Etapa|valor|300,valor,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'etapa'",valor,Etapa,1,1,,,,
50,Estado|valor|300,valor,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'estadoopor'",valor,Estado,1,1,,,,
52,Gestor impagado|valor|300,valor,"SELECT valor 
FROM combovalores
WHERE tabla like 'oporcli'
AND campo like 'Campo10'",valor,Gestor impagado,1,1,,,,
56,Código|icodsubusu|100;Nombre|nombre|300,icodsubusu,"select icodsubusu, nombre, estadocli from [[instancia]advabousu[empresa]].dbo.subusu  
left join [[instancia]advabousu[empresa]].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1",nombre,Nombre,0,0,1,,,
58,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",snombrecli|codigo,nombre|código,0,0,0,,,
59,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 2",snombrecli|codigo,nombre|código,0,0,0,,,
61,Código|icodsubusu|100;Nombre|nombre|100,icodsubusu,"select icodsubusu, nombre, estadocli from [[instancia]advabousu[empresa]].dbo.subusu  
left join [[instancia]advabousu[empresa]].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1",nombre,Nombre,0,0,1,,,
62,Código|codigo|100;Nombre|tipoexp|300,codigo,"select codigo, tipoexp from [[instancia]advabousu[empresa]].dbo.tipoexp",tipoexp,Nombre,0,0,0,,,
63,Tipo|valor|300,valor,"select valor, tabla, llave, 0 as marca from (select  valor = case when valor='articulo' then (select isnull(persoart, 'articulo') from [[instancia]advabousu[empresa]].dbo.config) 
			 when valor='honorario'	then  (select isnull(persohono, 'honorario') from [[instancia]advabousu[empresa]].dbo.config) 
			 when valor='suplido' then (select isnull(persogast, 'suplido') from [[instancia]advabousu[empresa]].dbo.config)
			 when valor='provision' then (select isnull(persoprov, 'provision') from [[instancia]advabousu[empresa]].dbo.config)
			 when valor='varios' then (select isnull(persovari, 'varios') from [[instancia]advabousu[empresa]].dbo.config)
			 when valor = 'provision recibida' then (select isnull(persoprov, 'provision') from  [[instancia]advabousu[empresa]].dbo.config) + ' RECIBIDA'
			 when valor = 'provision solicitada' then (select isnull(persoprov, 'provision') from  [[instancia]advabousu[empresa]].dbo.config) + ' SOLICITADA'
			 else upper(valor) end, tabla, llave

from [[instancia]advabocom].dbo.gestorvalores
WHERE tabla in ('cuentas')
AND llave = 'tipo'
and (valor not like 'kit' or (select bverkits from [[instancia]advabousu[empresa]].dbo.config) = 1)
and (valor not in ((select isnull(persoprov, 'provision') from  [[instancia]advabousu[empresa]].dbo.config) + ' SOLICITADA', (select isnull(persoprov, 'provision') from  [[instancia]advabousu[empresa]].dbo.config) + ' RECIBIDA') or (select count(id) from [[instancia]advabousu[empresa]].dbo.configvisualizacion where nombre='vertiposprov' and valor=1)=1)
and (valor not like (select isnull(persoprov, 'provision') from [[instancia]advabousu[empresa]].dbo.config)  or (select count(id) from [[instancia]advabousu[empresa]].dbo.configvisualizacion where nombre='vertiposprov' and valor=1)=0)
and (valor not like 'ANTICIPO' or (select count(id) from [[instancia]advabousu[empresa]].dbo.configvisualizacion where nombre='bveranticipo' and valor=1)=1)
UNION
select isnull(nullif(valor, ''), REPLACE(etiqueta, 'CuePrevi', 'PREVIAS ')) as valor, 'previas' as tabla, 'tipo' as llave from [[instancia]advabocom].dbo.etiquetasini where seccion like 'FormExpCue' 
	and 
	(
		(etiqueta = 'CuePrevi' and exists (select bverprevias from config WHERE bverprevias = 1))
		or (etiqueta = 'CuePrevi1' and exists (select bverprevias1 from config WHERE bverprevias1 = 1))
		or (etiqueta = 'CuePrevi2' and exists (select bverprevias2 from config WHERE bverprevias2 = 1))
		or (etiqueta = 'CuePrevi3' and exists (select bverprevias3 from config WHERE bverprevias3 = 1))
		or (etiqueta = 'CuePrevi4' and exists (SELECT 1 FROM [[instancia]advabousu[empresa]].dbo.ConfigVisualizacion WHERE nombre = 'bVerCalculoIntereses' AND valor = 1))
	)
) as valores
[MARCAW]",valor,Tipo Cuenta,0,1,0,,,
71,Código|codigo|100;Nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",snombrecli,Nombre,0,0,0,,,
72,Código|codigo|100;Nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 2",snombrecli,Nombre,0,0,0,,,
90,Código|icodsubusu|100;Nombre|nombre|100,icodsubusu,"select icodsubusu, nombre, estadoCli from [[instancia]advabousu[empresa]].dbo.subusu  
left JOIN [[instancia]advabousu[empresa]].dbo.clientes C ON subusu.icodsubusu = C.CodSubUSu and C.tipobd = 1",nombre,Nombre,0,0,1,,,
116,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",snombrecli,Nombre,0,0,0,,,
124,Forma de Cobro|valor|300,valor,select valor from combovalores where campo like 'formacobro' and tabla like 'formacobro',valor,Forma de Cobro,1,1,0,,,
129,Tipo Factura|valor|300,valor,"select valor from gestorvalores
where tabla like 'prevcobros' and llave like 'TipoFactura'",valor,Tipo Factura,1,1,0,,,
142,Valor|valor|300,valor,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo7'",valor,Valor,1,1,,,,
143,|valor|300,valor,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo8'",valor,Valor,1,1,,,,
144,|valor|300,valor,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo9'",valor,Valor,1,1,,,,
146,|valor|300,valor,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo11'",valor,Valor,1,1,,,,
147,|valor|300,valor,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo12'",valor,Valor,1,1,,,,
148,|valor|300,valor,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo13'",valor,Valor,1,1,,,,
149,|valor|300,valor,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo14'",valor,Valor,1,1,,,,
150,|valor|300,valor,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo15'",valor,Valor,1,1,,,,
151,|valor|300,valor,"SELECT valor 
FROM combovalores 
WHERE tabla = 'oporcli' and
campo = 'campo16'",valor,Valor,1,1,,,,
168,Código|icodsubusu|100;Nombre|nombre|300,icodsubusu,"select  icodsubusu, nombre, estadocli, 0 as MARCA  from(
select icodsubusu, nombre, estadocli from [[instancia]advabousu[empresa]].dbo.subusu  
left join [[instancia]advabousu[empresa]].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1
union all
select 0 as icodsubusu, 'DESPACHO' as nombre, 'Alta' as estadocli) T",nombre,Nombre,0,0,1,,,
169,Código|codigo|100;Nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 0",snombrecli,Nombre,0,0,0,,,
175,Código|codigo|100;Nombre|snombrecli|300,codigo,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 2",nombre,Nombre,0,0,0,,,
194,Estado|valor|300;campo|campo|0,campo,"select campo, valor from combovalores where tabla='cbestadoseg'
",valor,Estado,1,0,0,,,
199,Estado|valor|300;campo|campo|0,campo,"select campo, valor from combovalores where tabla='cbestadoseg'",valor,Estado,1,0,,,,
200,Estado|valor|300;campo|campo|0,campo,"select campo, valor from combovalores where tabla='cbestadoseg'",valor,Estado,1,0,,,,
201,Estado|valor|300;campo|campo|0,campo,"select campo, valor from combovalores where tabla='cbestadoseg'",valor,Estado,1,0,,,,
202,Estado|valor|300;campo|campo|0,campo,"select campo, valor from combovalores where tabla='cbestadoseg'",valor,Estado,1,0,,,,
203,Estado|valor|300;campo|campo|0,campo,"select campo, valor from combovalores where tabla='cbestadoseg'",valor,Estado,1,0,,,,
204,Estado|valor|300;campo|campo|0,campo,"select campo, valor from combovalores where tabla='cbestadoseg'",valor,Estado,1,0,,,,
205,Estado|valor|300;campo|campo|0,campo,"select campo, valor from combovalores where tabla='cbestadoseg'",valor,Estado,1,0,,,,
206,Estado|valor|300;campo|campo|0,campo,"select campo, valor from combovalores where tabla='cbestadoseg'",valor,Estado,1,0,,,,
207,Estado|valor|300;campo|campo|0,campo,"select campo, valor from combovalores where tabla='cbestadoseg'",valor,Estado,1,0,,,,
208,Estado|valor|300;campo|campo|0,campo,"select campo, valor from combovalores where tabla='cbestadoseg'",valor,Estado,1,0,,,,
209,Estado|valor|300;campo|campo|0,campo,"select campo, valor from combovalores where tabla='cbestadoseg'",valor,Estado,1,0,,,,
242,Estado Impagado|valor|300,valor,"select valor from gestorvalores
where tabla like 'prevcobros' and llave like 'EstadoImpagado'",valor,Estado Impagado,1,1,0,,,
247,Código|icodsubusu|100;Nombre|nombre|300,icodsubusu," select  icodsubusu, nombre, estadocli, 0 as MARCA  from (select icodsubusu, nombre, estadocli from [[instancia]advabousu[empresa]].dbo.subusu    left join [[instancia]advabousu[empresa]].dbo.clientes c on subusu.icodsubusu = c.codsubusu and c.tipobd = 1  union all  select 0 as icodsubusu, '/**ususupervisor**/' as nombre, 'Alta' as estadocli) T",nombre,Nombre,0,0,1,,,
257,Código|codigo|100;Nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 4",snombrecli,Nombre,0,0,0,,,
293,Plazo|valor|300,valor,"select valor, tabla from gestorvalores where tabla like 'plazos'",valor,Plazo,1,1,0,,,
295,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 4",snombrecli,Nombre,0,0,0,,,
296,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 1",snombrecli,Nombre,0,0,0,,,
297,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 3",snombrecli,Nombre,0,0,0,,,
298,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 2",snombrecli,Nombre,0,0,0,,,
299,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 8",snombrecli,Nombre,0,0,0,,,
300,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 7",snombrecli,Nombre,0,0,0,,,
301,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 6",snombrecli,Nombre,0,0,0,,,
302,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 5",snombrecli,Nombre,0,0,0,,,
303,código|codigo|100;nombre|snombrecli|300,icodcli,"select icodcli, snombrecli, codigo, tipobd from [[instancia]advabousu[empresa]].dbo.clientes where tipobd = 10",snombrecli,Nombre,0,0,0,,,
