id,idconsulta,nombrefiltro,datos,incluirVacios,datosAnteriores,modificado,incluirVaciosAnterior,guidConsulta,negacion,idgrupo
1,1,Realizada,acturealizada = 1,0,,,,029d0bf3-f332-4322-a9f4-67a6aff9033f,,
2,2,ActuPendientes,acturealizada = 0,0,,,,df10e3b5-96bd-4033-b0f9-e197bf6a81eb,,
3,3,ActuDescripcion,sactuacion like '%Primera Consulta%',0,,,,9f919337-fc52-461e-ad04-a696ec31297b,,
4,4,Prioritarias,alertas = 1,0,,,,059d52fe-073c-45f5-8789-a032ac573a67,,
5,5,TipoActuacion,tipo like '%Correo%',0,,,,5875a9bb-2d61-4141-a4ca-6dc78854fdce,,
6,7,Realizada,acturealizada = 1,0,,0,0,c7505840-b2a0-4cd2-982c-227eb765572d,,
7,8,ActuPendientes,acturealizada = 0,0,,0,0,6bad4cf4-4914-42fb-8bfc-4082e16fb565,,
8,9,ActuDescripcion,sactuacion like '%Primera Consulta%',0,,0,0,a42d201c-d989-4e8c-b06d-9ca7a78d5bef,,
9,10,Prioritarias,alertas = 1,0,,0,0,dc23ef9c-c982-4d45-8808-c13ef8acbe43,,
10,11,TipoActuacion,tipo like '%Correo%',0,,0,0,8a0fc6e3-68d2-43be-855b-ca988cbbc565,,
11,14,Estado Impagado,(tipoimpago LIKE 'Impagado'),0,,,,45c0742d-b666-4773-9600-145d5ea4daa9,,
12,15,Tipo Factura,(tipofactura LIKE 'Sin Facturar'),0,,,,16fbf0a6-f08e-49b5-84aa-83d4d07bdcc6,,
13,15,Cobrado,realizada = 1,0,,,,16fbf0a6-f08e-49b5-84aa-83d4d07bdcc6,,
14,16,Cobrado,realizada = 1,0,,,,11296047-76f2-4ee2-84b0-9339c554bbcc,,
15,16,Forma de Cobro,(formapago LIKE 'Otros'),0,,,,11296047-76f2-4ee2-84b0-9339c554bbcc,,
16,19,Estado Impagado,(tipoimpago LIKE 'Impagado'),0,,0,0,8af0d4b5-5784-4621-84b4-306315b9313e,,
19,21,Cobrado,realizada = 1,0,,0,0,3964cb47-d03e-4ef6-9ac2-99924525dc6a,,
20,21,Forma de Cobro,(formapago LIKE 'Otros'),0,,0,0,3964cb47-d03e-4ef6-9ac2-99924525dc6a,,
21,20,Cobrado,realizada = 1,0,,0,0,d5421411-1a9f-4d8d-a3ec-a360b552dcb4,,
26,20,Tipo Factura,(tipofactura LIKE 'Sin Facturar'),0,,0,0,d5421411-1a9f-4d8d-a3ec-a360b552dcb4,,
27,23,Total Cobrado,900<=totalcobradocli AND totalcobradocli<=99999999,0,,0,0,e13c5358-5972-45e1-8dcf-59b949fe07c7,False,
28,27,ActuDescripcion,sactuacion like 'cirugía',0,,0,0,30533fd9-dbd6-4e0a-b6dd-27c3613e6ccb,False,
29,28,En prospección,poliza = 'Póliza en Prospección',0,,,,237d48e8-695b-44eb-b33f-4d2aa8a0df72,,
30,29,Estado,estado like '%cerrado%',0,,,,d0f5d66f-c519-4c0a-a833-b923affe6cae,,
31,29,En cartera,poliza = 'Póliza en Cartera',0,,,,d0f5d66f-c519-4c0a-a833-b923affe6cae,,
32,30,Remesado,estaremesado = 1,0,,0,0,b1361a62-f465-4aaf-b34b-513859ec2039,,
33,30,Forma de Cobro,(formapago1 LIKE 'Recibo'),0,,0,0,b1361a62-f465-4aaf-b34b-513859ec2039,,
38,32,No Cobrado,cobrado is null or cobrado = 0,0,,,,d5676626-a48f-4bf1-8b9b-1890cdb1305a,,
39,33,No Facturado,facturado is null or facturado = '' or facturado = 0,0,,,,180a778b-ec1e-443c-90bf-333e7aa766e7,,
