id,idgrupo,nombre,contenido,codope,principal
3,48,Facturación por paciente,"{""idgrupo"":48,""idconsulta"":194,""columnas"":""1716"",""indicadores"":""224"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
4,48,Facturación por tipo cliente,"{""idgrupo"":48,""idconsulta"":194,""columnas"":""7324"",""indicadores"":""224"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
5,48,Facturación por forma de cobro,"{""idgrupo"":48,""idconsulta"":194,""columnas"":""1720"",""indicadores"":""224"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
6,48,Facturación por concepto,"{""idgrupo"":48,""idconsulta"":194,""columnas"":""8244"",""indicadores"":""224"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
27,6,Núm. Cuentas por tipo,"{""idgrupo"":6,""idconsulta"":51,""columnas"":""89"",""indicadores"":""24"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
30,85,Núm. de facturas y total por proveedor,"{""idgrupo"":85,""idconsulta"":209,""columnas"":""4944"",""indicadores"":""1077|501"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
31,85,Importe por año,"{""idgrupo"":85,""idconsulta"":209,""columnas"":""7933"",""indicadores"":""955"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
32,85,Importes por conceptos,"{""idgrupo"":85,""idconsulta"":209,""columnas"":""4943"",""indicadores"":""955"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
33,13,Importe cobrado por forma de cobro,"{""idgrupo"":13,""idconsulta"":193,""columnas"":""187"",""indicadores"":""35"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
34,13,Importe de cobros por forma de cobro,"{""idgrupo"":13,""idconsulta"":193,""columnas"":""187"",""indicadores"":""33"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
35,13,Importe cobrado por año,"{""idgrupo"":13,""idconsulta"":193,""columnas"":""7845"",""indicadores"":""35"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
36,13,Importe impagados por año,"{""idgrupo"":13,""idconsulta"":193,""columnas"":""7845"",""indicadores"":""75"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
37,115,Importe pagado a proveedor,"{""idgrupo"":115,""idconsulta"":264,""columnas"":""8009"",""indicadores"":""970"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
38,115,Importe no pagado a proveedor,"{""idgrupo"":115,""idconsulta"":264,""columnas"":""8009"",""indicadores"":""971"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
40,106,Entradas y salidas por tipo artículo,"{""idgrupo"":106,""idconsulta"":308,""columnas"":""8334"",""indicadores"":""1039|1040"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
41,106,Entradas y salidas por nombre artículo,"{""idgrupo"":106,""idconsulta"":308,""columnas"":""7689"",""indicadores"":""1039|1040"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
42,106,Margen de ganancia por proveedor,"{""idgrupo"":106,""idconsulta"":308,""columnas"":""7686"",""indicadores"":""1035"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
43,106,Margen de ganancia por nombre artículo,"{""idgrupo"":106,""idconsulta"":308,""columnas"":""7689"",""indicadores"":""1035"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
44,106,Margen de ganancia por tipo artículo,"{""idgrupo"":106,""idconsulta"":308,""columnas"":""8334"",""indicadores"":""1035"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
46,95,Importes por proveedor,"{""idgrupo"":95,""idconsulta"":99,""columnas"":""7245"",""indicadores"":""842|841|839"",""valoresgraficados"":"""",""tipografico"":8,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":""Descending,842,indicador"",""idPlantilla"":null,""nombrePlantilla"":null}",1,
48,71,Pacientes por Edad,"{""idgrupo"":71,""idconsulta"":215,""columnas"":""3228"",""indicadores"":""410|411|412"",""valoresgraficados"":"""",""tipografico"":5,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
52,71,Pacientes por Aseguradora,"{""idgrupo"":71,""idconsulta"":215,""columnas"":""3254"",""indicadores"":""410|411|412"",""valoresgraficados"":"""",""tipografico"":5,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":51,""nombrePlantilla"":null}",1,
54,71,Pacientes por Sexo,"{""idgrupo"":71,""idconsulta"":215,""columnas"":""8419"",""indicadores"":""410|411|412"",""valoresgraficados"":"""",""tipografico"":5,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":53,""nombrePlantilla"":null}",1,
55,71,Pacientes por Tipo y Estado,"{""idgrupo"":71,""idconsulta"":215,""columnas"":""3131"",""indicadores"":""410|411|412"",""valoresgraficados"":"""",""tipografico"":5,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":50,""nombrePlantilla"":null}",1,
56,63,Portenciales por Tipo,"{""idgrupo"":63,""idconsulta"":195,""columnas"":""2129"",""indicadores"":""978"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
57,63,Potenciales por Estado,"{""idgrupo"":63,""idconsulta"":195,""columnas"":""3505"",""indicadores"":""359"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
58,63,Días sin actuaciones por Potencial,"{""idgrupo"":63,""idconsulta"":195,""columnas"":""2118"",""indicadores"":""772"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
59,62,Clientes por Tipo y Estado,"{""idgrupo"":62,""idconsulta"":241,""columnas"":""2029"",""indicadores"":""353|354|363"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
60,62,Cobros pendientes por Cliente,"{""idgrupo"":62,""idconsulta"":241,""columnas"":""2016"",""indicadores"":""929"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
62,79,Aseguradoras por Tipo y Estado,"{""idgrupo"":79,""idconsulta"":178,""columnas"":""3994"",""indicadores"":""444|445|446"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
63,77,Trabajadores por Tipo,"{""idgrupo"":77,""idconsulta"":202,""columnas"":""3623"",""indicadores"":""470"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
64,77,Trabajadores por Estado,"{""idgrupo"":77,""idconsulta"":202,""columnas"":""3620"",""indicadores"":""470"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
65,77,Trabajadores por Departamento,"{""idgrupo"":77,""idconsulta"":202,""columnas"":""6305"",""indicadores"":""470"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
66,78,Contactos por Tipo y Estado,"{""idgrupo"":78,""idconsulta"":197,""columnas"":""3722"",""indicadores"":""432|433|434"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
67,68,Proveedores Activos por Tipo,"{""idgrupo"":68,""idconsulta"":196,""columnas"":""2674"",""indicadores"":""980"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
68,68,Proveedores por Estado,"{""idgrupo"":68,""idconsulta"":196,""columnas"":""2654"",""indicadores"":""384"",""valoresgraficados"":"""",""tipografico"":null,""veretiquetas"":false,""dragcolumnas"":"""",""columnasIndicador"":"""",""indicadoresOrden"":"""",""idPlantilla"":null,""nombrePlantilla"":null}",1,
