idcolumna,idgrupo,nombre,texto,campo,tipo,orden,imagenes,usarEtiquetasIni,tabla,desglosable,actualizable,campoVisualizacion,anchoPropio,tablaorigen,parteSql,parteSqlIdgestorbasedatos,parteSqlResto,verColumnaDefecto,visibleDashboard,disponible
2,1,dfechaact,F. Actuación,dfechaact,6,0,,0,,0,1,,80,,,,,1,False,True
3,1,clFechaAlta,EtiqFechaAltaActuacion,dfechanotificacion,6,18,,1,,0,1,,,,act.dfechanotificacion,,,0,False,True
4,1,Actuacion,Descripción,sactuacion,0,3,,0,,1,0,,200,,act.sactuacion,,,1,True,False
5,1,clUsuario,cliUsuario,nomsubusu,0,5,,1,,1,1,bvertrabajador,100,,"case when (select count(distinct(subact.codsubusu)) from [[instancia]advabousu[empresa]].dbo.subususact subact where subact.idact=act.id and subact.origen = origen) > 1 then upper('VARIOS') else ISNULL(s.nombre, CASE '/**ususupervisor**/' WHEN '/**ususupervisorDefecto**/' THEN '' ELSE '/**ususupervisor**/' END) end as nomsubusu",,,1,True,False
6,1,Realizado,Rzdo,acturealizada,3,6,0:Pendiente|1:Realizada,,,,0,,40,,,,,1,True,False
7,1,clFechaRealizacion,F. Realización,fecharealizacion,6,18,,0,,0,1,,,,act.fecharealizacion,,,0,False,True
9,1,clHoraInicio,Hora Inicio,horainiact,2,1,,,,,0,,100,,act.horainiact,,,1,False,True
10,1,clHoraFinal,Hora Final,horafinact,2,9,,,,,0,,,,act.horafinact,,,0,False,True
11,1,clTiempoPrevisto,Tiempo Previsto,tiempoprevisto,5,18,,,,,1,bvertiempoprevisto,,,,,,0,False,True
12,1,clTiempo,Tiempo,tiempo,5,10,,,,,1,,,,,,,0,True,False
13,1,clPrecio,Precio,precio,8,18,,,,,0,,,,,,,0,False,True
14,1,clPrioritaria,Prioritaria,alertas,3,18,1:ball,0,,0,1,,60,,act.alertas,,,0,False,True
15,1,clCliente,Nombre,snombrecli,0,2,,0,,0,1,,,,,,,1,True,False
16,1,clTipoActuacion,Tipo Actuación,tipo,0,4,,,,,0,,100,,,,,1,True,False
17,1,clDescripcionExpediente,ExpDescripcionExp,descripcion,0,5,,1,,0,1,bVerExpedientes,200,,e.descripcion,,,0,False,True
18,1,clTipoExpediente,EtiqTipoExpediente,tipoexp,0,18,,1,,,1,bVerExpedientes,,,tipoexp.tipoexp,1,tipodeexp.tipoexp,0,False,True
19,1,clNumExp,ExpNumExp,numexp,0,3,,1,,0,1,bVerExpedientes,100,,e.expediente as numexp,,,0,False,True
20,1,clAño,Año,iyear,0,4,,,,,1,,,,,,,0,False,True
21,1,clFac,Cobrar,facturable,4,21,-1:No|1:Si|*:Si|0:No,0,,0,1,,40,,act.facturable,,,0,False,True
22,1,numfactura,Factura,numfactura,0,22,,0,,0,1,,60,,,,,0,False,True
23,1,Coste,Coste Bruto,preciocoste,8,23,,,,,1,bverpestanacostes,,,,,,0,False,True
46,1,AnoFactura,Año Fact.,yearfact,0,46,,,,,1,,,,,,,0,False,True
47,1,refpropia,Ref. Propia,refpropia,0,47,,,,,1,bVerExpedientes,,,e.srefabogado as refpropia,,,0,False,True
