idconsulta,idgrupo,columnas,indicadores,valoresgraficados,tipografico,veretiquetas,dragcolumnas,columnasIndicador,indicadoresOrden,idPlantilla,pivotActiveFilterString
51,6,,,,,False,,,,,
68,47,1599,336,,7,False,,,,,
82,62,2310|2311|2016|2029,353|354|363|357,0|0|0|0,7,False,,,,,
83,62,2311|2310,353,,7,False,,,,,
84,62,2311|2310,353,,7,False,,,,,
85,62,2311|2310,353,,7,False,,,,,
88,66,,,,,False,,,,,
91,73,3576,429,,7,False,4059,,,,
91,76,3486,450,,7,False,4061,,,,
91,87,,,,,False,,,,,
91,88,6452,1099|984|631|632|1100,,,False,,,"Descending,632,indicador",,
91,91,6715,762,,,False,,,,,
91,98,7379|7380|7383|7384|7381,1101|985|858|859|1102,,,False,,,,,
91,99,7398|7389,864,,,False,,,,,
96,79,,,,8,False,,,,,
97,84,,,,,False,,,,,
99,95,7245,842|841|839,,8,False,,,"Descending,842,indicador",46,
111,1,5,6|101|102,,101,False,,,,,
112,1,5,6,,101,False,,,,,
122,1,5,6|101|102,,101,False,,,,,
144,71,3114,410,,101,False,,,,,
164,13,202,33,,101,False,,,,,
165,13,7846,33,,101,False,,,,,
167,13,185,71,,101,False,,,,,
178,79,3989,444|445|446,,,False,,,,,
193,13,7845,75,,,False,,,,36,
194,48,1716,224,,,False,,,,3,
195,63,2118,772,,,False,,,,58,
196,68,2654,384,,,False,,,,68,
197,78,3722,432|433|434,,,False,,,,66,
198,94,,,,,False,,,,,
199,1,,,,,False,,,,,
202,77,6305,470,,,False,,,,65,
206,71,,,,,False,,,,,
209,85,4943,955,,,False,,,,32,
214,113,,,,,False,,,,,
215,71,3131,410|411|412,,5,False,,,,55,
228,4,68,40|41|43,,101,False,,,,,
229,4,68,15|18,,101,False,,,,,
230,4,68,40|41|43,,101,False,,,,,
232,1,5|4,6|10|7,,101,False,,,,,
233,13,202,33,,101,False,,,,,
241,62,2016,929,,,False,,,,,
264,115,8009,971,,,False,,,,38,
308,106,7689,1039|1040,,,False,,,,41,
324,1,,,,,False,,,,,
331,6,,,,,False,,,,,
332,13,7845,75,,,False,,,,36,
348,47,1599,336,,7,False,,,,,
356,48,1716,224,,,False,,,,3,
361,63,,,,,False,,,,,
362,62,2310|2311|2016|2029,353|354|363|357,0|0|0|0,7,False,,,,,
363,62,2311|2310,353,,7,False,,,,,
364,62,2311|2310,353,,7,False,,,,,
365,62,2311|2310,353,,7,False,,,,,
366,62,2016,354,,,False,,,,,
368,66,,,,,False,,,,,
370,71,,,,,False,,,,,
372,73,3576,429,,7,False,4059,,,,
372,76,3486,450,,7,False,4061,,,,
372,87,,,,,False,,,,,
372,88,6452,1099|984|631|632|1100,,,False,,,"Descending,632,indicador",,
372,91,6715,762,,,False,,,,,
372,98,7379|7380|7383|7384|7381,1101|985|858|859|1102,,,False,,,,,
372,99,7398|7389,864,,,False,,,,,
381,79,,,,8,False,,,,,
382,79,,,,,False,,,,,
383,84,,,,,False,,,,,
384,85,4943,955,,,False,,,,32,
385,95,7245,842|841|839,,8,False,,,"Descending,842,indicador",46,
386,94,,,,,False,,,,,
388,106,7689,1039|1040,,,False,,,,41,
390,115,8009,971,,,False,,,,38,
396,77,,,,,False,,,,,
