id,idgrupo,nombre,texto,campo,campoVisualizacion,tipoFormato,filtroWhere,crearFormula,idtipogestor,codusu,calculado,expresion,visiblePanel,visibleForm,controlPadre,ordenPanel,ordenForm,orden,expresionUnBound,caseSql,kpi,filtro1,filtro2,ocultarIndicador,campoaux
6,,Cantidad,Número,,,2,,0,1,,0,count(linea),1,0,,,,1,,1,True,,,0,
7,,Total Precio,Total Precio,precio,verprecioseg[AND]!bOcultarPrecioHist[AND]!bOcultarIndicadoresEconom,3,,0,1,,0,sum(precio),1,0,,,,-7,,,True,,,0,
8,,Total Coste,Total Coste Bruto,preciocoste,!bOcultarCosteHist[AND]!bOcultarIndicadoresEconom,3,,0,1,,0,sum(preciocoste),1,1,,,,-8,,,True,,,0,
9,,Total T. Previsto,Total T. Previsto,tiempoprevisto,bvertiempoprevisto,1,,0,1,,0,sum(tiempoprevisto),1,0,,,,-9,,,True,,,0,
10,,Total Tiempo,Total Tiempo,tiempo,,1,,0,1,,0,sum(tiempo),1,0,,,,-10,,,True,,,0,
15,,Núm. Abiertas,Núm. Abiertas,,,2,estado like 'Abierta',0,2,,0,count(linea),0,1,Resumen,,54,-15,,case when oporcli.estado like 'Abierta' then 1 else 0 end,True,,,0,
17,,Núm. Presupuestos Realizados y Ganados,Núm. Presupuestos Realizados y Ganados,,,2,CampoFecha1 is not null and etapa like 'Ganada',0,2,,0,count(linea),0,1,Visitas,,58,-17,,case when oporcli.CampoFecha1 is not null and oporcli.etapa like 'Ganada' then 1 else 0 end,True,,,1,
18,,Importe,Importe,,,3,,0,2,,0,Sum(importecierre),1,0,,,76,2,,importecierre,True,,,0,
24,,numcuentas,Núm. Cuentas,,,2,,0,3,,0,count(linea),1,1,,,,,,1,False,,,0,
25,,totalentradas,Total Entradas,,,3,,0,3,,0,sum(fentradaseuro),1,1,,,,,,cuentas.fentradaseuro,False,,,0,
26,,total salidas,Total Salidas,,,3,,0,3,,0,sum(fsalidaseuro),1,1,,,,,,cuentas.fsalidaseuro,False,,,0,
27,,saldo,Saldo,,,3,,0,3,,1,[total entradas] - [total salidas],1,0,,,,,,,False,,,0,
28,12,Núm Obligaciones,Núm Obligaciones,,,2,,0,4,,0,count(id),1,0,,,,,,1,False,,,0,
29,12,Total Importe,Total Importe,,,3,,0,4,,0,sum(resultado),1,0,,,,,,resultado,False,,,0,
30,11,Núm Vencimientos,Núm Vencimientos,,,0,,0,5,,0,count(id),1,0,,,,,,1,False,,,0,
31,11,Total Importe,Total Importe,,,0,,0,5,,0,sum(importe),1,0,,,,,,importe,False,,,0,
32,13,Núm previsiones,Núm. Cobros,,,2,"isnull(alcobro,0) = 0",0,6,,0,count(id),1,1,CobrosNumero,,0,1,,"case when isnull(p.alcobro,0) = 0 then 1 else 0 end",False,,,0,
33,13,Importe previsiones,Importe Cobros,,,3,"isnull(alcobro,0) = 0",0,6,,0,sum(total),1,1,CobrosImporte,,1,2,,"case when isnull(p.alcobro,0) = 0  then p.total else 0 end",False,,,0,
34,13,Núm cobradas,Núm. Cobrados,,,2,"realizada = 1 and isnull(alcobro,0) = 0  and isnull(impagado,0)=0",0,6,,0,count(id),0,1,CobrosNumero,,,-34,,"case when p.cobrado = 1 and isnull(p.alcobro,0) = 0 and isnull(p.impagado,0)=0 then 1 else 0 end",False,,,0,
35,13,Importe cobrado,Importe Cobrado,,,3,"realizada = 1  and isnull(alcobro,0) = 0  and isnull(impagado,0)=0",0,6,,0,sum(total),1,1,CobrosImporte,,2,3,,"case when p.cobrado = 1 and isnull(p.alcobro,0) = 0 and isnull(p.impagado,0)=0 then p.total else 0 end",False,,,0,
36,13,Núm no cobradas,Núm. no Cobrados,,,2,realizada = 0 or realizada is null,0,6,,0,count(id),0,1,CobrosNumero,,,-36,,case when p.cobrado = 0 or p.cobrado is null then 1 else 0 end,False,,,0,
39,,Porcentaje Ganadas Presupuestos Cerrados,% Ganadas sobre Presupuestos,,,4,,0,2,,1,([Núm. Ganadas] / [Núm. Presupuestos Realizados y Cerrados])*100,0,0,Ventas,,65,-39,"Iif( [BoundNúm. Presupuestos Realizados y Cerrados] == 0, 0,    ToDecimal( [BoundNúm. Ganadas])/[BoundNúm. Presupuestos Realizados y Cerrados] )",,True,,,1,
40,,Núm. Oportunidades,Núm. Oportunidades,,,2,,0,2,,0,count(linea),1,1,Resumen,,0,1,,1,True,,,0,
41,,Núm. Ganadas,Núm. Ganadas,,,2,etapa like '%Ganada%',0,2,,0,count(linea),0,0,Ventas,,58,-41,,case when oporcli.etapa like '%Ganada%' then 1 else 0 end,True,,,0,
42,,Núm. Cerradas,Núm. Cerradas,,,2,estado like 'Cerrada',0,2,,0,count(linea),0,0,Oportunidades,,56,-42,,case when oporcli.estado like 'Cerrada' then 1 else 0 end,True,,,0,
43,,Núm. Perdidas,Núm. Perdidas,,,2,etapa like '%Perdida%',0,2,,0,count(linea),0,1,Resumen,,53,-43,,case when oporcli.etapa like '%Perdida%' then 1 else 0 end,True,,,0,
45,,Imp. Ganadas,Importe Ganadas,,,3,etapa like 'Ganada',0,2,,0,Sum(importecierre),0,1,Ventas,,49,-45,,case when oporcli.etapa like 'Ganada' then importecierre else 0 end,True,,,0,
46,,Imp. Promedio,Importe Promedio,,,3,,0,2,,1,[Importe] / [Núm. Oportunidades],0,0,Ventas,,64,-46,"Iif( [BoundNúm. Oportunidades] == 0, 0,    ToDecimal( [BoundImporte])/[BoundNúm. Oportunidades] )    ",,True,,,0,
47,,PrecioUnd,Precio,prevision,,3,,0,2,,0,sum(prevision),0,1,Ventas,,1,-47,,1,True,,,0,
51,,Porcentaje  Ganadas Presupuestos,% Ganadas Presupuestos,,,4,,0,2,,1,([Núm. Ganadas] / [Núm. Presupuestos])*100,0,0,Ventas,,70,-51,"Iif( [BoundNúm. Presupuestos] == 0, 0,    ToDecimal( [BoundNúm. Ganadas])/[BoundNúm. Presupuestos] )",,True,,,1,
52,,Núm. Presupuestos,Núm. Presupuestos,,,2,etapa like 'Presupuesto',0,2,,0,count(linea),0,1,Previsiones,,66,-52,,case when oporcli.etapa like 'Presupuesto' then 1 else 0 end,True,,,1,
53,,Imp. Presupuestos,Imp. Presupuestos,,,3,etapa like 'Presupuesto',0,2,,0,Sum(importecierre),0,1,Previsiones,,67,-53,,case when oporcli.etapa like 'Presupuesto' then 1 else 0 end,True,,,1,
55,,Núm. Presupuestos,Núm. Presupuestos,,,2,CampoFecha1 is not null,0,2,,0,count(linea),0,1,Visitas,,57,-55,,case when oporcli.CampoFecha1 is not null then 1 else 0 end,True,,,0,
57,,Porcentaje Ganadas,% Ganadas,,,4,,0,2,,1,([Núm. Ganadas] / [Núm. Oportunidades])*100,0,1,Porcentajes de Venta,,60,-57,"Iif( [BoundNúm. Oportunidades] == 0, 0,    ToDecimal( [BoundNúm. Ganadas])/[BoundNúm. Oportunidades] )",,True,,,0,
58,,Porcentaje Ganadas Cerradas,% Ganadas Cerradas,,,4,,0,2,,1,([Núm. Ganadas] / [Núm. Cerradas])*100,0,1,Porcentajes de Venta,,61,-58,"Iif( [BoundNúm. Cerradas] == 0, 0,  ToDecimal([BoundNúm. Ganadas])/[BoundNúm. Cerradas])",,True,,,1,
62,,Núm. Interés Confirmado,Núm. Interés Confirmado,,,2,etapa like 'Interés Confirmado',0,2,,0,count(linea),0,1,Previsiones,,64,-62,,case when oporcli.etapa like 'Interés Confirmado' then 1 else 0 end,True,,,1,
64,,Edad > de 15 días,Edad > de 15 días,,,2,CampoFecha1 < '[HOY15]',0,2,,0,count(linea),0,1,Previsiones,,68,-64,,"case when 

oporcli.CampoFecha1 < dateadd(day, -15,getdate())  then 1 else 0 end

",True,,,1,
65,,Edad > de 30 días,Edad > de 30 días,,,2,CampoFecha1 < '[HOY30]',0,2,,0,count(linea),0,1,Previsiones,,69,-65,,"case when oporcli.CampoFecha1 < dateadd(day, -30,getdate()) then 1 else 0 end",True,,,1,
66,,Cantidad,Número,,,2,,0,7,,0,count(linea),1,1,,,,,,1,True,,,0,
67,,Total Precio,Total Precio,precio,,3,,0,7,,0,sum(precio),1,1,,,,,,,True,,,0,
68,,Total Coste,Total Coste,preciocoste,,0,,0,7,,0,sum(preciocoste),1,1,,,,,,,True,,,0,
69,,Total T. Previsto,Total T. Previsto,tiempoprevisto,,1,,0,7,,0,sum(tiempoprevisto),1,1,,,,,,,True,,,0,
70,,Total Tiempo,Total Tiempo,tiempo,,1,,0,7,,0,sum(tiempo),1,1,,,,,,,True,,,0,
71,13,Importe no cobradas,Importe no Cobrado,,,3,realizada = 0 or realizada is null,0,6,,0,sum(total),1,1,CobrosImporte,,3,4,,case when p.cobrado = 0 or p.cobrado is null then p.total else 0 end,False,,,0,
72,13,Núm Impagados,Núm. Impagados,,,2,"impagado = 1 and isnull(alcobro,0)=0",0,6,,0,count(id),0,1,ImpagadosNumero,,,-72,,"case when p.impagado = 1 and isnull(p.alcobro,0)=0  then 1 else 0 end",False,,,0,
73,13,Núm Retrocedidos,Núm. Retrocedidos,,,2,impagado = 1 and p.tipoimpago like 'Retrocedido',0,6,,0,count(id),0,0,ImpagadosNumero,,,-73,,,False,,,0,
74,13,Núm Transferencias,Núm. Transferencias,,,2,impagado = 1 and p.tipoimpago like 'Transferencia',0,6,,0,count(id),0,0,ImpagadosNumero,,,-74,,,False,,,0,
75,13,Importe Impagados,Importe Impagados,,,3,"impagado = 1 and isnull(alcobro,0)=0",0,6,,0,sum(total),1,1,ImpagadosImporte,,4,-75,,"case when p.impagado = 1  and isnull(p.alcobro,0)=0  then p.total else 0 end",False,,,0,
76,13,Importe Retrocedidos,Importe Retrocedidos,,,3,impagado = 1 and tipoimpago like 'Retrocedido',0,6,,0,sum(total),0,0,ImpagadosImporte,,,-76,,,False,,,0,
77,13,Importe Transferencias,Importe Transferencias,,,3,impagado = 1 and tipoimpago like 'Transferencia',0,6,,0,sum(total),0,0,ImpagadosImporte,,,-77,,,False,,,0,
