id,dato,llave,valor,tabla
1,,estado,Abierta,oporcli
2,,estado,Cerrada,oporcli
3,,estado,Pospuesta,oporcli
4,,estado,Perdida,oporcli
5,,tipo,DESCUENTO,cuentas
6,,tipo,GASTO,cuentas
7,,tipo,HONORARIO,cuentas
8,,tipo,SUPLIDO,cuentas
9,0,color,Rojo,estados
10,1,color,Amarillo,estados
11,2,color,Azul,estados
12,3,color,Verde,estados
13,,5|1000,-65536,RangoEdad
14,,FormaCobro,Contado,prevcobros
15,,FormaCobro,Tarjeta,prevcobros
16,,FormaCobro,Transferencia,prevcobros
17,,FormaCobro,Recibo,prevcobros
18,,FormaCobro,Otros,prevcobros
23,,EstadoImpagado,Impagado,prevcobros
24,,EstadoImpagado,Vuelto a cobrar,prevcobros
25,,EstadoImpagado,Definitivo,prevcobros
26,,,Actuación,plazos
27,,,Señalamiento,plazos
28,,,Vencimiento,plazos
29,1,1,2,ConsultaGeneral
30,1,2,3,ConsultaGeneral
31,1,3,4,ConsultaGeneral
32,1,4,5,ConsultaGeneral
33,1,5,6,ConsultaGeneral
34,1,6,7,ConsultaGeneral
35,1,39,1|0,FiltroConfig
36,1,1,1|72,FiltroConfig
37,1,11,0|2,FiltroConfig
38,1,20,1|1,FiltroConfig
39,1,6,1|1,FiltroConfig
40,1,12,0|19,FiltroConfig
41,1,135,1|2,FiltroConfig
42,1,5,1|2,FiltroConfig
43,1,225,0|8,FiltroConfig
44,1,226,0|9,FiltroConfig
45,1,7,0|14,FiltroConfig
46,1,8,0|15,FiltroConfig
47,1,14,1|3,FiltroConfig
48,1,227,0|13,FiltroConfig
49,1,228,0|14,FiltroConfig
50,1,13,1|4,FiltroConfig
51,1,2,1|5,FiltroConfig
52,1,229,0|17,FiltroConfig
53,1,230,0|18,FiltroConfig
54,1,15,1|6,FiltroConfig
55,1,16,1|7,FiltroConfig
56,1,231,0|21,FiltroConfig
57,1,232,0|22,FiltroConfig
58,1,17,1|8,FiltroConfig
60,1,233,0|25,FiltroConfig
61,1,234,0|26,FiltroConfig
62,1,165,1|10,FiltroConfig
63,1,220,1|9,FiltroConfig
64,1,18,1|11,FiltroConfig
65,1,19,1|12,FiltroConfig
66,1,10,0|17,FiltroConfig
67,1,235,0|32,FiltroConfig
68,1,236,0|33,FiltroConfig
69,1,210,0|18,FiltroConfig
70,1,9,1|13,FiltroConfig
71,1,40,0|36,FiltroConfig
72,1,41,0|37,FiltroConfig
73,1,42,0|38,FiltroConfig
74,1,43,0|39,FiltroConfig
75,1,44,0|40,FiltroConfig
76,1,45,0|41,FiltroConfig
77,1,211,0|42,FiltroConfig
78,1,224,0|43,FiltroConfig
79,1,219,0|44,FiltroConfig
80,1,212,0|45,FiltroConfig
81,1,213,0|46,FiltroConfig
82,1,214,0|47,FiltroConfig
83,1,215,0|48,FiltroConfig
84,1,216,0|49,FiltroConfig
85,1,217,0|50,FiltroConfig
86,1,218,0|51,FiltroConfig
87,1,222,0|52,FiltroConfig
88,1,223,0|53,FiltroConfig
89,,1,1,VersionActual
90,0,5|1000,-65536,RangoEdad
91,0,39,1|0,FiltroConfigPersonal
92,0,1,1|0,FiltroConfigPersonal
93,0,11,0|2,FiltroConfigPersonal
94,0,20,1|1,FiltroConfigPersonal
95,0,6,1|1,FiltroConfigPersonal
96,0,12,0|19,FiltroConfigPersonal
97,0,135,1|2,FiltroConfigPersonal
98,0,5,1|2,FiltroConfigPersonal
99,0,225,0|8,FiltroConfigPersonal
100,0,226,0|9,FiltroConfigPersonal
101,0,7,0|14,FiltroConfigPersonal
102,0,8,0|15,FiltroConfigPersonal
103,0,14,1|3,FiltroConfigPersonal
104,0,227,0|13,FiltroConfigPersonal
105,0,228,0|14,FiltroConfigPersonal
106,0,13,1|4,FiltroConfigPersonal
107,0,2,1|5,FiltroConfigPersonal
108,0,229,0|17,FiltroConfigPersonal
109,0,230,0|18,FiltroConfigPersonal
110,0,15,1|6,FiltroConfigPersonal
111,0,16,1|7,FiltroConfigPersonal
112,0,231,0|21,FiltroConfigPersonal
113,0,232,0|22,FiltroConfigPersonal
114,0,17,1|8,FiltroConfigPersonal
115,0,221,0|16,FiltroConfigPersonal
116,0,233,0|25,FiltroConfigPersonal
117,0,234,0|26,FiltroConfigPersonal
118,0,165,1|10,FiltroConfigPersonal
119,0,220,1|9,FiltroConfigPersonal
120,0,18,1|11,FiltroConfigPersonal
121,0,19,1|12,FiltroConfigPersonal
122,0,10,0|17,FiltroConfigPersonal
123,0,235,0|32,FiltroConfigPersonal
124,0,236,0|33,FiltroConfigPersonal
125,0,210,0|18,FiltroConfigPersonal
126,0,9,1|13,FiltroConfigPersonal
127,0,40,0|36,FiltroConfigPersonal
128,0,41,0|37,FiltroConfigPersonal
129,0,42,0|38,FiltroConfigPersonal
130,0,43,0|39,FiltroConfigPersonal
131,0,44,0|40,FiltroConfigPersonal
132,0,45,0|41,FiltroConfigPersonal
133,0,211,0|42,FiltroConfigPersonal
134,0,224,0|43,FiltroConfigPersonal
135,0,219,0|44,FiltroConfigPersonal
136,0,212,0|45,FiltroConfigPersonal
137,0,213,0|46,FiltroConfigPersonal
