idfiltro,idgrupo
1,1
2,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
21,4
22,4
23,4
24,4
25,4
26,4
28,4
29,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,1
40,1
41,1
42,1
43,1
44,1
45,1
47,4
48,4
50,4
51,4
52,4
53,4
54,4
56,6
57,6
58,6
59,6
61,6
62,6
63,6
64,6
66,11
67,11
68,11
69,11
70,11
71,11
72,11
73,11
74,11
75,11
76,11
77,11
78,11
79,11
80,11
81,11
82,11
83,11
84,11
85,11
86,12
87,12
88,12
89,12
90,12
91,12
92,12
93,12
94,12
95,12
96,12
97,12
98,12
99,12
100,12
101,12
102,12
103,12
104,12
105,12
106,12
107,12
108,12
109,12
110,13
110,34
111,13
111,34
112,13
112,34
113,13
113,34
114,13
114,34
115,13
115,34
116,13
116,34
117,13
117,34
118,13
118,34
119,13
119,34
120,13
120,34
121,13
121,34
122,13
122,34
123,13
123,34
124,13
124,34
125,13
125,34
126,13
126,34
127,13
127,34
128,13
128,34
129,13
129,34
130,13
130,34
131,13
131,34
132,13
132,34
133,13
133,34
134,4
135,1
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,4
164,4
165,1
167,19
168,19
169,19
172,19
173,19
175,19
176,19
177,19
178,19
179,19
180,19
181,19
182,19
184,19
185,19
186,19
187,19
188,19
189,19
190,19
191,19
193,19
194,19
199,19
200,19
201,19
202,19
203,19
204,19
205,19
206,19
207,19
208,19
209,19
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
240,13
240,34
241,13
241,34
242,13
242,34
243,13
243,34
244,13
244,34
245,13
245,34
246,13
246,34
247,13
247,34
248,13
248,34
249,13
249,34
250,13
250,34
251,13
251,34
252,13
252,34
253,13
253,34
254,20
255,20
256,20
257,20
258,20
259,20
260,20
261,20
262,20
263,20
264,20
265,20
266,20
267,20
268,4
269,19
270,19
271,19
272,19
273,19
274,19
275,19
276,19
277,19
278,19
279,19
280,19
281,19
282,19
283,19
284,19
285,19
286,19
287,19
288,19
289,19
290,19
291,19
292,19
293,1
294,13
294,34
295,13
295,34
296,13
296,34
297,13
297,34
298,13
298,34
299,13
299,34
300,13
300,34
301,13
301,34
302,13
302,34
303,13
303,34
304,13
304,34
305,13
305,34
306,34
307,1
308,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
341,6
342,6
346,6
347,1
348,1
386,24
387,24
388,24
389,24
390,24
391,24
392,24
414,11
421,12
437,24
438,24
439,45
441,45
442,45
445,45
446,45
448,4
452,45
453,45
456,45
457,45
458,45
459,45
461,45
462,45
463,45
464,45
466,45
467,45
469,24
470,24
472,45
474,45
478,45
479,45
482,6
483,6
486,11
490,4
491,11
492,11
493,11
494,11
495,11
496,11
497,11
499,1
500,4
501,11
502,13
502,34
503,24
504,19
505,13
505,34
506,13
506,34
508,6
509,6
510,6
511,6
512,6
513,6
514,6
515,6
520,11
521,11
522,1
523,1
524,1
525,19
526,19
527,19
528,1
552,1
553,1
554,6
559,34
560,6
561,6
573,13
573,34
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
603,13
604,34
606,12
612,1
614,1
615,1
622,36
622,46
623,36
623,46
624,36
624,46
625,36
625,46
626,36
627,36
628,36
628,46
629,36
629,46
630,36
630,46
640,4
641,1
648,4
657,37
658,37
659,37
660,37
661,37
662,37
663,37
664,1
665,37
666,37
667,37
668,37
669,37
670,37
671,37
672,37
673,37
674,38
675,38
676,38
677,38
678,38
678,41
679,38
679,41
680,38
680,41
681,38
682,38
683,38
684,38
685,38
686,37
688,13
688,34
689,13
689,34
690,13
690,34
708,39
708,40
709,39
709,40
710,39
710,40
711,39
711,40
712,39
712,40
713,39
713,40
714,39
715,39
716,39
717,39
718,39
719,39
720,39
721,39
722,39
723,39
724,39
725,39
726,39
727,40
728,40
729,39
729,40
730,39
730,40
732,39
733,39
734,39
735,39
736,39
737,39
738,39
739,39
740,39
741,39
743,41
744,41
745,41
746,41
747,41
748,41
749,41
750,41
751,41
752,41
753,41
754,42
756,42
757,42
758,42
759,42
760,42
761,42
762,42
763,42
764,42
765,42
766,42
767,42
768,42
769,42
770,42
771,42
772,42
773,42
774,42
775,42
776,42
777,42
778,42
779,42
780,42
781,42
782,42
783,42
784,42
785,42
786,42
787,42
789,1
790,1
794,44
795,44
796,44
798,44
799,44
801,44
802,44
803,44
