id,municipio,idProvincia
1,Alegría-Dulantzi,1
2,Amurrio,1
3,Añana,1
4,Aramaio,1
5,Armiñón,1
6,Arraia-Maeztu,1
7,Arrazua-Ubarrundia,1
8,Artziniega,1
9,Asparrena,1
10,Ayala/Aiara,1
11,Baños de Ebro/Mañueta,1
12,Barrundia,1
13,Berantevilla,1
14,Bernedo,1
15,Campezo/Kanpezu,1
16,Elburgo/Burgelu,1
17,Elciego,1
18,Elvillar/Bilar,1
19,Erriberagoitia/Ribera Alta,1
20,Harana/Valle de Arana,1
21,Iruña Oka/Iruña de Oca,1
22,Iruraiz-Gauna,1
23,Kripan,1
24,Kuartango,1
25,Labastida/Bastida,1
26,Lagrán,1
27,Laguardia,1
28,Lanciego/Lantziego,1
29,Lantarón,1
30,Lapuebla de Labarca,1
31,Laudio/Llodio,1
32,Legutio,1
33,Leza,1
34,Moreda de Álava,1
35,Navaridas,1
36,Okondo,1
37,Oyón-Oion,1
38,Peñacerrada-Urizaharra,1
39,Ribera Baja/Erribera Beitia,1
40,Salvatierra/Agurain,1
41,Samaniego,1
42,San Millán/Donemiliaga,1
43,Urkabustaiz,1
44,Valdegovía/Gaubea,1
45,Villabuena de Álava/Eskuernaga,1
46,Vitoria-Gasteiz,1
47,Yécora/Iekora,1
48,Zalduondo,1
49,Zambrana,1
50,Zigoitia,1
51,Zuia,1
52,Abengibre,2
53,Alatoz,2
54,Albacete,2
55,Albatana,2
56,Alborea,2
57,Alcadozo,2
58,Alcalá del Júcar,2
59,Alcaraz,2
60,Almansa,2
61,Alpera,2
62,Ayna,2
63,Balazote,2
64,"Ballestero, El",2
65,Balsa de Ves,2
66,Barrax,2
67,Bienservida,2
68,Bogarra,2
69,Bonete,2
70,"Bonillo, El",2
71,Carcelén,2
72,Casas de Juan Núñez,2
73,Casas de Lázaro,2
74,Casas de Ves,2
75,Casas-Ibáñez,2
76,Caudete,2
77,Cenizate,2
78,Chinchilla de Monte-Aragón,2
79,Corral-Rubio,2
80,Cotillas,2
81,Elche de la Sierra,2
82,Férez,2
83,Fuensanta,2
84,Fuente-Álamo,2
85,Fuentealbilla,2
86,"Gineta, La",2
87,Golosalvo,2
88,Hellín,2
89,"Herrera, La",2
90,Higueruela,2
91,Hoya-Gonzalo,2
92,Jorquera,2
93,Letur,2
94,Lezuza,2
95,Liétor,2
96,Madrigueras,2
97,Mahora,2
98,Masegoso,2
99,Minaya,2
100,Molinicos,2
101,Montalvos,2
102,Montealegre del Castillo,2
103,Motilleja,2
104,Munera,2
105,Navas de Jorquera,2
106,Nerpio,2
107,Ontur,2
108,Ossa de Montiel,2
109,Paterna del Madera,2
110,Peñas de San Pedro,2
111,Peñascosa,2
112,Pétrola,2
113,Povedilla,2
114,Pozo Cañada,2
115,Pozohondo,2
116,Pozo-Lorente,2
117,Pozuelo,2
118,"Recueja, La",2
119,Riópar,2
120,Robledo,2
121,"Roda, La",2
122,Salobre,2
123,San Pedro,2
124,Socovos,2
125,Tarazona de la Mancha,2
126,Tobarra,2
127,Valdeganga,2
128,Vianos,2
129,Villa de Ves,2
130,Villalgordo del Júcar,2
131,Villamalea,2
132,Villapalacios,2
133,Villarrobledo,2
134,Villatoya,2
135,Villavaliente,2
136,Villaverde de Guadalimar,2
137,Viveros,2
138,Yeste,2
139,Adsubia,3
140,Agost,3
141,Agres,3
