codope,codmodelo
1,2
1,3
1,4
1,6
1,7
1,8
1,9
1,10
1,11
1,15
1,17
1,19
1,20
1,21
1,23
1,24
1,25
1,28
1,29
1,30
1,31
1,32
1,36
1,40
1,42
1,43
1,44
1,45
1,48
1,51
1,53
1,57
1,58
1,61
1,62
1,63
1,64
1,65
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,79
1,80
1,81
1,83
1,84
1,85
1,87
1,90
1,92
1,95
1,96
1,97
1,98
1,99
1,100
1,101
1,102
1,104
1,107
1,109
1,110
1,111
1,112
1,113
1,118
1,120
1,121
1,122
1,123
1,127
1,128
1,129
1,130
2,2
2,3
2,4
2,6
2,7
2,8
2,9
2,10
2,11
2,15
2,17
2,19
2,20
2,21
2,23
2,24
2,25
2,28
2,29
2,30
2,31
2,32
2,36
2,40
2,42
2,43
2,44
2,45
2,48
2,51
2,53
2,57
2,58
2,61
2,62
2,63
2,64
2,65
2,68
2,69
2,70
2,71
2,72
2,73
2,74
2,75
3,2
3,3
3,4
3,6
3,7
3,8
3,9
3,10
3,11
3,15
3,17
3,19
3,20
3,21
3,23
3,24
3,25
3,28
3,29
3,30
3,31
3,32
3,36
3,40
3,42
3,43
3,44
3,45
3,48
3,51
3,53
3,57
3,58
3,61
3,62
3,63
3,64
3,65
3,68
3,69
3,70
3,71
3,72
3,73
3,74
3,75
4,79
4,80
4,81
4,83
4,84
4,85
4,87
4,90
4,92
4,95
4,96
4,97
4,98
4,99
4,100
4,101
4,102
4,104
4,107
4,109
4,110
4,111
4,112
4,113
4,118
4,120
4,121
4,122
4,123
5,79
5,80
5,81
5,83
5,84
5,85
5,87
5,90
5,92
5,95
5,96
5,97
5,98
5,99
5,100
5,101
5,102
5,104
5,107
5,109
5,110
5,111
5,112
5,113
5,118
5,120
5,121
5,122
5,123
6,79
6,80
6,81
6,83
6,84
6,85
6,87
6,90
6,92
6,95
6,96
6,97
6,98
6,99
6,100
6,101
6,102
6,104
6,107
6,109
6,110
6,111
6,112
6,113
6,118
6,120
6,121
6,122
6,123
7,79
7,80
7,81
7,83
7,84
7,85
7,87
7,90
7,92
7,95
7,96
7,97
7,98
7,99
7,100
7,101
7,102
7,104
7,107
7,109
7,110
7,111
7,112
7,113
7,118
7,120
7,121
7,122
7,123
8,79
8,80
8,81
8,83
8,84
8,85
8,87
8,90
8,92
8,95
8,96
8,97
8,98
8,99
8,100
8,101
8,102
8,104
8,107
8,109
8,110
8,111
8,112
8,113
8,118
8,120
8,121
8,122
8,123
9,79
9,80
9,81
9,83
9,84
9,85
9,87
9,90
9,92
9,95
9,96
9,97
9,98
9,99
9,100
9,101
9,102
9,104
9,107
9,109
9,110
9,111
9,112
9,113
9,118
9,120
9,121
9,122
9,123
10,79
10,80
10,81
10,83
10,84
10,85
10,87
10,90
10,92
10,95
10,96
10,97
10,98
10,99
10,100
10,101
10,102
10,104
10,107
10,109
10,110
10,111
10,112
10,113
10,118
10,120
10,121
10,122
10,123
11,79
11,80
11,81
11,83
11,84
11,85
11,87
11,90
11,92
11,95
11,96
11,97
11,98
11,99
11,100
11,101
11,102
11,104
11,107
11,109
11,110
11,111
11,112
11,113
11,118
11,120
11,121
11,122
11,123
12,79
12,80
12,81
12,83
12,84
12,85
12,87
12,90
12,92
12,95
12,96
12,97
12,98
12,99
12,100
12,101
12,102
12,104
12,107
12,109
12,110
12,111
12,112
12,113
12,118
12,120
12,121
12,122
12,123
