NumCta,Descripcion,Descripcion2,tipoPGC
100,Capital social,Dotaci?n fundacional,0
1000000000,Dotaci?n fundacional,,2
101,Fondo social,,
1010000000,Fondo social,,2
102,Capital,,1
103,Socios por desembolsos no exigidos,Fundadores/asociados por desembolsos no exigidos,0
1030000000,"Socios por desembolsos no exigidos, capital social",Fundadores por desembolsos no exigidos,0
1034000000,"Socios por desembolsos no exigidos, capital pendiente de inscripción",Asociados por desembolsos no exigidos,0
104,Socios por aportaciones no dinerarias pendientes,Fundadores/asociados por aportaciones no dinerarias pendientes,0
1040000000,"Socios por aportaciones no dinerarias pendientes, capital social",Fundadores por aportaciones no dinerarias pendientes,0
1044000000,"Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción",Asociados por aportaciones no dinerarias pendientes,0
108,Acciones o participaciones propias en situaciones especiales,,1
109,Acciones o participaciones propias para reducción de capital,,1
110,Prima de emisión o asunción,,1
111,Otros instrumentos de patrimonio neto,Reservas estatutarias,0
1110000000,Patrimonio neto por emisión de instrumentos financieros compuestos,Reservas estatutarias,0
1111000000,Resto de instrumentos de patrimonio neto,,1
112,Reserva legal,,1
113,Reservas voluntarias,,
1130000000,Reservas voluntarias,,2
114,Reservas especiales,,
1140000000,Reservas para acciones o participaciones de la sociedad dominante,,
1141000000,Reservas estatutarias,,1
1142000000,Reserva por capital amortizado,,
1143000000,Reserva por fondo de comercio,,
1144000000,Reservas por acciones propias aceptadas en garantía,,
115,Reservas por pérdidas y ganancias actuariales y otros ajustes,,1
118,Aportaciones de socios o propietarios,,1
119,Diferencias por ajuste del capital a euros,,1
120,Remanente,,
1200000000,Remanente,,2
121,Resultados negativos de ejercicios anteriores,Excedente negativo de ejercicios anteriores,0
1210000000,Excedente negativo de ejercicios anteriores,,2
129,Resultado del ejercicio,Excedente del ejercicio,0
1290000000,Excedente del ejercicio,,2
130,Subvenciones oficiales de capital,,
1300000000,Subvenciones del Estado,,2
1301000000,Subvenciones de otras Administraciones P?blicas,,2
131,Donaciones y legados de capital,,
1310000000,Donaciones y legados de capital,,2
132,"Otras subvenciones, donaciones y legados",,
1320000000,"Otras subvenciones, donaciones y legados",,2
133,Ajustes por valoración en activos financieros disponibles para la venta,,1
134,Operaciones de cobertura,,1
1340000000,Cobertura de flujos de efectivo,,1
1341000000,Cobertura de una inversión neta en un negocio en el extranjero,,1
135,Diferencias de conversión,,1
136,"Ajustes por valoración en activos no corrientes y grupos enajenables de elementos, mantenidos para la venta",,1
137,Ingresos fiscales a distribuir en varios ejercicios,,
1370000000,Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios,,
1371000000,Ingresos fiscales por deducciones y bonificaciones a distribuir en varios ejercicios,,
140,Provisión por retribuciones a largo plazo al personal,,1
141,Provisión para impuestos,,
1410000000,Provisi?n para impuestos,,2
142,Provisión para otras responsabilidades,,
1420000000,Provisi?n para otras responsabilidades,,2
143,"Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado",,1
1430000000,"Provisi?n por desmantelamiento, retiro o rehabilitaci?n del inmovilizado",,2
145,Provisión para actuaciones medioambientales,,
1450000000,Provisi?n para actuaciones medioambientales,,2
146,Provisión para reestructuraciones,,1
147,Provisión por transacciones con pagos basados en instrumentos de patrimonio,,1
150,Acciones o participaciones a largo plazo consideradas como pasivos financieros,,1
153,Desembolsos no exigidos por acciones o participaciones consideradas como pasivos financieros,,1
1533000000,"Desembolsos no exigidos, empresas del grupo",,1
1534000000,"Desembolsos no exigidos, empresas asociadas",,1
1535000000,"Desembolsos no exigidos, otras partes vinculadas",,1
1536000000,Otros desembolsos no exigidos,,1
154,Aportaciones no dinerarias pendientes por acciones o participaciones consideradas como pasivos financieros,,1
1543000000,"Aportaciones no dinerarias pendientes, empresas del grupo",,1
1544000000,"Aportaciones no dinerarias pendientes, empresas asociadas",,1
1545000000,"Aportaciones no dinerarias pendientes ,otras partes vinculadas",,1
1546000000,Otras aportaciones no dinerarias pendientes,,1
160,Deudas a largo plazo con entidades de crédito vinculadas,,
1603000000,"Deudas a largo plazo con entidades de crédito, empresas del grupo","Deudas a largo plazo con entidades de cr?dito, entidades del grupo",0
1604000000,"Deudas a largo plazo con entidades de crédito, empresas asociadas","Deudas a largo plazo con entidades de cr?dito, entidades asociadas",0
1605000000,Deudas a largo plazo con otras entidades de crédito vinculadas,,
161,"Proveedores de inmovilizado a largo plazo, partes vinculadas",,
1613000000,"Proveedores de inmovilizado a largo plazo, empresas del grupo","Proveedores de inmovilizado a largo plazo, entidades del grupo",0
1614000000,"Proveedores de inmovilizado a largo plazo, empresas  asociadas","Proveedores de inmovilizado a largo plazo, entidades asociadas",0
1615000000,"Proveedores de inmovilizado a largo plazo, otras partes vinculadas",,
162,"Acreedores por arrendamiento financiero a largo plazo, partes vinculadas",,
1620000000,"Acreedores por arrendamiento financiero a largo plazo, partes vinculadas",,2
1623000000,"Acreedores por arrendamiento financiero a largo plazo, empresas del grupo","Acreedores por arrendamiento financiero a largo plazo, entidades de grupo",0
1624000000,"Acreedores por arrendamiento financiero a largo plazo, empresas asociadas","Acreedores por arrendamiento financiero a largo plazo, entidades asociadas",0
1625000000,"Acreedores por arrendamiento financiero a largo plazo, otras partes vinculadas",,
163,Otras deudas a largo plazo con partes vinculadas,,
1630000000,Otras deudas a largo plazo con partes vinculadas,,2
1633000000,"Otras deudas a largo plazo, empresas del grupo","Otras deudas a largo plazo, entidades del grupo",0
1634000000,"Otras deudas a largo plazo, empresas  asociadas","Otras deudas a largo plazo, entidades asociadas",0
1635000000,"Otras deudas a largo plazo, con otras partes vinculadas",,
170,Deudas a largo plazo con entidades de crédito,,
1700000000,Deudas a largo plazo con entidades de cr?dito,,2
171,Deudas a largo plazo,,
1710000000,Deudas a largo plazo,,2
172,"Deudas a largo plazo transformables en subvenciones, donaciones y legados","Deudas a largo plazo transformables en subvenciones, donaciones  y legados",0
1720000000,Deudas a largo plazo transformables en subvenciones,,2
1721000000,Deudas a largo plazo transformables en donaciones y legados,,2
173,Proveedores de inmovilizado a largo plazo,,
1730000000,Proveedores de inmovilizado a largo plazo,,2
174,Acreedores por arrendamiento financiero a largo plazo,,
1740000000,Acreedores por arrendamiento financiero a largo plazo,,2
175,Efectos a pagar a largo plazo,,
1750000000,Efectos a pagar a largo plazo,,2
176,Pasivos por derivados financieros a largo plazo,,
1760000000,Pasivos por derivados financieros a largo plazo,,2
1765000000,"Pasivos por derivados financieros a largo plazo, cartera de negociación",,1
1768000000,"Pasivos por derivados financieros a largo plazo, instrumentos de cobertura",,1
177,Obligaciones y bonos,,
1770000000,Obligaciones y bonos,,2
178,Obligaciones y bonos convertibles,,1
179,Deudas representadas en otros valores negociables,,
1790000000,Deudas representadas en otros valores negociables,,2
180,Fianzas recibidas a largo plazo,,
1800000000,Fianzas recibidas a largo plazo,,2
181,Anticipos recibidos por ventas o prestaciones de servicios a largo plazo,,
1810000000,Anticipos recibidos por ventas o prestaciones de servicios a largo plazo,,2
185,Depósitos recibidos a largo plazo,,
1850000000,Dep?sitos recibidos a largo plazo,,2
189,Garantías financieras a largo plazo,,1
190,Acciones o participaciones emitidas,,1
192,Suscriptores de acciones,,1
194,Capital emitido pendiente de inscripción,,1
