id,nombre,titulo,tablatitulo,origentitulo,campo,idorigen,formato,orden,permiso,idCarpeta,idOrigenAsociado,agrupa,camposAgrupados
38,hist-actu- notas,,,0,,11,0,42,,79,5,False,sactuacion|notas
39,notasigu,,,0,,11,,44,,85,11,False,
41,linefactctaiva_baseimp,Base Imponible,linefactctaiva,0,baseimp,58,dinero,53,,101,,False,
42,lineprofctaiva_baseimp,Base Imponible,lineprofctaiva,0,baseimp,70,dinero,65,,125,,False,
44,snombrecli,,,0,,11,,101,,33,3,False,
45,clientes_firma,Firma,,0,firma,11,firma,149,,127,,False,
46,Expedientes_Firma,Firma Usuario,,0,,4,firma,149,,215,,False,
47,snombrecli,,,0,,38,,153,,540,3,False,
48,snombrecli,,,0,,9,,153,,604,3,False,
49,clientes_firma,Firma,,0,firma,9,firma,153,,625,,False,
50,rutaimgodont,Imagen Odontograma,,0,rutaimgodont,159,odontograma,173,bverodontograma,262,,False,
51,Imagen Odontograma,Imagen Odontograma,,0,,188,odontograma,175,,721,,False,
52,Imagen Odontograma,Imagen Odontograma,,0,,190,odontograma,176,,729,,False,
53,imagenFirma,Firma Cliente,,0,rutaFirma,20,imagen,177,,59,,False,
54,nombreClienteFirma,Firma Nombre Cliente,,0,nombreClienteFirma,20,,178,,59,,False,
55,relacionClienteFirma,Firma Relación Cliente,,0,relacionClienteFirma,20,,179,,59,,False,
56,dniClienteFirma,Firma DNI Cliente,,0,dniClienteFirma,20,,180,,59,,False,
57,imagenFirmaTrabajador,Firma Trabajador,,0,rutaFirmaTrabajador,20,imagen,181,,59,,False,
58,imagenFirma,Firma Cliente,,0,rutaFirma,159,imagen,182,,262,,False,
59,nombreClienteFirma,Firma Nombre Cliente,,0,nombreClienteFirma,159,,183,,262,,False,
60,relacionClienteFirma,Firma Relación Cliente,,0,relacionClienteFirma,159,,184,,262,,False,
61,dniClienteFirma,Firma DNI Cliente,,0,dniClienteFirma,159,,185,,262,,False,
62,imagenFirmaTrabajador,Firma Trabajador,,0,rutaFirmaTrabajador,159,imagen,186,,65,,False,
63,imagenFirma,Firma Cliente,,0,rutaFirma,26,imagen,187,,65,,False,
64,nombreClienteFirma,Firma Nombre Cliente,,0,nombreClienteFirma,26,,188,,65,,False,
65,relacionClienteFirma,Firma Relación Cliente,,0,relacionClienteFirma,26,,189,,65,,False,
66,dniClienteFirma,Firma DNI Cliente,,0,dniClienteFirma,26,,190,,65,,False,
67,imagenFirmaTrabajador,Firma Trabajador,,0,rutaFirmaTrabajador,26,imagen,191,,65,,False,
68,clientes_firma,Firma,,0,firma,11,firma,149,,756,,False,
69,clientes_firma,Firma,,0,,38,firma,153,,561,,False,
