id,nombre,idPadre,idOrigen,orden,idOrigenCampos,heredartitulo,permiso,origentitulo,tablatitulo,titulo,tipo
8,Historial,,5,0,,False,,0,,Historial,0
9,Empresa,,6,0,,False,,0,,Empresa,0
11,Última Actuación,,7,0,,False,,0,,Última Actuación,0
15,Historial,,10,0,,False,,0,,Historial,0
17,Bancos,,14,0,,False,,0,,Bancos,0
18,Oportunidad,,15,0,,False,,0,,Oportunidad,0
19,Cuentas,,16,0,,False,,0,,Cuentas,0
20,Previas,,18,0,,False,,0,,Previas,0
22,Concepto,,19,0,,False,,0,,Concepto,0
23,General,,21,0,,False,,0,,General,0
24,Proforma,,23,0,,False,,0,,Proforma,0
25,Cobros,,28,0,,False,,0,,Cobros,0
29,Empresa,,12,0,6,False,,0,,Empresa,0
30,General Alumnos,,12,1,3,False,,0,,General Alumnos,0
31,Empresa,,11,0,6,False,,0,,Empresa,0
32,Clientes,,11,1,,False,,1,,CliTitulo|0,0
33,General,32,11,0,,False,,0,,General Clientes,0
34,General Expedientes,32,11,1,4,False,ver_exp|1,1,,EtiqExpedientesProp,1
35,Contactos,32,11,2,8,False,,1,,TituloFormCorConPral,1
37,Usuarios,32,11,3,29,False,,0,,Usuarios,0
38,Última Actuación,33,11,0,164,False,,0,,Última Actuación,0
39,Cobros,32,11,4,28,False,,0,,Cobros,1
40,Historial,32,11,5,5,False,,0,,Historial,1
41,Cuentas,32,11,6,16,False,,0,,Cuentas,1
42,Previas,41,11,0,18,False,,0,,Previas,1
43,Previas 1,41,11,1,30,False,,0,,Previas 1,1
44,Previas 2,41,11,2,31,False,,0,,Previas 2,1
45,Previas 3,41,11,3,32,False,,0,,Previas 3,1
46,Oportunidades,41,11,4,15,False,,0,,Oportunidades,1
47,Conceptos Oportunidades,41,11,5,33,False,,0,,Conceptos Oportunidades,1
48,Empresa,,4,0,6,False,,0,,Empresa,0
50,Expedientes,,4,1,,False,,0,,Expedientes,0
51,General Expedientes,50,4,0,4,False,,0,,General Expedientes,0
52,Clientes,50,4,1,11,False,,1,,CliTitulo|0,1
53,Clientes Potenciales,50,4,2,34,False,clipot|1,1,,CliTitulo|2,1
55,Historial,50,4,3,10,False,,0,,Historial,1
56,Cuentas,50,4,4,17,False,,0,,Cuentas,1
57,Empresa,,20,0,6,False,,0,,Empresa,0
58,Facturas,,20,1,,False,,0,,Facturas,0
59,General Facturas,58,20,0,20,False,,0,,General Facturas,0
63,Empresa,,26,0,6,False,,0,,Empresa,0
64,Albaranes,,26,0,,False,,0,,Albaranes,0
65,General Albaranes,64,26,0,26,False,,0,,General Albaranes,0
68,Empresa,,47,0,6,False,,0,,Empresa,0
69,Recetas Médicas,,47,1,,False,,0,,Recetas Médicas,0
70,Recetas,69,47,0,47,False,,0,,Recetas,0
71,Empresa,,13,0,6,False,,0,,Empresa,0
72,Bancos,,13,1,,False,,0,,Bancos,0
73,General Bancos,72,13,0,13,False,,0,,General Bancos,0
74,Contactos,72,13,1,8,False,,0,,Contactos,0
75,Empresa,,8,0,6,False,,0,,Empresa,0
77,General Contactos,,8,1,8,False,,0,,General Contactos,0
79,Historial Campos Combinados,32,11,7,,False,123456789,0,,Historial Campos Combinados,0
80,Cobros Periódicos,32,11,8,,False,bvercobros,0,,Cobros Periódicos,1
81,Alta Cobros,80,11,0,,False,,0,,Alta Cobros,0
82,Area1,81,11,0,48,False,historialarea1,0,,Area1,0
83,Resumen Anual,80,11,1,101,False,,0,,Resumen Anual,0
84,Notas,80,11,2,,False,,0,,Notas,0
