id,nombre,origendatos,consultasql,permiso,orden,tipo,filtroEntidad,filtroPropio,idOrigenPadre,finalConsulta,tabla,idCarpetaGeneral,prefijo,idOrigenReal,idModuloControl,titulo,origentitulo,tablatitulo
3,Clientes Generales,0,"select clientes.* ,convert(char(8), dateadd(second, tiempo,''), 114) as tiempo,(substring(cuentabanco,1,4)+'************'+substring(cuentabanco,17,4)) as cuentabancocifr,clientesext.alertaodontograma as alertaodontograma from clientes left join clientesext on clientes.icodcli=clientesext.icodcli ",,19,, icodcli = [icodcli],,,,clientes,,cligeneral,,,Clientes Generales,0,
4,Expediente,0,"
		select expedien.*,convert(char(8), dateadd(second, tiempo, ' '), 114) as tiempo, 
(isnull(fcuantia,0) + isnull(intereses,0) + isnull(costas,0)) as totalcuantia from expedien",ver_exp|1,61,Expedientes, expedien.inumexp = [inumexp] and expedien.iyear = [iyear],,,  order by expedien.expediente desc ,expedien,,expedien,,,Expediente,0,
5,Historial Cliente,0,"select segcli.*,subusu.nombre as usuario,
DATENAME(hh, horainiact) + ':' + DATENAME(mi, horainiact) + ':' + DATENAME(ss, horainiact) as horainiact,
DATENAME(hh, horafinact) + ':' + DATENAME(mi, horafinact) + ':' + DATENAME(ss, horafinact) as horafinact,
convert(char(8), dateadd(second, tiempo, ''), 114) as tiempo 
from segcli 
left join subusu on segcli.subusu=subusu.icodsubusu",,77,HistorialCliente, icodcli = [icodcli] and  linea = [linea] and  dfechaact = '[dfechaact]',,, order by segcli.dfechaact asc,segcli,,segcli,,,Historial Cliente,0,
6,Empresa,4,"
select *, CONVERT(VARCHAR(10), GETDATE(), 103) AS fechaimpresion,
 CAST(DAY(GETDATE()) AS VARCHAR(2)) + ' ' + DATENAME(MM, GETDATE()) + ' ' + CAST(YEAR(GETDATE()) AS VARCHAR(4))  as fechaimpresionlarga from advAboCom.dbo.director",,58,Empresa,,icodprocu = [empresa],,,director,9,director,,,Empresa,0,
8,Contactos,0,"SELECT * FROM contacto 
",,43,Contactos, codcontacto = [codcontacto],,,,contacto,,contacto,,,TituloFormCorConPral,1,
9,Pacientes,0,,bverpaciente,110,Pacientes,, clientes.tipobd = 4,3,,,,paciente,,,Pacientes,0,
10,Historial Expediente,0,"select segexp.*,subusu.nombre as usuario
from segexp 
left join subusu on segexp.subusu=subusu.icodsubusu ",,78,HistorialExpediente, inumexp = [inumexp] and  iyear = [iyear] and  linea = [linea] and  dfechaact = '[dfechaact]',,, order by segexp.dfechaact asc,segexp,,segexp,,,Historial Expediente,0,
11,Clientes,0,,,18,Clientes,, clientes.tipobd = 0,3,,clientes,,clientes,,,CliTitulo|0,1,
13,Bancos General,0,"select bancos.id,bancos.banco,bancos.cuenta,bancos.telefono1,bancos.telefono2,bancos.telefono3,bancos.fax from bancos",,15,Bancos,id = [id],,, order by bancos.id desc,bancos,,,,,Bancos General,0,
14,Bancos Cliente,0,"select clibancos.banco, clibancos.icodcli,clibancos.linea,clibancos.CuentaBanco,clibancos.BicSwift,clibancos.IBAN,clibancos.principal, clibancos.telefono1 from clibancos",,13,,,,,,clibancos,,,,,Bancos Cliente,0,
