idOrigen,idOrigenAsociado,texto,usarConsulta,consultasql,campos,multiple,filtro,vinculo,idCarpeta,seleccionarFila,prefijo
3,5,Historial,True,,,True,icodcli = [icodcli],,,False,
3,6,Empresa,False,,,False,,,,False,
3,8,Contactos,True,,,True, contactlin.icodcli = [icodcli], JOIN contactlin on contacto.codcontacto = contactlin.icodcontacto,,False,
3,14,Bancos,True,,,True, clibancos.icodcli = [icodcli],,,False,
3,15,Oportunidades,True,,,True,oporcli.icodcli = [icodcli],,,False,
3,16,Cuentas,True,,,True, icodcli = [icodcli],,,False,
3,18,Previas,True,,,True, previcli.icodcli = [icodcli],,,False,
3,28,Cobros,True,,,True, prevcobros.inumexp=[icodcli] and prevcobros.origen='cli',,,False,
3,29,Usuarios,True,,,False, icodsubusu = [codsubusu],,,False,
3,30,Previas 1,True,,,True, previcli1.icodcli = [icodcli],,,False,
3,31,Previas 2,True,,,True, previcli2.icodcli = [icodcli],,,False,
3,32,Previas 3,True,,,True, previcli3.icodcli = [icodcli],,,False,
3,33,Conceptos Oportunidades,True,,,True, oporcuentas.icodcli = [icodcli],,,False,
3,47,Recetas Médicas,True,,,True, recetasmedicas.icodcli = [icodcli],,,False,
3,48,Área 1,True,,,True, icodcli = [icodcli],,,False,
3,49,igucalen,True,,,True, igucalen.icodcli = [icodcli],,,False,
3,72,Colaboradores,True,,,True, clicolab.icodcli=[icodcli], left join clicolab on clicolab.codcolab = colabora.codcolab,,False,
3,73,Obligaciones Detalles,True,,,True, clientesobligdetalles.icodcli=[icodcli] ,,,False,
3,74,Obligación Histórico,True,,,True,  clientesobligdetalles.icodcli=[icodcli] ,,,False,
3,75,Obligaciones,True,,,True,  clientesoblig.icodcli=[icodcli] ,,,False,
3,76,socielib,True,,,True, socielib.icodcli = [icodcli],,,False,
3,77,sociecue,True,,,True, sociecue.icodcli = [icodcli],,,False,
3,78,sociesoc,True,,,True, sociesoc.icodcli = [icodcli],,,False,
3,79,socieadm,True,,,True, socieadm.icodcli = [icodcli],,,False,
3,80,sociemie,True,,,True, sociemie.icodcli = [icodcli],,,False,
3,81,sociecon,True,,,True, sociecon.icodcli = [icodcli],,,False,
3,82,socieapo,True,,,True, socieapo.icodcli = [icodcli],,,False,
3,83,sociereten,True,,,True, sociereten.icodcli = [icodcli],,,False,
3,84,cliiae,True,,,True, cliiae.icodcli = [icodcli],,,False,
3,85,cliresult,True,,,True, cliresult.icodcli = [icodcli],,,False,
3,86,clisocie,True,,,True, clisocie.icodcli = [icodcli],,,False,
3,87,cliirpf,True,,,True, cliirpf.icodcli = [icodcli],,,False,
3,88,clibase,True,,,True, clibase.icodcli = [icodcli],,,False,
3,89,cliiva,True,,,True, cliiva.icodcli = [icodcli],,,False,
