id,idcontrol,idfila,idcolumna,tipo
2,100000047,2,4,1
3,100000047,3,4,1
4,100000047,2,5,1
5,100000047,3,5,1
6,100000047,2,6,1
7,100000047,3,6,1
8,100000052,7,11,1
9,100000052,8,11,1
10,100000052,7,12,1
11,100000052,8,12,1
12,100000052,7,13,1
13,100000052,8,13,1
14,100000052,7,14,1
15,100000052,8,14,1
16,100000052,9,11,1
17,100000052,9,12,1
18,100000052,9,13,1
19,100000052,9,14,1
20,100000052,10,11,1
21,100000052,10,12,1
22,100000052,10,13,1
23,100000052,10,14,1
24,100000053,15,18,3
25,100000053,16,18,3
26,100000053,15,19,1
27,100000053,16,19,1
28,100000053,15,20,1
29,100000053,16,20,1
30,100000053,17,18,1
31,100000053,17,19,1
32,100000053,17,20,1
33,100000054,21,39,1
34,100000054,22,39,1
35,100000054,21,40,1
36,100000054,22,40,1
37,100000054,21,41,1
38,100000054,22,41,1
39,100000054,23,39,1
40,100000054,23,40,1
41,100000054,23,41,1
42,100000054,24,39,0
43,100000054,24,40,1
44,100000054,24,41,1
45,100000054,25,39,1
46,100000054,25,40,1
47,100000054,25,41,1
48,100000054,26,39,3
49,100000054,26,40,1
50,100000054,26,41,1
51,100000054,27,39,1
52,100000054,27,40,1
53,100000054,27,41,1
54,100000054,28,39,1
55,100000054,28,40,1
56,100000054,28,41,1
57,100000054,29,39,1
58,100000054,29,40,1
59,100000054,29,41,1
60,100000054,30,39,1
61,100000054,30,40,1
62,100000054,30,41,1
63,100000054,31,39,1
64,100000054,31,40,1
65,100000054,31,41,1
66,100000054,32,39,1
67,100000054,32,40,1
68,100000054,32,41,1
69,100000054,33,39,1
70,100000054,33,40,1
71,100000054,33,41,1
72,100000054,34,39,1
73,100000054,34,40,1
74,100000054,34,41,1
75,100000054,35,39,1
76,100000054,35,40,1
77,100000054,35,41,1
78,100000054,36,39,1
79,100000054,36,40,1
80,100000054,36,41,1
81,100000054,37,39,1
82,100000054,37,40,0
83,100000054,37,41,1
84,100000054,38,39,1
85,100000054,38,40,1
86,100000054,38,41,1
87,100000054,21,42,1
88,100000054,22,42,1
89,100000054,23,42,1
90,100000054,24,42,1
91,100000054,25,42,1
92,100000054,26,42,1
93,100000054,27,42,1
94,100000054,28,42,1
95,100000054,29,42,1
96,100000054,30,42,1
97,100000054,31,42,1
98,100000054,32,42,1
99,100000054,33,42,1
100,100000054,34,42,1
101,100000054,35,42,1
102,100000054,36,42,1
103,100000054,37,42,1
104,100000054,38,42,1
105,100000059,43,47,1
106,100000059,44,47,1
107,100000059,43,48,1
108,100000059,44,48,1
109,100000059,43,49,1
110,100000059,44,49,1
111,100000059,43,50,1
112,100000059,44,50,1
113,100000059,45,47,1
114,100000059,45,48,1
115,100000059,45,49,1
116,100000059,45,50,1
117,100000059,46,47,1
118,100000059,46,48,1
119,100000059,46,49,1
120,100000059,46,50,1
121,100000060,51,53,1
122,100000060,52,53,1
123,100000060,51,54,1
124,100000060,52,54,1
125,100000060,51,55,1
126,100000060,52,55,1
127,100000062,56,58,3
128,100000062,57,58,1
129,100000062,56,59,1
130,100000062,57,59,1
131,100000062,56,60,1
132,100000062,57,60,1
133,100000062,56,61,1
134,100000062,57,61,1
135,100000062,56,62,1
136,100000062,57,62,1
137,100000063,63,65,1
138,100000063,64,65,1
139,100000063,63,66,1
140,100000063,64,66,1
141,100000063,63,67,1
142,100000063,64,67,1
143,100000063,63,68,1
144,100000063,64,68,1
145,100000063,63,69,1
146,100000063,64,69,1
147,100000063,63,70,1
148,100000063,64,70,1
149,100000063,63,71,1
150,100000063,64,71,1
100000001,100000001,100000001,100000003,2
100000002,100000001,100000002,100000003,2
100000003,100000001,100000001,100000004,2
100000004,100000001,100000002,100000004,2
100000005,100000001,100000001,100000005,2
100000006,100000001,100000002,100000005,2
100000017,100000019,100000015,100000016,1
100000018,100000019,100000015,100000017,1
100000019,100000019,100000015,100000018,1
100000020,100000019,100000015,100000019,1
100000021,100000019,100000015,100000020,1
100000022,100000019,100000015,100000021,1
100000023,100000023,100000022,100000023,1
100000024,100000023,100000022,100000024,1
100000025,100000023,100000022,100000025,1
100000026,100000023,100000022,100000026,1
100000027,100000023,100000022,100000027,1
100000028,100000023,100000022,100000028,1
100000029,100000028,100000029,100000031,1
100000030,100000028,100000030,100000031,1
100000031,100000028,100000029,100000032,1
100000032,100000028,100000030,100000032,1
100000033,100000028,100000029,100000033,1
100000034,100000028,100000030,100000033,1
100000035,100000028,100000029,100000034,1
100000036,100000028,100000030,100000034,1
100000037,100000028,100000029,100000035,1
100000038,100000028,100000030,100000035,1
100000039,100000032,100000036,100000038,1
100000040,100000032,100000037,100000038,1
100000041,100000032,100000036,100000039,1
100000042,100000032,100000037,100000039,1
100000043,100000032,100000036,100000040,1
100000044,100000032,100000037,100000040,1
100000045,100000033,100000041,100000043,1
100000046,100000033,100000042,100000043,1
100000047,100000033,100000041,100000044,1
100000048,100000033,100000042,100000044,1
100000049,100000033,100000041,100000045,1
100000050,100000033,100000042,100000045,1
100000051,100000033,100000041,100000046,1
100000052,100000033,100000042,100000046,1
100000053,100000033,100000041,100000047,1
100000054,100000033,100000042,100000047,1
100000055,100000033,100000041,100000048,1
100000056,100000033,100000042,100000048,1
100000057,100000034,100000049,100000051,1
100000058,100000034,100000050,100000051,1
100000059,100000034,100000049,100000052,1
100000060,100000034,100000050,100000052,1
100000061,100000034,100000049,100000053,1
100000062,100000034,100000050,100000053,1
100000063,100000034,100000049,100000054,1
100000064,100000034,100000050,100000054,1
100000065,100000034,100000049,100000055,1
100000066,100000034,100000050,100000055,1
100000067,100000034,100000049,100000056,1
100000068,100000034,100000050,100000056,1
100000069,100000037,100000057,100000059,2
100000070,100000037,100000058,100000059,2
100000071,100000037,100000057,100000060,2
100000072,100000037,100000058,100000060,2
100000073,100000037,100000057,100000061,2
100000074,100000037,100000058,100000061,2
100000075,100000037,100000057,100000062,2
100000076,100000037,100000058,100000062,2
100000077,100000037,100000057,100000063,2
100000078,100000037,100000058,100000063,2
100000079,100000037,100000057,100000064,2
100000080,100000037,100000058,100000064,2
100000081,100000037,100000057,100000065,2
100000082,100000037,100000058,100000065,1
100000083,100000037,100000057,100000066,2
100000084,100000037,100000058,100000066,2
100000085,100000037,100000057,100000067,1
100000086,100000037,100000058,100000067,1
100000087,100000038,100000068,100000070,2
100000088,100000038,100000069,100000070,2
100000089,100000038,100000068,100000071,2
100000090,100000038,100000069,100000071,2
100000091,100000038,100000068,100000072,2
100000092,100000038,100000069,100000072,2
100000093,100000038,100000068,100000073,2
100000094,100000038,100000069,100000073,2
100000095,100000038,100000068,100000074,2
100000096,100000038,100000069,100000074,2
100000097,100000038,100000068,100000075,2
100000098,100000038,100000069,100000075,2
100000099,100000038,100000068,100000076,2
100000100,100000038,100000069,100000076,2
100000101,100000038,100000068,100000077,2
100000102,100000038,100000069,100000077,2
100000103,100000038,100000068,100000078,1
100000104,100000038,100000069,100000078,1
100000105,100000039,100000079,100000081,2
100000106,100000039,100000080,100000081,2
100000107,100000040,100000082,100000083,1
100000108,100000040,100000082,100000084,1
100000109,100000040,100000082,100000085,1
100000110,100000040,100000082,100000086,1
100000111,100000041,100000087,100000089,1
100000112,100000041,100000088,100000089,1
100000113,100000041,100000087,100000090,1
100000114,100000041,100000088,100000090,1
