id,idcontrol,filacol,titulo,orden,eliminada
2,100000047,False,Fila 1,0,False
3,100000047,False,Fila 2,1,False
4,100000047,True,Columna 1,0,False
5,100000047,True,Columna 2,1,False
6,100000047,True,Columna 3,2,False
7,100000052,False,Diabetes,0,False
8,100000052,False,Hipertensión,1,False
9,100000052,False,Neoplasias,2,False
10,100000052,False,Otras enfermed.,3,False
11,100000052,True,Si,0,False
12,100000052,True,No,1,False
13,100000052,True,Parentesco,2,False
14,100000052,True,Tipo,3,False
15,100000053,False,Propias de la Infancia,0,False
16,100000053,False,Meningitis,1,False
17,100000053,False,Otras,2,False
18,100000053,True,Si,0,False
19,100000053,True,No,1,False
20,100000053,True,Edad,2,False
21,100000054,False,Alergias Medicamentos,0,False
22,100000054,False,Alergias Metales,1,False
23,100000054,False,Alergias ambientales,2,False
24,100000054,False,Anestesia local,3,False
25,100000054,False,Hepatitis,4,False
26,100000054,False,Otras hepatopatías,5,False
27,100000054,False,Epilepsia,6,False
28,100000054,False,Asma,7,False
29,100000054,False,Glaucoma,8,False
30,100000054,False,Cirugía Apendicectomía,9,False
31,100000054,False,Cirugía Amigdalectomía,10,False
32,100000054,False,Cesárea,11,False
33,100000054,False,Otras,12,False
34,100000054,False,Libre,13,False
35,100000054,False,Tabaco,14,False
36,100000054,False,Alcohol,15,False
37,100000054,False,Drogas,16,False
38,100000054,False,Transfusiones,17,False
39,100000054,True,Si,0,False
40,100000054,True,No,1,False
41,100000054,True,Tipo,2,False
42,100000054,True,Fecha,3,False
43,100000059,False,Enfermedades Genitales,0,False
44,100000059,False,Vaginitis,1,False
45,100000059,False,Anexitis,2,False
46,100000059,False,Otras,3,False
47,100000059,True,Si,0,False
48,100000059,True,No,1,False
49,100000059,True,Tipo:,2,False
50,100000059,True,Fecha:,3,False
51,100000060,False,Fila 1,0,False
52,100000060,False,Fila 2,1,False
53,100000060,True,Columna 1,0,False
54,100000060,True,Columna 2,1,False
55,100000060,True,Columna 3,2,False
56,100000062,False,Leucorrea:,0,False
57,100000062,False,Prurito:,1,False
58,100000062,True,Si/No,0,False
59,100000062,True,Método: Tipo,1,False
60,100000062,True,Método: Tiempo,2,False
61,100000062,True,Método: Tolerancia,3,False
62,100000062,True,Método: Fallos,4,False
63,100000063,False,Nulo,0,False
64,100000063,False,Nulo,1,False
65,100000063,True,Fecha,0,False
66,100000063,True,Embarazo,1,False
67,100000063,True,Parto,2,False
68,100000063,True,Aborto,3,False
69,100000063,True,Puerperio,4,False
70,100000063,True,Lactancia,5,False
71,100000063,True,Sexo/Peso,6,False
100000001,100000001,False,AV sc VL,0,False
100000002,100000001,False,AV sc VP,1,False
100000003,100000001,True,Ojo Der.,0,False
100000004,100000001,True,Ojo Izq.,1,False
100000005,100000001,True,Binoc,2,False
100000015,100000019,False,Valores:,0,False
100000016,100000019,True,ESF,0,False
100000017,100000019,True,CIL,1,False
100000018,100000019,True,EJE,2,False
100000019,100000019,True,AD,3,False
100000020,100000019,True,E.V.M.,4,False
100000021,100000019,True,E.V.P.,5,False
100000022,100000023,False,Valores,0,False
100000023,100000023,True,ESF,0,False
100000024,100000023,True,CIL,1,False
100000025,100000023,True,EJE,2,False
100000026,100000023,True,AD,3,False
100000027,100000023,True,E.V.M,4,False
100000028,100000023,True,E.V.P,5,False
100000029,100000028,False,OI,0,False
100000030,100000028,False,OD,1,False
100000031,100000028,True,Esfera,0,False
100000032,100000028,True,Cilindro,1,False
100000033,100000028,True,Eje,2,False
100000034,100000028,True,AV cc,3,False
100000035,100000028,True,AV cc binoc,4,False
100000036,100000032,False,AV sc VL,0,False
100000037,100000032,False,AV sc VP,1,False
100000038,100000032,True,OD,0,False
100000039,100000032,True,OI,1,False
100000040,100000032,True,Binoc,2,False
100000041,100000033,False,OD,0,False
100000042,100000033,False,OI,1,False
100000043,100000033,True,ESFERA,0,False
100000044,100000033,True,CILINDRO,1,False
100000045,100000033,True,EJE,2,False
100000046,100000033,True,AV cc,3,False
100000047,100000033,True,AV AE,4,False
100000048,100000033,True,AV cc vp Binoc,5,False
100000049,100000034,False,OD,0,False
100000050,100000034,False,OI,1,False
100000051,100000034,True,ESFERA,0,False
100000052,100000034,True,CILINDRO,1,False
100000053,100000034,True,EJE,2,False
100000054,100000034,True,AV cc,3,False
100000055,100000034,True,AV AE,4,False
100000056,100000034,True,AV cc vp Binoc,5,False
100000057,100000037,False,OD,0,False
100000058,100000037,False,OI,1,False
100000059,100000037,True,125,0,False
100000060,100000037,True,250,1,False
100000061,100000037,True,500,2,False
100000062,100000037,True,1000,3,False
100000063,100000037,True,2000,4,False
100000064,100000037,True,3000,5,False
100000065,100000037,True,4000,6,False
100000066,100000037,True,6000,7,False
100000067,100000037,True,8000,8,False
100000068,100000038,False,OD,0,False
100000069,100000038,False,OI,1,False
100000070,100000038,True,125,0,False
100000071,100000038,True,250,1,False
100000072,100000038,True,500,2,False
100000073,100000038,True,1000,3,False
100000074,100000038,True,2000,4,False
100000075,100000038,True,3000,5,False
100000076,100000038,True,4000,6,False
100000077,100000038,True,6000,7,False
100000078,100000038,True,8000,8,False
100000079,100000039,False,OD,0,False
100000080,100000039,False,OI,1,False
100000081,100000039,True,Rinne,0,False
100000082,100000040,False,Weber,0,False
100000083,100000040,True,250,0,False
100000084,100000040,True,500,1,False
100000085,100000040,True,1000,2,False
100000086,100000040,True,2000,3,False
100000087,100000041,False,OD,0,False
100000088,100000041,False,OI,1,False
100000089,100000041,True,Vía Aérea,0,False
100000090,100000041,True,Vía Ósea,1,False
