id,frmname,dbfield,condicion,query,etiqueta
41,FormCliPral,snombrecli,2,,
42,FormCliPral,sdomiciliocli,0,,
43,FormCliPral,snifcli,0,,
44,FormCliPral,stelefonocli,0,,
45,FormCliConPral,snombreclicon,2,,
46,FormCliConPral,nifclicon,0,,
47,FormCliConPral,telefono,0,,
48,FormAboPral,snombreabo,2,,
49,FormAboPral,snifabo,0,,
50,FormAboPral,stelefonoabo,0,,
51,FormProPral,snombrepro,2,,
52,FormProPral,snifpro,0,,
53,FormProPral,stelefonopro,0,,
54,FormCorConPral,nombre,2,,
55,FormCorConPral,nif,0,,
56,FormCorConPral,telefono1,0,,
57,FormColPral,snombrecol,2,,
58,FormColPral,snifcol,0,,
59,FormColPral,stelefonocol,0,,
60,FormJuzPral,juzgado,2,,
61,FormJuzPral,telefono,0,,
62,FormJuzPral,poblacionjuz,2,,
63,FormOrgPral,nombre,2,,
64,FormOrgPral,cif,0,,
65,FormOrgPral,telefono,0,,
66,FormBan,banco,2,,
67,FormBan,telefono1,0,,
68,FormBan,cuenta,0,,
69,FormPer1,Perso1,2,,
70,FormPer1,Perso3,0,,
71,FormPer2,Perso1,2,,
72,FormPer2,Perso2,0,,
73,FormPer2,Perso3,0,,
74,FormPer3,Perso1,2,,
75,FormPer3,Perso2,0,,
76,FormPer3,Perso3,0,,
77,FormPer5,Perso1,2,,
78,FormPer5,Perso2,0,,
79,FormPer5,Perso3,0,,
80,FormPer4,Perso2,2,,
81,FormPer4,Perso3,2,,
83,FormPer4,Perso1,0,,
84,FormPer7,Perso1,2,,
85,FormPer7,Perso2,0,,
86,FormPer7,Perso3,0,,
87,FormPerPral,nombre,2,,
88,FormPerPral,nif,0,,
89,FormPerPral,telefono1,0,,
90,FormTarPral,nombre,2,,
91,FormTarPral,nif,0,,
92,FormTarPral,telefono1,0,,
96,FormExpPral,,2,inner join exclipro C on E.inumexp=C.inumexp and E.iyear=C.iyear inner join clientes L on C.icodcli=L.icodcli where (Upper(L.snombrecli) like :parametro)  and (L.tipobd=0),Cliente
97,FormExpPral,,2,inner join exclicon C on E.inumexp=C.inumexp and E.iyear=C.iyear inner join cliecont L on C.icodclicon=L.icodclicon where (Upper(L.snombreclicon) like :parametro),Contrario
98,FormExpPral,,2,inner join exabopro C on E.inumexp=C.inumexp and E.iyear=C.iyear inner join procurad L on C.icodabo=L.icodpro where (Upper(L.snombrepro) like :parametro),Procurador Propio
99,FormExpPral,,2,inner join tipoexp C on E.itipoexp=C.codigo where (Upper(C.tipoexp) like :parametro),Tipo de Expediente
100,FormExpPral,,2,where (upper(E.descripcion) like :parametro),Descripción Expediente
101,FormExpPral,,3,where (upper(E.expediente) like :parametro),Núm. Expediente
102,FormExpPral,,2,left join expjuzga j on E.inumexp=j.numexp and E.iyear=j.iyear where ((Upper(j.numasunto) like :parametro) or (Upper(E.snumasunto) like :parametro)) ,Núm. Autos
103,FormExpPral,,2,where (upper(E.srefabogado) like :parametro),Ref. Propia
104,FormExpPral,,2,where (upper(E.srefcliente) like :parametro),Ref. Expediente
111,FormHoja_Exp,,2, where (Upper(c.snombrecli) like :parametro),Cliente
112,FormHoja_Exp,,2, where (Upper(cliecont.snombreclicon) like :parametro),Contrario
113,FormHoja_Exp,,2,left join procurad on e.codabopro=procurad.icodpro where (upper(procurad.snombrepro) like :parametro),Procurador Propio
114,FormHoja_Exp,,2,where (upper(tipoexp.tipoexp) like :parametro),Tipo de Expediente
115,FormHoja_Exp,,2,where (upper(e.descripcion) like :parametro),Descripción Expediente
116,FormHoja_Exp,,2,where (upper(e.expediente) like :parametro),Núm. Expediente
117,FormHoja_Exp,iyear,2,where (upper(e.iyear) like :parametro),Año
118,FormHoja_Exp,,2,left join expjuzga j on E.inumexp=j.numexp and E.iyear=j.iyear where ((Upper(j.numasunto) like :parametro) or (Upper(e.snumasunto) like :parametro)) ,Núm. Autos
119,FormHoja_Exp,,2,where (upper(e.srefabogado) like :parametro),Ref. Propia
120,FormHoja_Exp,,2,where (upper(e.srefcliente) like :parametro),Ref. Expediente
121,FormHoja_Cli,snombrecli,2,,Nombre
122,FormHoja_Cli,snifcli,2,,NIF/CIF
123,FormHoja_Cli,stelefonocli,2,,Teléfono 1
124,FormHoja_Cli,smovilcli,2,,Móvil
125,FormHoja_Cli,sfaxcli,2,,Fax
126,FormHoja_Cli,email,2,,Email
151,FormCliPotenPral,snombrecli,2,,
152,FormCliPotenPral,sdomiciliocli,2,,
153,FormCliPotenPral,snifcli,2,,
154,FormCliPotenPral,stelefonocli,2,,
155,FormPer1,Perso90,0,,
156,FormPer1,Perso27,0,,
159,FormProductPral,nombre,0,,
160,FormProductPral,referencia,0,,
184,FormConsultasGrupos,snombrecli,2,,
185,FormConsultasGrupos,sdomiciliocli,0,,
186,FormConsultasGrupos,snifcli,0,,
187,FormConsultasGrupos,stelefonocli,0,,
188,FormTrabajadores,snombrecli,2,,
189,FormTrabajadores,snifcli,0,,
190,FormTrabajadores,stelefonocli,0,,
191,FormTrabajadores,sdomiciliocli,0,,
192,FormOtros,snombrecli,2,,
193,FormOtros,snifcli,0,,
194,FormOtros,stelefonocli,0,,
195,FormOtros,sdomiciliocli,0,,
197,FormCliPral,tipofichero,2,,
198,FormCliPral,snombreclicomercial,2,,
199,formfac,inumfactura,3,where (upper(inumfactura) like :parametro),Núm. Factura
200,formfac,nombrecli,2,where (upper(nombrecli) like :parametro),Nombre
201,formfac,nifcli,2,where (upper(nifcli) like :parametro),N.I.F./C.I.F.
202,formfac,totaleuro,3,where (upper(totaleuro) like :parametro),Total Factura
203,formfac,serie,2,where (upper(serie) like :parametro),Serie
204,formprof,inumfactura,3,where (upper(inumfactura) like :parametro),Número
205,formprof,nombrecli,2,where (upper(nombrecli) like :parametro),Nombre
206,formprof,nifcli,2,where (upper(nifcli) like :parametro),N.I.F./C.I.F.
207,formprof,totaleuro,3,where (upper(totaleuro) like :parametro),Total
208,formselecalumnos,snombrecli,2,,
209,formselecalumnos,snifcli,0,,
210,formselecalumnos,stelefonocli,0,,
211,formselecalumnos,smovilcli,0,,
212,formselecalumnos,sfaxcli,0,,
213,formselecalumnos,email,0,,
214,formrecib,nrecibo,2,where (upper(nrecibo) like :parametro),Núm. Recibo
215,formrecib,nombre,2,where (upper(nombre) like :parametro),Cliente
216,formrecib,importe,,,Importe
217,formremesas,banco,2,where (upper(banco) like :parametro),Banco
218,formremesas,cuentacorriente,2,where (upper(cuentacorriente) like :parametro),Cuenta Corriente
219,formremesas,importe,,,Importe
