guid,caducidad,usuario,rutacompleta
04061c1c-8251-412a-8e14-b72009c95cda,2025-03-20 16:30:00,Supervisor,2|segcli|9044|6
041411a3-0038-427c-8959-da9bb77733ea,2025-05-16 16:00:00,Supervisor,2|segcli|10141|2
167a0192-a5cb-4592-96eb-b8041acd194d,2025-05-15 20:00:00,Supervisor,2|segcli|10280|6
180674cd-a0a3-427f-bfa7-30e3b4dd52a5,2022-10-25 17:16:00,Supervisor,1|segcli|1488|6
1b66fcf0-4b8c-438e-b057-92ada370136f,2025-03-20 10:00:00,Supervisor,2|segcli|9087|2
1b83d247-b275-4e4d-b7c0-78ca57fc1688,2025-05-16 17:00:00,Supervisor,2|segcli|10126|2
1bc8f43a-81d4-49ac-b272-da629d4b8dda,2025-10-27 12:00:00,Supervisor,2|segcli|13772|2
1c28125b-0097-49b9-b30b-36a9bf338054,2025-03-19 09:00:00,Supervisor,2|segcli|8849|2
1c475e5a-ecca-4a19-a13d-e3747fe906e9,2025-03-20 17:00:00,Supervisor,2|segcli|9034|6
1f36c3d9-68f5-499a-8689-4b61bca2b13b,2025-03-19 11:00:00,Supervisor,2|segcli|9097|6
1f82d2bb-ce43-4108-bf08-ec0cbc8ac0d7,2025-05-16 12:00:00,Supervisor,2|segcli|10309|6
1f8e8eae-3c33-475e-a096-2fb5ecee42cf,2025-05-16 19:00:00,Supervisor,2|segcli|10323|6
2027a0d9-5d89-4cd3-8734-18975a38370e,2025-05-16 15:00:00,Supervisor,2|segcli|10202|2
28056303-4fa0-4514-9720-1b7c70c2fa3e,2025-03-20 12:30:00,Supervisor,2|segcli|9020|2
2e7a0e5e-a193-48c1-ad9f-728d99e7c6ef,2025-05-16 11:00:00,Supervisor,2|segcli|10093|2
30b99213-5e51-4e18-8c15-7eca4aafc695,2025-03-19 11:00:00,Supervisor,2|segcli|9097|2
335625a8-d1f7-412c-8c1a-c678fd068e39,2025-03-20 17:30:00,Supervisor,2|segcli|9069|2
34f668a5-a2dd-41f5-ab05-57a76e9cacef,2025-05-16 12:00:00,Supervisor,2|segcli|10255|6
3908b7cd-2249-4f03-a906-f056f831274d,2025-03-20 12:30:00,Supervisor,2|segcli|9020|6
39805176-c00f-47eb-a1ee-2c7407fc89ce,2025-05-16 10:00:00,Supervisor,2|segcli|10152|6
3ab6f2f2-4554-4d73-9cf3-f055976587c0,2025-03-19 09:00:00,Supervisor,2|segcli|8849|6
3eab0b70-d03e-4213-8dfe-249af52075cc,2025-03-20 11:30:00,Supervisor,2|segcli|9022|6
3f3e2188-d3b7-4025-8331-b30afd074c82,2022-10-25 11:16:00,Supervisor,1|segcli|1488|6
3fb185e9-0d31-4900-80fc-ba316ed2724e,2025-12-19 18:00:00,Supervisor,2|segcli|14994|2
3fd44401-34c6-4d1f-9d98-4695b5265df8,2025-03-20 17:00:00,Supervisor,2|segcli|8646|2
40293849-dc9d-4aa1-99bb-7d627d92644d,2025-03-20 20:00:00,Supervisor,2|segcli|9019|6
40d3dfa3-f12a-401b-ad63-6f769945df33,2025-05-15 20:00:00,Supervisor,2|segcli|10280|2
432fe4df-2327-469d-8ed2-582118c60912,2025-05-15 13:00:00,Supervisor,2|segcli|9908|6
49d2daba-0f9e-48b4-8a6e-fd166edee326,2025-05-16 11:00:00,Supervisor,2|segcli|10093|2
4f68472e-3e2d-4748-92f5-6ab33246dc75,2021-02-17 09:00:00,Supervisor,1|segcli|199|6
583ab69d-f3c5-4723-98a7-af56c507a3a8,2025-05-16 10:00:00,Supervisor,2|segcli|10152|2
5a04af2e-3a83-4ca6-bfcb-de9b075eac74,2025-05-16 13:00:00,Supervisor,2|segcli|9954|2
5a9e1881-c5a1-4a53-b2fb-c8d6128d8ea7,2025-05-16 11:00:00,Supervisor,2|segcli|10093|6
5b8959da-f4b6-4ecb-ac53-cffa41a8e760,2024-11-05 11:00:00,Supervisor,2|segcli|6432|2
5e2bc99b-e55a-433b-bd68-11bed3a0a114,2025-03-20 18:00:00,Supervisor,2|segcli|8991|6
6289af7c-3c58-4610-a53a-d0bfbb18b24d,2025-06-19 11:00:00,Supervisor,2|segcli|10776|2
6295ee12-9446-4643-87e9-b66001308665,2025-03-20 11:00:00,Supervisor,2|segcli|9021|6
