id,nombre,valor
1,code128,False
2,verContadorHistorial,False
3,BVERFINANCIADOR,False
4,bVerImagenes,False
5,bverControlesMedicos,False
7,VerSistemaBonos,True
8,VerProcesosAuto,False
9,bVerDiagnosticos,False
10,bfactagendadef,True
11,bfactodontdef,True
12,bVerDiagnosticos_Paciente,True
13,bverpestconcepcobro,True
14,bverdctoimpfijo,False
15,bverexppredef,True
16,bverarqueo,False
17,bverpeticion,False
18,bverbalpgcantiguo,False
19,bverbienes,False
20,bvernominas,False
21,bVerOrtodontograma,False
22,bverdocuminterna,False
23,bvercamas,False
24,bversofas,False
25,bveralmacen,False
26,bverCalificacion,False
27,bverEvaluacion,False
28,VerFax,False
29,bverinformeqr,False
30,bvercontrolpotenciales,False
31,bvercontrolclientes,False
32,bvercontrolventas,False
33,bvercontroloportunidad,True
34,bvercontrolexpedientes,False
35,bverhorariolab,False
36,bverconciliacion19,False
37,bverconciliacion43,False
38,bVerComunicaciones,False
39,agendaseg,True
40,bverhonopredef,True
41,bverlopd,True
42,bfactsinmarcaagen,True
43,bverfechainiprev,True
44,bverfechafinprev,True
45,bvertiempoprevistofase,True
46,bveractupredef,True
47,bverbtncobrarhis,True
48,bverselecactus,True
49,bvercontrolserviciosarticulos,False
50,bvertiempoexp,True
51,bverrefhistoexp,True
52,bvergestionproyectos,False
53,bfiltraralummatriculado,False
54,bverperfilcli,True
55,bverperfilclipot,True
56,bverperfilalumno,True
57,bverperfilpac,True
58,bVerOtrosDatosArticulo,False
59,bVerCodigoArticulo,True
60,bVerOrdenArticulo,True
61,bverdashboardcliente,False
62,bverbonossesiones,True
63,bverbonostiempo,True
64,bverbonosmonetarios,True
65,bVerHistorialCancelacion,False
66,VerFotoFicha_Paciente,True
67,bagengrisacturealizadas,False
68,bvermodollamada,False
69,bverbotondisponib,False
70,bVerBaseDatosClientes,True
71,bveropcionesira,True
72,bVerCopiaSegDelphi,False
73,bvercolorbd_Expediente,True
74,bvercolorbd_Cliente,False
75,bvercolorbd_Potencial,False
76,bvercolorbd_Trabajador,False
77,bvercolorbd_Paciente,False
78,bvercolorbd_Aseguradora,False
79,bvercolorbd_Proveedor,False
80,bvercontrolfacturas,False
81,bvercontrolproformas,False
82,bvercontrolpedidos,False
83,bvercontrolalbaranes,False
