IcodCont,Linea,ICodContacto,IcodCli,IcodCliCon,ICodAbo,ICodPoder,ICodColab,ICodPro,ICodJuzga,ICodOrgan,ICodBanco,ICodPerso1,ICodPerso2,ICodPerso3,ICodPerso4,ICodPerso5,ICodPerso6,ICodPerso7,ICodPerso8,ICodPerso9,ICodPerso10,icodpoten,ICodPerito
1,0,1,,,,,,,,,1,,,,,,,,,,,,
2,0,1,1,,,,,,,,,,,,,,,,,,,,
3,0,1,,,,,,,,,,2,,,,,,,,,,,
4,0,1,,,,,,,,,,2,,,,,,,,,,,
5,0,1,,,,,,,,,,2,,,,,,,,,,,
6,0,1,,,,,,,,,,,,,,,2,,,,,,
7,0,2,,,,,,,,,,,,,,,2,,,,,,
9,0,17,21,,,,,,,,,,,,,,,,,,,,
10,0,6,,,,,,,1,,,,,,,,,,,,,,
11,0,2,,,,,,,2,,,,,,,,,,,,,,
12,0,8,,,,,,,3,,,,,,,,,,,,,,
13,0,2,,,,,,,4,,,,,,,,,,,,,,
14,0,3,,,,,,,4,,,,,,,,,,,,,,
15,0,7,,,,,,,5,,,,,,,,,,,,,,
16,0,9,,,,,,,6,,,,,,,,,,,,,,
17,0,9,,,,,,,6,,,,,,,,,,,,,,
18,0,4,,,,,,,6,,,,,,,,,,,,,,
19,0,7,,,,,,,,1,,,,,,,,,,,,,
20,0,9,,,,,,,,1,,,,,,,,,,,,,
21,0,6,,,,,,,,2,,,,,,,,,,,,,
22,0,1,,,,,,,,2,,,,,,,,,,,,,
23,0,3,,,,,,,,3,,,,,,,,,,,,,
24,0,5,,,,,,,,3,,,,,,,,,,,,,
25,0,10,,,,,,,,4,,,,,,,,,,,,,
30,0,6,16,,,,,,,,,,,,,,,,,,,,
31,0,1,16,,,,,,,,,,,,,,,,,,,,
32,0,2,16,,,,,,,,,,,,,,,,,,,,
33,0,10,16,,,,,,,,,,,,,,,,,,,,
34,0,2,4,,,,,,,,,,,,,,,,,,,,
35,0,10,4,,,,,,,,,,,,,,,,,,,,
36,0,8,4,,,,,,,,,,,,,,,,,,,,
