codigo,fecha,linea,imagen,descripcion,fechaftp,subidoftp,ubicacion,principal
1,2007-06-18 00:00:00,1,URBANIZACIN LOS ALMENDROS\Per1(1)1.jpg,INMUEBLE 03.jpg,2007-06-18 14:12:41,,,1
1,2007-06-18 00:00:00,2,URBANIZACIN LOS ALMENDROS\Per1(1)2.jpg,PLANO DEL INMUEBLE 06.jpg,2007-06-18 14:12:45,,,0
1,2007-06-18 00:00:00,3,URBANIZACIN LOS ALMENDROS\Per1(1)3.jpg,VISTA INMUEBLE 03.jpg,2007-06-18 14:12:50,,,0
1,2007-06-18 00:00:00,4,URBANIZACIN LOS ALMENDROS\Per1(1)4.jpg,VISTA INMUEBLE 05.jpg,2007-06-18 14:12:58,,,0
1,2007-06-18 00:00:00,5,URBANIZACIN LOS ALMENDROS\Per1(1)5.jpg,VISTA INMUEBLE 07.jpg,2007-06-18 14:13:02,,,0
2,2007-06-18 00:00:00,1,URBANIZACIN TORRES DE PEÑA\Per1(2)1.jpg,INMUEBLE 01.jpg,2007-06-18 14:23:05,,,1
2,2007-06-18 00:00:00,2,URBANIZACIN TORRES DE PEÑA\Per1(2)2.jpg,PLANO DEL INMUEBLE 02.jpg,2007-06-18 14:23:10,,,0
2,2007-06-18 00:00:00,3,URBANIZACIN TORRES DE PEÑA\Per1(2)3.jpg,VISTA DEL INMUEBLE 03.jpg,2007-06-18 14:23:20,,,0
2,2007-06-18 00:00:00,4,URBANIZACIN TORRES DE PEÑA\Per1(2)4.jpg,VISTA DEL INMUEBLE 04.jpg,2007-06-18 14:23:26,,,0
3,2007-06-18 00:00:00,1,EDIFICIO LAS FLORES N 45\Per1(3)1.jpg,EDIFICIO 01.jpg,2007-06-18 14:31:16,,,1
3,2007-06-18 00:00:00,2,EDIFICIO LAS FLORES N 45\Per1(3)2.jpg,PLANO DEL INMUEBLE 03.jpg,2007-06-18 14:31:20,,,0
3,2007-06-18 00:00:00,3,EDIFICIO LAS FLORES N 45\Per1(3)3.jpg,VISTA INMUEBLE 03.jpg,2007-06-18 14:31:25,,,0
3,2007-06-18 00:00:00,4,EDIFICIO LAS FLORES N 45\Per1(3)4.jpg,VISTA INMUEBLE 04.jpg,2007-06-18 14:31:28,,,0
4,2007-06-18 00:00:00,1,EDIFICIO SAN MARCOS N 87\Per1(4)1.jpg,EDIFICIO 03.jpg,2007-06-18 14:37:08,,,1
4,2007-06-18 00:00:00,2,EDIFICIO SAN MARCOS N 87\Per1(4)2.jpg,PLANO DEL INMUEBLE 07.jpg,2007-06-18 14:37:12,,,0
4,2007-06-18 00:00:00,3,EDIFICIO SAN MARCOS N 87\Per1(4)3.jpg,VISTA INMUEBLE 01.jpg,2007-06-18 14:37:16,,,0
4,2007-06-18 00:00:00,4,EDIFICIO SAN MARCOS N 87\Per1(4)4.jpg,VISTA INMUEBLE 08.jpg,2007-06-18 14:37:20,,,0
5,2007-06-18 00:00:00,1,URBANIZACIÓN MALAGASUR SA\Per1(5)1.jpg,INMUEBLE 09.jpg,2007-06-18 14:42:38,,,1
5,2007-06-18 00:00:00,2,URBANIZACIÓN MALAGASUR SA\Per1(5)2.jpg,PLANO DEL INMUEBLE 05.jpg,2007-06-18 14:42:46,,,0
5,2007-06-18 00:00:00,3,URBANIZACIÓN MALAGASUR SA\Per1(5)3.jpg,VISTA INMUEBLE 06.jpg,2007-06-18 14:42:50,,,0
5,2007-06-18 00:00:00,4,URBANIZACIÓN MALAGASUR SA\Per1(5)4.jpg,VISTA INMUEBLE 04.jpg,2007-06-18 14:42:55,,,0
