idcarpeta,nombre,inumexp,iyear,idpadre,tipo,permiso,idmaster,idArbolPredef,orden
1,Todos,,,0,,,1,1,
2,Todos,1,2021,0,,,1,,
3,Todos,1,0,0,,,1,,
7,Todos,13,0,0,,,1,,
11,Todos,11,0,0,,,1,,
15,Todos,5,0,0,,,1,,
19,Todos,3,0,0,,,1,,
23,Todos,,,0,,,1,2,
24,Todos,,,0,,,1,3,
25,Todos,2,0,0,,,1,,
29,Todos,10,0,0,,,1,,
33,Todos,6,0,0,,,1,,
37,Todos,12,0,0,,,1,,
45,Todos,50,0,0,,,1,,
49,Todos,18,0,0,,,1,,
53,Todos,19,0,0,,,1,,
57,Todos,17,0,0,,,1,,
61,Todos,21,0,0,,,1,,
65,Todos,39,0,0,,,1,,
67,Todos,37,0,0,,,1,,
68,Todos,20,0,0,,,1,,
69,Todos,51,0,0,,,1,,
70,Todos,31,0,0,,,1,,
71,Todos,4,0,0,,,1,,
72,Todos,8,0,0,,,1,,
73,Todos,36,0,0,,,1,,
76,Todos,38,0,0,,,1,,
77,Todos,35,0,0,,,1,,
78,Todos,34,0,0,,,1,,
79,Todos,33,0,0,,,1,,
80,Todos,32,0,0,,,1,,
81,Todos,58,0,0,,,1,,
82,Todos,53,0,0,,,1,,
83,Todos,57,0,0,,,1,,
84,Todos,56,0,0,,,1,,
85,Todos,43,0,0,,,1,,
86,Todos,42,0,0,,,1,,
87,Todos,41,0,0,,,1,,
88,Todos,49,0,0,,,1,,
89,Todos,27,0,0,,,1,,
90,Todos,16,0,0,,,1,,
91,Todos,30,0,0,,,1,,
92,Todos,22,0,0,,,1,,
93,Todos,23,0,0,,,1,,
94,Todos,24,0,0,,,1,,
95,Todos,25,0,0,,,1,,
96,Todos,26,0,0,,,1,,
97,Todos,28,0,0,,,1,,
98,Todos,29,0,0,,,1,,
99,Todos,9,0,0,,,1,,
100,Todos,7,0,0,,,1,,
101,Informes,6,0,33,,,,,
102,Análisis,6,0,33,,,,,
103,Pruebas,6,0,33,,,,,
105,Todos,2,2021,0,,,1,,
107,Todos,61,0,0,,,1,,0
108,Todos,55,0,0,,,1,,0
109,Todos,62,0,0,,,1,,0
110,Todos,63,0,0,,,1,,0
113,Todos,66,0,0,,,1,,0
114,Todos,67,0,0,,,1,,0
