id,idlinea,fecha,numfactura,concepto,ctagasto,ctaiva,ctairpf,poriva,porrecargo,porirpf,totalivaeuro,totalirpfeuro,totallineaeuro,codsubusu,unidades,preciounitario,baseimponible,ejercicio,tipo,generamovstock,idarticulo,tipofact,TipoGasto,serie,idalmacen,fechacaducidad,lote,idlinearel,yearfactrel,inumfacturarel,codsubusurel,fechaconceprel,serierel,tipoprofrel,lineconceprel,numero,dctolinea,dcto,totaldctoeuro,idpeticion,icodproveedor,icodEmisor,icodtrabajador,facturar,btitular,estado,uddisp,notas,iprorrata,iOpIntra,ctaivarep,ivarepercutido,SitIn,refcatIn,tipoviaIn,nombreviaIn,tiponumIn,numcasaIn,calificadornumIn,bloqueIn,portalIn,escaleraIn,plantaIn,puertaIn,complementoIn,poblacionIn,municipioIn,codmuniIn,codprovIn,codpostalIn,tipooperacionIva,detalleoperacionIva,tipooperacionIrpf,tipoExencionIVA,motivoExencionIVA,modelosIVA,modelosIRPF,AplicarRecEq,capituloconcepto,subcapitulo,idBienInversion,clavemod349,serieLote,bselloteauto,clavemod190,subclavemod190,tipounidad,reMinorista
1,1,2011-11-03 00:00:00,1,fa gastos tlfno,6290000000,4720000007,          ,0.0,0.0,0.0,0.0,0.0,10.0,0,1.0,10.0,10.0,2011,GASTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2013-01-02 00:00:00,1,F. 1 MOVISTAR,6280000002,4720000021,          ,21.0,0.0,0.0,49.14,0.0,283.14,0,1.0,234.0,234.0,2013,GASTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,2013-01-15 00:00:00,2,F. 2 FENOSA,6280000003,4720000021,          ,21.0,0.0,0.0,25.41,0.0,146.41,0,1.0,121.0,121.0,2013,GASTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,2013-01-31 00:00:00,3,F. 3 ALQUILER LOCAL,6210000001,4720000021,4750000021,21.0,0.0,21.0,252.0,252.0,1200.0,0,1.0,1200.0,1200.0,2013,GASTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,2013-01-31 00:00:00,,NOMINA ENERO RAQUEL LOPEZ,6400000001,,4750000003,0.0,0.0,10.0,0.0,120.0,1200.0,0,1.0,1005.0,1005.0,2013,GASTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,2013-02-28 00:00:00,,SEGUROS SOCIALES,6420000000,,,0.0,0.0,0.0,0.0,0.0,55.0,0,1.0,55.0,55.0,2013,GASTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,2013-03-01 00:00:00,4,F. 4 MOVISTAR,6280000002,4720000021,          ,21.0,0.0,0.0,26.67,0.0,153.67000000000002,0,1.0,127.0,127.0,2013,GASTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,2012-12-14 00:00:00,5,Factura Luz,6280000003,4720000021,          ,21.0,0.0,0.0,21.0,0.0,121.0,0,1.0,100.0,100.0,2012,GASTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9,2013-04-11 00:00:00,6,Crema tratamiento,6000000000,4720000021,,21.0,0.0,,27.3,,157.3,0,2.0,65.0,130.0,2013,ARTICULO,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,2.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,2013-04-11 00:00:00,6,Crema prevención,6000000000,4720000021,,21.0,0.0,,28.35,,163.35,0,3.0,45.0,135.0,2013,ARTICULO,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,3.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,2021-05-31 00:00:00,7,Comisión Junio,6290000000,,4730000015,0.0,0.0,15.0,0.0,22.5,127.5,0,1.0,150.0,150.0,2021,HONORARIO,0,,,,,,,,,,,,,,,,1,,0.0000,0.0000,,,,,1,,,1.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,2021-10-26 00:00:00,8,1234,7050000000,4770000007,,0.0,0.0,0.0,0.0,0.0,800.0,5,1.0,800.0,800.0,2021,GASTO,0,,,,,,,,,,,,,,,,1,0.0000,0.0000,0.0000,,,,,1,,,1.0,,0,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,24,65,False,,,,,,,,,,
13,13,2021-12-23 00:00:00,,PRUEBA,,4720000021,4730000019,21.0,0.0,19.0,25.2,22.8,122.39999999999999,0,2.0,60.0,120.0,2021,GASTO,,,,,,,,,,,,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,24,,,,,,,,,,,,
14,14,2022-03-31 00:00:00,10,Uniformes nuevos,,,,,0.0,,0.0,0.0,500.0,0,10.0,50.0,500.0,2022,HONORARIO,0,,,,,,,,,,,,,,,,1,0.0000,0.0000,0.0000,,,,,1,,,10.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
