id,tabla,accion,clave,cambios,clave2
1,0,0,257,"b'\x1f\x8b\x08\x00\x00\x00\x00\x00\x04\x005\x8e\xc1\x0e\x820\x0c\x86_\xc5\xf4\x8cc\xddp\x91y""\x86\x03\t\x82\x07O\x8a\x87\x81\x18I\x80\xe1\x14/\x84ww\xd3\x90\xfc\x97\xb6_\xbfv\x82\xbd\xea\xcaF\xbf@^&\xa8T7h\x90p\xaf\xab\x87\xaati4x\xf0Q\xad6\xb6\x89\xa2\xf0\x11\x0b\x9fQ\x86+*\xa9\xcb2\x8e\xfawm\x1a\x87\xf5c\xdb\xceW\x0f\xe2\xe7\xd8\xfc\\Q\x9a&Y\x9e\xc5\x87\x8crn\xf9\xe4\xe8\\!#(\xb6\x84\x12\x0cvH\tC[\xf3\x80 \x0b-\x92\x0f\xb5Q\xb7\xc5\xe6\xfd\xdf\xb1[\xee\xf2\x1am\xc4\t\xb9dBn\xd8\x19\xe6/\xb2\n%\x07\xc3\x00\x00\x00'",
2,8,0,0,"b'\x1f\x8b\x08\x00\x00\x00\x00\x00\x04\x005\x8d\xbd\x0e\x82@\x10\x84\xdfek\xb8\xdc.\x04\xf1\xac\x88\xa1 A\xb0\xb0\xd2X\x9cpF\x12\xe0\xf0\x00\x1b\xc2\xbb\xbb\x9a\xd0\xcd|\x99\x9f\x05\x8e\xba{4v\x04u[\xa0\xd2\xdd`A\xc1\xd3\xf4\x93\xd3\xb5\x1e\xcd\xec,x\xf0\xd1\xadu\xcc7\x99\xf4\x93q\xcd\x0f\xf5s\xdb\xaew\x0f\xd2\xf7\xdc\xfc\xabI\x9egEY\xa4\xa7BF1\xe7\xb33C\xdc\x93\xc0(\x16R`x@)\x08\xd9\x07\xa1@\x0c8R\x0e\x86\xcf\xb65\x8f\xdf\xab\x97\xe6\x16I""_\xa2O\xf1\x05I\xc9@\xc9\xdd\x15\xd6/\xe7\xfe\x1a$\xb2\x00\x00\x00'",
3,2,0,72,"b""\x1f\x8b\x08\x00\x00\x00\x00\x00\x04\x00}\x8d\xb1\x0e\x820\x10@\xff\xe5\xe6\xd2\xdc\xb5\x88\x88\x131\x0c$\x88\x0eL\x1a\x87\x8a\x10I\x80b\x05\x17\xc2\xbf[H\x1ct\xf0\xb6{\xb9\xf7n\x84\x9dj\xae\x95~Bp\x1e!WM\xa7!\x80L\xf7\xaa\x8eMW\x16\x83\xd1\xc0\xe0\xa5jm,\x97k\xb6\xc2\xcf\x1e\xb6}a\xaa\x85#C;0\xb1\x9fD\xf4\xad\x0b\x12\xff\xfd\x0b\x83\xe81TK L\x928=\xa4\xd1>E\xcf\xb7N|\xb4\x906\x82\x93\xe7s\xe4\xe4n\t\xb9-r\x92.'\x92\xf6\xe4\xd0\x15F\xdd\xe6b;\xd45\x83\xb2\xc8\xefj\xfe\x8bB8H\x8e\xf03\x12\x01\xca\x00\xfd\x13Lo\x15p`W\xfb\x00\x00\x00""",
4,9,1,5,"b'\x1f\x8b\x08\x00\x00\x00\x00\x00\x04\x00\x9dSMo\xc20\x0c\xfd+(\xe7R\xf2Aat\'4q@b\xb0\xc3v\xd9\xd8\xc1-fDj\x13\xe6\xb4\\\x10\xff}\x86M\xfb\xe4\x90\x11E\x8ab\xe7\xbd<=\xdb{q\x03ua}\x10\xf9\xd3^\x94Po\xbd\xc8\x05\x04\x8b\xae\xf1""\x11;\xa8<qdR\xd9\xda:X}\xc6\xc6\xaeA\xb2\xa7\x9c\x16\x87\xe4\x0b\xbb\xc6r\x03\x91H\xa3\x96=i\x96=-\xb5\xee\xc8\\\x1e\xf7\x0f\xb2\xb2e\x1d\xb0\xc2\x02#\x19\x872\x93\xef\xeb\x0c\xcf\x06\n\xa4H\xa2\x9fp_\x1f\xf1\x9c\x8aD?8\xbb\xf6Tc\xe8\xb8\x16w\xec\xeew6_\x04\xa4\x1d\x94\xd6;\x0c\x97\xc8\xb1|P\x83\xd8R\xac\x1e6%\xf9k\x8aw\r\xc1\x16\xa8\xb1\xab\xd8\x8a\xf5\x8d<\xe7/\xebaQ-\x86\xe8\xa6\xf9\r\',\x81^.B\x17\x10\x90\x7f\xbf\xa8\xb0\xdc\x14\xdey\xfaGi\xc5\xe19\x11\x93\xd7\xd6\x9e\x08\xc6\xb3\xd9t\xbe\x98On\xe72S\xfczz\xc7A5\xd2\xa9\x1a\\\xa5*\x1d\r\xae\x95L\xb5\xe2\xbb\xe9\xa7J\x0f\xf8\xc9b\x8b\xc4\xd4\xcc\xe5\xda\xaaJ>\x06\x86\xc7\x88\x87\xa0+M\xd7\xa8{\x95\xe5f\x98\xab\xecQ\x1c\xde\x00\x07\xc4z\x88\xa1\x03\x00\x00'",2022
5,9,1,6,"b'\x1f\x8b\x08\x00\x00\x00\x00\x00\x04\x00\x9d\x93Mo\xc20\x0c\x86\xff\n\xca\xb9\x94|P6\xba\x13\x9a8 1\xd8a\xbbl\xec\xe0\x163""\xb5\tsZ.\x88\xff>\x83\xd06\x10\x87\x8c(R\x14\xc7\xef\x13;\xb1w\xe2\x11\xea\xc2\xfa \xf2\xf7\x9d(\xa1\xdex\x91\x0b\x08\x16]\xe3E""\xb6Pyb\xcb\xb8\xb2\xb5u\xb0\xfc\xb1\x8d\\\x83d\x8fgZ\xec\x93_\xed\n\xcb5D*\x8dZ\xf4\xa4Y\xf4\xb4\xd4\xba#sy\x98g\xb0\xb2\xe58`\x89\x05F\x12\xaf\xa8\xd7P E\xca\xfbF\x9e\xc69\xc8\xd7\x07\x12;Er^\x9d]y\xaa1t\\\x8b[~\xdd\xbf4_\x04\xa4-\x94\xd6;\x0c\xb7\xe4ey\xa1\x06\xb1\xa5\xd8x2)\x93+Y\xb9\x86`\x03\xd4\xd8e\xec\x8f\x9d\x018\n\x0e\xa5\xc5\x10]*\x97r\xc2\x12\xe8\xf3&u\x01\x01\xf9\xf6\x9b\xea\x82\x8b\xc2;O\xff\xf8P\xb1\xffH\xc4\xf8\xab\xb5G\xc0h:\x9d\xcc\xe6\xb3\xf1\xd3Lf\x8a\xbd\'\xcflTC\x9d\xaa\xc1}\xaa\xd2\xe1\xe0A\xc9T+\xde\x9b~\xaa\xf4\x80]\xe6\x1b$F3\xcb\xb5U\x95\x9c\xda\x84\x9b\x87K\xbf+M\xd7\xa8\x17\x95\xe5\xe6.W\xd9\x9b\xd8\x7f\x03\xaf\x7f\xf3\xcf\x97\x03\x00\x00'",2022
6,0,0,267,"b'\x1f\x8b\x08\x00\x00\x00\x00\x00\x04\x00e\x8e\xbd\x0e\x82@\x10\x84\xdfe\xeb\xe3\xb2{\xfc\x08X\x11CA\x82`a\xa5\xb18\x11#\xc9\xc1!\x82\r\xe1\xdd=%D\x13\xbb\x9d\xc9|;3\xc2F\xd6\xe7J? <\x8eP\xc8\xba\xd5\x10B\xaf{\xa9\x80\xc1S*\xdd\x19-\\\\T\xd4\xf4eW\xcd.\t\xe6""""L\xec\x8b^\xcb\xe2&\x0b}\xee\xf4\x0f\xff\x0f7\x83R\xd3\x89A|\x1f\xaa\x0f\x17\xa5i\x92\xe5Y\xbc\xcd\xd0sL>\xd9\x19\x93\x02\xc1\xc9\xf39q\xb2\xfd5!7\x95\xe6t8\x91o2y[v\xf2\xb2\xbccs\xf7{\x18\naa`\x89`O^\x88~h\xaf\x0e0\xbd\x00IB\xfc=\xeb\x00\x00\x00'",
7,8,0,0,"b'\x1f\x8b\x08\x00\x00\x00\x00\x00\x04\x00}\x8e\xbd\x0e\x820\x14F\xdf\xe5\xce\xa5\xe9-HJ\x9d\x88a App\xd28T,\xb1\t\x7f\x16p!\xbc\xbb\xc5\x84\xb8y\xa7\x9b\x93\xef$g\x86\x83j\xee\xa6\x1b@^g(U\xd3w \xa1\xd2\xedh\xd5C\rz\xb2\x1d\x10x\xab\xba\xb3\x8e\xb3\xed\x8f\xdbQ[\xb3\xb2v\xaa\xeb\x85\xfcTc\xfb\xea\xbf\x01\xb8#\xcc\x1d,7\x02\xc9k2_/\xce\xb24/\xf2\xe4\x98\xb30pRzZ\x97\x11\xa7\x18\n\x8a\x14}\xb1GF9:\xe0\x07\x14Q\xb8M\xd1kW\xb9U\x10\x97]>\x95\xd38\xe3\xdcc\x91\xc7\xa33\x86\x92\t\x19\xb0\x0b,\x1f\x1e6\xe1F\xeb\x00\x00\x00'",
8,2,0,72,"b'\x1f\x8b\x08\x00\x00\x00\x00\x00\x04\x00\x8d\x8d\xb1\x0e\x82@\x0c\x86\xdf\xa5\xf3qi\x0fD\xc0\x89\x18\x06\x12\x04\x07&\x8d\xc3\x89\x10I\x80\xc3\x13\\\x08\xef\xeeAtqrk\xff\xbf\xdf\xd7\t\xf6\xb2\xbd\xd6\xea\t\xc1y\x82B\xb6\xbd\x82\x00r5\xc8&\xd6}U\x8eZ\x01\x83\x97l\x94692\xc4\xef\x1avC\xa9\xeb5\xb6\xb7l\x83\xa6\x99\xd9\x8f""\xfa\x0b\x17$>\xfc\x85A\xf4\x18\xebU\x10&I\x9cfitH\xd1u\x0c\x15\x1fMH\xbe\xe0\xe4z\x9c8\xd9\xde\x8e\x90\x1b\xd6\x8c\x0e\'\xf2\xccM\xd6\x97Z\xde\x16i76\r\x83\xaa,\xeer\xf9\x80BX\xe8[\xc2\xcf\xc9\r\xd0\x0b\x1c:\xc1\xfc\x06\x94OV\xde\xfc\x00\x00\x00'",
9,3,0,88,"b""\x1f\x8b\x08\x00\x00\x00\x00\x00\x04\x00m\x8d=\x0f\x820\x10\x86\xff\xcb\xcd\xa5\xe9\x95\x0f\x01'b\x18H\x10\x1c\x984\x0e\x15!\x92\x14\x8a\x15\\\x08\xff\xddBt!\xdety\xde{\x9f\x9b\xe0 \xda[\xa3^\x10^&(E\xdb+\x08\xa1P\x83\x90\x89\xee\xebx\xd4\n\x08\xbc\x85T\xdapF\x98\x99\x1f\x88\xba\xa1\xd2\xcd\x1a\xd8;\xe2.\xc9L6\x92\x8d\x80\xbb\x8b\xe2\x8f\x80#\xff\x1a\xae\x04\xe2\xe7\xd8\xac\x8a(M\x93,\xcf\xe2c\xc6<\xc7\xb4\x92\x93\x81\x18p\x8a\x9eO\x91\xa2\xed\xef\x91Q\xd35\xabC\x11}s\x93\xf7\x95\x16\xf7E\xda\x8dR\x12\xa8\xab\xf2!\x96\x0f\x8cs\x8b\x05\x16\x0f\n\xf4B\xe6\x87\x0e?\xc3\xfc\x01\x1c\x83\x1a\x04\x00\x01\x00\x00""",
10,2,0,72,"b'\x1f\x8b\x08\x00\x00\x00\x00\x00\x04\x005\xcd1\x0f\x820\x10\x05\xe0\xffrsm\xee\n\x92R\'b\x18H\x10\x1c\x984\x0e\x151\x92\x14\x8a\x15\\\x08\xff\xddB\xe2\xfa\xbd{\xeff8\xea\xee\xde\xda\x0f\xa8\xeb\x0c\xb5\xee\x06\x0b\n*;j\x93N\xce\x02\x83\xaf6\xd6y\x13{d\x88\x7fH\xfa\xb1q\xed\x16\xac\xec\x83\xe5\xc6 }O\xed6\x90\xe4yV\x94Ez*0\n}\';{\xa4Xp\x8a$\'N\x81<\x10rA\x1e\x82\x90\x13I\x7fS\x0e\x8d\xd3\x8fu\xb2\x9f\x8ca\xf0l\xea\x97^\x1f\xa3\x10;\x8cw""\xae(R(U(.\xb0\xfc\x00\xc7\\\xb0<\xb9\x00\x00\x00'",
