icodcli,dfecha,linea,icodopor,icodusu,icodpro,estado,etapa,tipo,codigo,fuente,unidades,precio,probabilidad,prevision,notas,fechacierre,importecierre,oferta,referencia,oportunidad,notas1,notas2,notas3,notas4,notas5,notas6,CampoNum1,CampoNum2,CampoNum3,CampoNum4,CampoNum5,Campo1,Campo2,Campo3,Campo4,Campo5,Campo6,CampoFecha1,CampoFecha2,CampoFecha3,CampoFecha4,CampoFecha5,CampoFecha6,CampoFecha7,CampoFecha8,Campo7,Campo8,Campo9,Campo10,Campo11,Campo12,Campo13,Campo14,Campo15,Campo16,Campo17,Campo18,Campo19,Campo20,Campo21,traspasado,facturado,inumfact,yearfact,codsubusu,serie,hora,campo22,iasocFact,dcto,totaltarifa,totaldctoeuro,formapago,inumpagos,dfechainipago,poriva,porrecargo,ctaiva,ftotaliva,ftotalventa,porirpf,ftotalirpf,ctairpf,iproforma,impSinWeb,tipomtto,fecharecogidadatos,fechamuestra,fechadefinitiva,fecharecogidanecesidades,fechafuncional,fechaentregaproducto,estadoMigracion,estadoProducto,fechapresupuesto,fechaseguimiento,proximopaso,fechavencimiento,proximovencimiento,idOdontograma,tipooportunidad,competencia,duracionMaxBono,importeMaxBono,dctMaxBono,sesionesMaxBono,tiempoMaxBono,porconsumo,categoria,sesionesconsumidas,sesionespdt,importeconsumidobono,importepdtbono,tiempoconsumidobono,tiempopdtbono,dfechacaducidad,sesionescontratadas,importecontratado,tiempocontratado,subcategoria,numbono,usarplazosfechafija,idplazos,iddiascobro,horaseguimiento,horapresupuesto,horaalta,codusuapoyo,fechacreacion,horacreacion,backcolor,creadopor,estadoFirma,tiempo,inumexp,iyear,numopor,numtarea,fechainiprev,fechafinprev,tiempoprev,ordenprioridad,porprogreso,puntos,numContadorSerie,descripOpor,clase,sprint,icodcliRelacionado,yearfactOrigen,inumfacturaOrigen,codsubusuOrigen,tipoprofOrigen,codContacto,idcomision,modoComision,idTipoComision,porcenpeso,fechaEnCurso,numPersonas,idcentro,repartible,asignadaAuto,sdomicilioopor,spoblacionopor,sprovinciaopor,scodpostalopor,idSubtareaAccion,numPlazos,fechaProxVenci,fechaProxFact,frecuServicio,lineaClibancos,horafinprev,icodcliDireccion,lineaDireccion,formapagoFP,usarplazosfechafijaFP,idplazosFP,dfechainipagoFP,inumpagosFP,periodoFP,fecharestopagoFP,facturable,excepcionreabrir,excepcionreabrirfecha,renovada,icodcliInmueble,tiempoprevistoinicial
1,2022-08-01 00:00:00,1,46,5,,Abierta,Presupuesto,,,,10.0000,,,250.0,,,250.0000,False,,Renueva tu bono,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,1,2021-06-21 00:00:00,0.0,0.0,,0.0,250.0,,0.0,,0,,,,,,,,,,,,2022-08-21 00:00:00,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,1899-12-30 00:00:00,,2021-06-21 00:00:00,1899-12-30 18:33:51,16777215,0,,38,,,36,,,,,,,,,,,,,,,,,,18,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2,2022-09-01 00:00:00,1,44,5,,Abierta,Presupuesto,,,,10.0000,,,250.0,,,250.0000,False,,Renueva tu bono,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,1,2021-06-21 00:00:00,0.0,0.0,,0.0,250.0,,0.0,,0,,,,,,,,,,,,2022-09-15 00:00:00,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,1899-12-30 00:00:00,,2021-06-21 00:00:00,1899-12-30 18:33:51,16777215,0,,0,,,34,,,,,,,,,,,,,,,,,,17,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3,2022-07-15 00:00:00,1,11,3,8,Cerrada,Ganada,,,,1.0000,,,800.0,,2022-06-21 00:00:00,800.0000,False,,Tratamiento Oferta 10%,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-30 18:32:28,,1,0.0000,,,,1,2021-05-28 00:00:00,0.0,0.0,4770000007,0.0,800.0,,0.0,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,1899-12-30 09:55:00,,2021-05-28 00:00:00,1899-12-30 09:57:49,16777215,0,,0,,,9,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3,2022-07-15 00:00:00,2,10,5,8,Cerrada,Ganada,,,,1.0000,,,800.0,,2022-06-21 00:00:00,800.0000,False,,Tratamiento Oferta 10%,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-30 18:32:29,,1,0.0000,,,,1,2021-05-28 00:00:00,0.0,0.0,4770000007,0.0,800.0,,0.0,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,1899-12-30 09:55:00,,2021-05-28 00:00:00,1899-12-30 09:57:49,16777215,0,,0,,,8,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3,2022-07-15 00:00:00,3,9,5,8,Cerrada,Ganada,,,,1.0000,,,800.0,,2022-06-21 00:00:00,800.0000,False,,Tratamiento Oferta 10%,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-30 18:32:29,,1,0.0000,,,,1,2021-05-28 00:00:00,0.0,0.0,4770000007,0.0,800.0,,0.0,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,1899-12-30 09:55:00,,2021-05-28 00:00:00,1899-12-30 09:57:49,16777215,0,,0,,,7,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3,2022-07-15 00:00:00,4,8,5,8,Abierta,Sin iniciar,,,,1.0000,,,800.0,,,800.0000,False,,Tratamiento Oferta 10%,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0000,,,,1,2021-05-28 00:00:00,0.0,0.0,4770000007,0.0,800.0,,0.0,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,1899-12-30 09:55:00,,2021-05-28 00:00:00,1899-12-30 09:57:49,16777215,0,,0,,,6,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3,2022-07-15 00:00:00,5,7,5,8,Abierta,Sin iniciar,,,,1.0000,,,800.0,,,800.0000,False,,Tratamiento Oferta 10%,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0000,,,,1,2021-05-28 00:00:00,0.0,0.0,4770000007,0.0,800.0,,0.0,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,1899-12-30 09:55:00,,2021-05-28 00:00:00,1899-12-30 09:57:49,16777215,0,,0,,,5,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3,2022-07-15 00:00:00,6,6,5,8,Abierta,Sin iniciar,,,,1.0000,,,800.0,,,800.0000,False,,Tratamiento Oferta 10%,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0000,,,,1,2021-05-28 00:00:00,0.0,0.0,4770000007,0.0,800.0,,0.0,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,1899-12-30 09:55:00,,2021-05-28 00:00:00,1899-12-30 09:57:54,16777215,0,1,150,,,11,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3,2022-09-01 00:00:00,1,43,5,,Abierta,Presupuesto,,,,10.0000,,,250.0,,,250.0000,False,,Renueva tu bono,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,,,,1,2021-06-21 00:00:00,0.0,0.0,,0.0,250.0,,0.0,,0,,,,,,,,,,,,2022-09-15 00:00:00,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,1899-12-30 00:00:00,,2021-06-21 00:00:00,1899-12-30 18:33:51,16777215,0,,0,,,33,,,,,,,,,,,,,,,,,,16,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3,2022-09-01 00:00:00,2,12,5,8,Cerrada,Ganada,,,,1.0000,,,800.0,,2022-09-21 00:00:00,800.0000,False,,Tratamiento Oferta 10%,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
","{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1899-12-30 18:32:28,,1,0.0000,,,,1,2021-05-28 00:00:00,0.0,0.0,4770000007,0.0,800.0,,0.0,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1,,,,,1899-12-30 09:55:00,,2021-05-28 00:00:00,1899-12-30 09:57:49,16777215,0,,0,,,10,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
