icodcli,dfecha,linea,icodopor,unidades,precio,prevision,oportunidad,icodusu,notas,referencia,facturar,importecierre,tipocuenta,dctolinea,totaldctoeuro,totaltarifa,bmodifimporte,porproforma,idartstock,idsegodont,idsegclider,indicehono,ordenhono,descriphono,unidadesconsumidas,bselloteauto,lote,bmovstock,idalmacen,orden,capituloconcepto,subcapitulo,tipoOperacionIVA,detalleOperacionIVA,tipoExencionIVA,motivoExencionIVA,tipoOperacionIRPF,modelosIVA,modelosIRPF,aplicarRecEq,poriva,porrecargo,ctaiva,ctairpf,iva,irpf,CtaServArt,clavemod349,fechaCaducidad,serieLote,tipounidad,idTarifa,idsegcliimportada,idderecho,codigoIAETicketBai,ctaivarep
1,2021-06-21 00:00:00,1,46,10.0000,25.0000,250.0,Bono 10 sesiones,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,250.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-06-21 00:00:00,1,44,10.0000,25.0000,250.0,Bono 10 sesiones,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,250.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-05-28 00:00:00,1,6,1.0000,800.0000,800.0,Tratamiento pack,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,800.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-06-21 00:00:00,2,43,10.0000,25.0000,250.0,Bono 10 sesiones,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,250.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-06-21 00:00:00,1,42,10.0000,25.0000,250.0,Bono 10 sesiones,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,250.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-06-21 00:00:00,1,41,10.0000,25.0000,250.0,Bono 10 sesiones,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,250.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-06-21 00:00:00,1,40,10.0000,25.0000,250.0,Bono 10 sesiones,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,250.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022-09-26 00:00:00,2,56,1.0000,120.0000,120.0,Campaña Operación Verano,,,,,120.0000,HONORARIO,0.0000,0.0,120.0,,,,,,,,,0.0000,,,,,1,,,,,,,,,,,0.00,0.00,4770000007,,0.00,0.00,7050000000,,,,,,,,,
7,2021-05-28 00:00:00,1,7,1.0000,800.0000,800.0,Tratamiento pack,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,800.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-05-28 00:00:00,1,8,1.0000,800.0000,800.0,Tratamiento pack,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,800.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-05-28 00:00:00,1,9,1.0000,800.0000,800.0,Tratamiento pack,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,800.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2021-05-28 00:00:00,1,10,1.0000,800.0000,800.0,Tratamiento pack,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,800.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2021-06-21 00:00:00,2,45,10.0000,25.0000,250.0,Bono 10 sesiones,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,250.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2021-05-28 00:00:00,1,11,1.0000,800.0000,800.0,Tratamiento pack,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,800.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2021-06-21 00:00:00,2,39,10.0000,25.0000,250.0,Bono 10 sesiones,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,250.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021-05-28 00:00:00,1,12,1.0000,800.0000,800.0,Tratamiento pack,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,800.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021-06-21 00:00:00,2,37,10.0000,25.0000,250.0,Bono 10 sesiones,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,250.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-05-28 00:00:00,1,13,1.0000,800.0000,800.0,Tratamiento pack,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,800.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-06-21 00:00:00,2,38,10.0000,25.0000,250.0,Bono 10 sesiones,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,250.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-06-17 00:00:00,2,29,10.0000,45.0000,450.0,Radiofrecuencia INDIBA EDNA PRO,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,450.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2021-06-17 11:32:17.703000,1,19,1.0000,120.0000,120.0,Campaña Operación Verano,,,,,120.0000,HONORARIO,0.0000,0.0,120.0,,,,,,,,,0.0000,,,,,,,,,,,,,,,,0.00,0.00,,,0.00,0.00,,,,,,,,,,
22,2021-06-17 11:32:17.703000,1,17,1.0000,120.0000,120.0,Campaña Operación Verano,,,,,120.0000,HONORARIO,0.0000,,120.0,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2021-06-17 11:32:17.703000,1,16,1.0000,120.0000,120.0,Campaña Operación Verano,,,,,120.0000,HONORARIO,0.0000,,120.0,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2021-06-17 11:32:17.703000,1,15,1.0000,120.0000,120.0,Campaña Operación Verano,,,,,120.0000,HONORARIO,0.0000,,120.0,,,,,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021-06-17 00:00:00,1,24,10.0000,55.0000,550.0,ZIONIC (rollactive RF)  50 min,4,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,550.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021-06-17 00:00:00,1,23,10.0000,55.0000,550.0,ZIONIC (rollactive RF)  50 min,4,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,550.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2021-06-17 00:00:00,2,28,10.0000,45.0000,450.0,Radiofrecuencia INDIBA EDNA PRO,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,450.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-06-17 00:00:00,1,22,10.0000,55.0000,550.0,ZIONIC (rollactive RF)  50 min,4,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,550.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2021-06-17 00:00:00,2,27,10.0000,45.0000,450.0,Radiofrecuencia INDIBA EDNA PRO,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,450.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2021-06-17 00:00:00,1,21,10.0000,55.0000,550.0,ZIONIC (rollactive RF)  50 min,4,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,550.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2021-06-17 00:00:00,2,26,10.0000,45.0000,450.0,Radiofrecuencia INDIBA EDNA PRO,0,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",,0,450.0000,SERVICIO,0.0000,0.0,,,,,,,,,,0.0000,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
