id,icodcli,mes,totalIgucalen,sumaIgucalen,totalCuenCli,sumaCuenCli,totalSegCli,sumaSegCli,saldo,tiempoSegCli
1,10,Enero,,,,,,,,
2,10,Febrero,,,,,3,0.0000,,
3,10,Marzo,,,,,,,,
4,10,Abril,,,,,,,,
5,10,Mayo,,,,,,,,
6,10,Junio,,,,,,,,
7,10,Julio,,,,,,,,
8,10,Agosto,,,2,-7500.0000,,,,
9,10,Septiembre,,,,,,,,
10,10,Octubre,,,,,,,,
11,10,Noviembre,,,,,,,,
12,10,Diciembre,,,,,,,,
13,9,Enero,2,850.0000,,,,,,
14,9,Febrero,2,850.0000,,,,,,
15,9,Marzo,2,850.0000,,,,,,
16,9,Abril,2,850.0000,,,,,,
17,9,Mayo,2,850.0000,,,,,,
18,9,Junio,2,850.0000,,,,,,
19,9,Julio,2,850.0000,,,,,,
20,9,Agosto,2,850.0000,,,,,,
21,9,Septiembre,2,850.0000,,,,,,
22,9,Octubre,2,850.0000,,,,,,
23,9,Noviembre,2,850.0000,,,,,,
24,9,Diciembre,2,850.0000,,,,,,
25,4,Enero,,,,,,,,
26,4,Febrero,,,,,,,,
27,4,Marzo,,,,,,,,
28,4,Abril,,,,,,,,
29,4,Mayo,,,,,,,,
30,4,Junio,,,,,,,,
31,4,Julio,,,,,,,,
32,4,Agosto,,,,,,,,
33,4,Septiembre,,,,,,,,
34,4,Octubre,,,,,,,,
35,4,Noviembre,,,,,,,,
36,4,Diciembre,,,,,,,,
