inumexp,iyear,dfechaact,linea,sactuacion,dfechaven,thoraven,thorafinven,alarmaven,indexalven,dfechaavi,thoraavi,thorafinavi,alarmaavi,indexalavi,dfecharec,thorarec,thorafinrec,alarmarec,indexalrec,dfechase,thorase,thorafinse,alarmase,indexalse,notas,tiempo,facturado,facturable,fechacuentas,publicar,realizada,fechatareaini,fechatareaven,fechaaltar,horaaltar,horainicio,horafin,acturealizada,subusu,icodcli,autoimporte,importe,origenimporte,campo,tipocuenta,condcto,plantilladcto,dctoenaltas,conemail,plantillaemail,emailenaltas,fecharealizacion,numfactura,yearfact,subusufact,origenfact,conactuenlace,actuenlace,tipo,tipotarifa,unidad,precio,honogasto,dfecharesolucion,modifactu,preciocoste,alertas,notificada,tipoactu,horainiact,horafinact,actuenaltas,concodopeemail,codopeemailenaltas,codopeemail,autoimportecuentas,dfechanotificacion,diasnotificacion,sdescripcion2,campofecha1,campofecha2,campofecha3,campofecha4,campofecha5,campo1,campo2,campo3,campo4,campo5,campo6,campo7,orden,fraccion,tarifa,tarifame,me,preciome,iusuariotarifa,fcambio,notas2,notas3,notas4,notas5,notas6,tipohisto,campo8,campo9,campo10,campo11,campo12,campo13,campo14,campo15,campo16,campo17,campo18,campofecha6,campofecha7,campofecha8,campofecha9,campofecha10,campofecha11,campofecha12,agenda,serie,fase,tiempoprevisto,icodigoactupredef,conlink,slink,conlinkaltas,incluirlineasel,concodopeemailword,emailwordenaltas,plantillaemailusu,RecConWordCli,RecConUsu,RecConWordUsu,acturecordada,acturecordadausu,acturecordadausuword,IndexTimeRecWordCli,RecPlantillaWordCli,IndexTimeRecUsu,IndexTimeRecWordUsu,RecPlantillaWordUsu,estado,tipoplantrabajo,estado2,estado3,estado4,estado5,estado6,estado7,estado8,estado9,estado10,estado11,estado12,RecConSmsCli,id_plantillasms,IndexTimeRecSmsCli,acturecordadaclisms,aula,fcostemateriales,fcosteamortizacion,fcosteterceros,fcosteotros,fcampolibre6,fcampolibre7,fcampolibre8,fcampolibre9,fcampolibre10,fcostetotalcoste,fcostetotalbeneficio,fcosteporbeneficio,aplicarcoste,diashabiles,codjuzga,inumexp_per,iyear_per,dfechaact_per,linea_per,campo19,campo20,campo21,campo22,campo23,campo24,campo25,campo26,campo27,campofecha13,campofecha14,campofecha15,campofecha16,campofecha17,campofecha18,tiempoFact,tiempoNoFact,tiempoNeto,PrecioFact,PrecioNoFact,PrecioNeto,porcentaje,lineajuzga,idlineprevcobros,icodContacto,RecConSMSAbo,id_plantillaSMSAbo,IndexTimeRecSMSAbo,acturecordadaabosms,RecConWordAbo,RecPlantillaWordAbo,IndexTimeRecWordAbo,acturecordadaabo,RecConSMSPro,id_plantillaSMSPro,IndexTimeRecSMSPro,acturecordadaprosms,RecConWordPro,RecPlantillaWordPro,IndexTimeRecWordPro,acturecordadapro,rutaFirma,rutaFirmaTrabajador,nombreClienteFirma,relacionClienteFirma,dniClienteFirma,inumordenseg,backcolor,diagnostico,idAdj,idTablaAdj,incluiractufechatipo,cancelada,motivocancelacion,subusucre,RecConPlantillaCli,RecPlantillaCli,IndexTiempoRecordaCli,IndexIncluirRecordaCli,acturecordadacliword,descPlazoVen,diasNotifPlazoVen,diasHabilPlazoVen,dfechaActPlazoVen,alarmaPlazoVen,indexAlarmaPlazoVen,bEsPlazoVen,descPlazoSen,dfechaActPlazoSen,alarmaPlazoSen,indexAlarmaPlazoSen,horaIniPlazoSen,bEsPlazoSen,idEstadoActuacion,fechaConfirmacion,fechaCancelacion,tipohistotr,emailCliRealizarActuacion,emailCliRealizarActuacionPlantillaID,infEmailUsu,infPlantillaEmailUsu,infEmailUsuRealizarActu,InfConEmailCli,InfIdPlantillaEmailCli,InfPlantillaEmailCli,InfEmailCorreoenaltas,InfIdPlantillaEmailUsu,estadoFirma,inivelprivacidad,id,googleID,googleLoc,googleDate,created_on,modified_on,idactuprincipal,officeID,officeLoc,officeDate,comunicadoMn,estadocomunicacion,idcostetrabajador,idEstadoCita,leido,idcomision,fechaReminder,fechaModoCliente,guid,modoComision,idTipoComision,numPlazas,tipoClase,porretencion,preciocosteneto,tipoFirmaMN,fechaSeguimiento,horaSeguimiento,icodprov,importeFactura,porcentajeImputado,subvencionado,importeSubvencionado,idContagastos,importePredefinida,ctaiva,hostname_on,tsautomatico,imputado,MarcaCorreo,MarcaWhatsApp,bimportargastoporbi,idvalidaciongasto,gestionRealizada,idController,kilometros,numdocumento,origenkm,destinokm,tipogasto,costekilometro,idAdjunFormularioCuestionario
1,2021,2022-11-08 00:00:00,1,Cuadro de mandos,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,0,,,,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,-1,-1,"{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fnil\fcharset0 Microsoft Sans Serif;}}
\viewkind4\uc1\pard\f0\fs20\par
}
",600,,1,,0,0,,,,,,,0,0,,0,0.0000,0,,,0,,0,0,,0,,,,,,0,,Llamada,0,1.0,0.0000,,,0,0.0000,0,,Actuación,1899-12-30 10:20:12,1899-12-30 10:30:12,0,0,0,-1,0,2022-11-08 00:00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16777215,,,,,False,,0,0,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,44,,,,2022-11-08 10:20:40.003000,,,,,,,,,,False,,,,,,,,,,,0,,,,,,,,,,,,False,,,,,,,,,,,,,,
2,2021,2021-11-19 00:00:00,1,Paso 1: Nombramiento del Delegado de Protección de Datos,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,0,,,,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,-1,-1,"{\rtf1\fbidis\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fswiss\fprq2\fcharset0 Microsoft Sans Serif;}{\f2\fnil\fcharset0 Microsoft Sans Serif;}}  {\colortbl ;\red44\green42\blue41;\red65\green169\blue64;\red0\green0\blue255;}  \viewkind4\uc1\pard\ltrpar\sa200\sl276\slmult1\f0\fs22 El DPD ser\'e1 el garante del cumplimiento del RGPD. Su misi\'f3n, adem\'e1s de asesorar a la empresa, ser\'e1 asegurarse de que se cumple con las obligaciones en protecci\'f3n de datos. Ser\'e1 interlocutor con la AEPD y los ciudadanos que quieran ejercer sus derechos ante la empresa\par  No todas las organizaciones est\'e1n obligadas a contar con esta figura, y en todo caso podr\'eda ser un empleado o un externo.\par  El DPD estar\'e1 presente de forma obligatoria en:\par  \pard\ltrpar\fi-360\li720\sa200\sl276\slmult1\f1 -\tab\f0 Las organizaciones p\'fablicas\par  \f1 -\tab\f0 Las empresas que realicen tratamiento masivo de datos o a gran escala. Y aqu\'ed no se refiere tanto al tama\'f1o de la organizaci\'f3n como al riesgo que pueda suponer para los datos, sin depender del tama\'f1o de la empresa o el n\'famero de empleados. Por ejemplo, un taller que tiene miles de clientes pero una peque\'f1a cl\'ednica dental, con menos clientes pero con datos sensibles s\'ed est\'e1 obligada.\par  \pard\ltrpar\fi-360\li720\f1 -\tab\f0 Las \cf1\b empresas que traten datos de especial protecci\'f3n\cf0\b0 , como podr\'edan ser etnia, ideolog\'eda, religi\'f3n, \cf2 datos gen\'e9ticos, relativos a la salud, biom\'e9tricos <https://www.sage.com/es-es/blog/el-reglamento-general-de-proteccion-de-datos-i-aspectos-basicos/>\cf0  u orientaci\'f3n sexual, entre otros\par  \f1 -\tab\f0 Empresas que recojan caracter\'edsticas psicol\'f3gicas y de comportamiento de las personas\par  \pard\ltrpar Si necesitas formaci\'f3n para ejercer esta funci\'f3n puedes revisar el esquema de certificaci\'f3n de la AGPD: \cf3\ul <https://www.aepd.es/reglamento/cumplimiento/delegado-de-proteccion-de-datos.html>\cf0\ulnone\par  \pard\ltrpar\f2\fs20\par  }  ",0,,0,,0,0,,,,,,,0,0,,0,0.0000,0,,HONORARIO,0,,0,0,,0,,,,,,0,,Protección de Datos,-1,1.0,0.0000,,,0,0.0000,0,0,Actuación,1899-12-30 15:08:06,1899-12-30 15:08:06,0,0,0,-1,0,2021-11-19 00:00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2181,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0000,0.0000,0.0000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,0,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,33,,,,2021-11-19 15:08:07.800000,,,,,,,,,,False,,,,,,,,,,,0,,,,,,,,,,,,False,,,,,,,,,,,,,,
2,2021,2021-11-19 00:00:00,2,Paso 2: Identificación de los datos personales que se tratan,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,0,,,,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,-1,-1,"{\rtf1\fbidis\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fnil\fcharset0 Microsoft Sans Serif;}}  \viewkind4\uc1\pard\ltrpar\sa200\sl276\slmult1\f0\fs22 Para poder determinar que procedimientos debemos realizar, antes debemos analizar los tipos de datos que tratamos.\par  \pard\ltrpar De acuerdo con el \i\fs23 RGPD <https://www.iberley.es/legislacion/reglamento-ue-2016-679-27-abr-doue-reglamento-general-europeo-proteccion-datos-gdpr-rgpd-24473701>\i0\fs22 , se consideran \'abdatos personales\'bb toda informaci\'f3n sobre una \ul\b persona f\'edsica\ulnone\b0  cuya identidad pueda determinarse, directa o indirectamente, en particular mediante un identificador, como por ejemplo un nombre, un n\'famero de identificaci\'f3n, datos de localizaci\'f3n, un identificador en l\'ednea o uno o varios elementos propios de la identidad f\'edsica, fisiol\'f3gica, gen\'e9tica, ps\'edquica, econ\'f3mica, cultural o social de dicha persona.\par  Hay una serie de \ul\b datos especialmente sensibles\ulnone\b0  que requieren especial atenci\'f3n, a modo informativo citamos algunos: origen \'e9tnico o racial, las opiniones pol\'edticas, las convicciones religiosas o filos\'f3ficas, o la afiliaci\'f3n sindical, y el tratamiento de datos gen\'e9ticos, datos biom\'e9tricos dirigidos a identificar de manera un\'edvoca a una persona f\'edsica, datos relativos a la salud o datos relativos a la vida sexual o las orientaci\'f3n sexuales de una persona f\'edsica y aquellos  relativos a condenas e infracciones penales. \par  Para ayudarte con este proceso adjuntamos un documento que te servir\'e1 de gu\'eda para analizar aquellos supuestos m\'e1s habituales.\par  \pard\ltrpar\f1\fs20\par  }  ",0,,0,,0,0,,,,,,,0,0,,0,0.0000,0,,HONORARIO,0,,0,0,,0,,,,,,0,,Protección de Datos,-1,1.0,0.0000,,,0,0.0000,0,0,Actuación,1899-12-30 15:08:08,1899-12-30 15:08:08,0,0,0,-1,0,2021-11-19 00:00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2182,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0000,0.0000,0.0000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,0,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,34,,,,2021-11-19 15:08:08.950000,,,,,,,,,,False,,,,,,,,,,,0,,,,,,,,,,,,False,,,,,,,,,,,,,,
2,2021,2021-11-20 00:00:00,1,Paso 3: Registro de las actividades de tratamiento,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,0,,,,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,-1,-1,"{\rtf1\fbidis\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fswiss\fprq2\fcharset0 Microsoft Sans Serif;}{\f2\fnil\fcharset0 Microsoft Sans Serif;}}  \viewkind4\uc1\pard\ltrpar\sa200\sl276\slmult1\f0\fs22 El RGPD sustituye la obligaci\'f3n de inscribir ficheros en la AEPD por la de realizar un registro de actividades de tratamiento.\par  Dicha obligaci\'f3n corresponde tanto al Responsable del fichero como al Encargado del tratamiento. \par  Todos debemos contar con documentaci\'f3n interna relativa a las actividades de tratamiento que realizamos, pero el RGPD no obliga a cualquier responsable o encargado a realizar el Registro de dicha documentaci\'f3n en todos los casos. Registrar las actividades de tratamiento en la AGPD ser\'e1 obligatorio si:\par  \pard\ltrpar\fi-360\li720\sa200\sl276\slmult1\f1 -\tab\f0 La empresa u organizaci\'f3n tenga m\'e1s de 250 empleados.\par  \f1 -\tab\f0 Se realicen tratamientos que puedan entra\'f1ar un riesgo para los derechos y libertades de los interesados, no sean ocasionales, o incluyan categor\'edas especiales de datos personales.\par  \f1 -\tab\f0 Se realice un tratamiento de datos personales relativos a condenas e infracciones penales.\par  \pard\ltrpar Si est\'e1s en alguno de estos casos deber\'e1s ir a la sede de la agencia e inscribir los documentos correspondientes: <https://sedeagpd.gob.es/sede-electronica-web/vistas/infoSede/queSede.jsf>\par  Puedes utilizar el documento adjunto al paso anterior como gu\'eda para documentar las actividades de tratamiento m\'e1s comunes.\par  \pard\ltrpar\f2\fs20\par  }  ",0,,0,,0,0,,,,,,,0,0,,0,0.0000,0,,HONORARIO,0,,0,0,,0,,,,,,0,,Protección de Datos,-1,1.0,0.0000,,,0,0.0000,0,0,Actuación,1899-12-30 15:08:09,1899-12-30 15:08:09,0,0,0,-1,0,2021-11-19 00:00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2183,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0000,0.0000,0.0000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,0,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,35,,,,2021-11-19 15:08:09.850000,,,,,,,,,,False,,,,,,,,,,,0,,,,,,,,,,,,False,,,,,,,,,,,,,,
2,2021,2021-11-21 00:00:00,1,Paso 4: Análisis del nivel de seguridad (EIPD),,1900-01-01 08:00:00,1900-01-01 08:00:00,0,0,,,,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,-1,-1,"{\rtf1\fbidis\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fswiss\fprq2\fcharset0 Microsoft Sans Serif;}{\f2\fnil\fcharset0 Microsoft Sans Serif;}}  \viewkind4\uc1\pard\ltrpar\sa200\sl276\slmult1\f0\fs22 Teniendo en cuenta el estado de la t\'e9cnica, los costes de aplicaci\'f3n, y la naturaleza, el alcance, el contexto y los fines del tratamiento, as\'ed como riesgos de probabilidad y gravedad variables para los derechos y libertades de las personas f\'edsicas, el responsable y el encargado del tratamiento aplicar\'e1n \ul\b medidas t\'e9cnicas y organizativas apropiadas para garantizar un nivel de seguridad adecuado al riesgo.\ulnone\b0\par  \ul\b El RGPD exige una Evaluaci\'f3n de Impacto (EIPD)\ulnone\b0  cuando el tratamiento pueda entra\'f1ar un alto riesgo para los derechos y libertades de las personas. Se exige una EIPD por lo menos en los tres casos siguientes:\par  \pard\ltrpar\fi-360\li720\sa200\sl276\slmult1\f1 -\tab\f0 la evaluaci\'f3n sistem\'e1tica y exhaustiva de aspectos personales de una persona, incluida la elaboraci\'f3n de perfiles,\par  \f1 -\tab\f0 el tratamiento a gran escala de datos sensibles,\par  \f1 -\tab\f0 la observaci\'f3n sistem\'e1tica a gran escala de una zona p\'fablica.\par  \pard\ltrpar\sa200\sl276\slmult1 Te recomendamos que ejecutes la herramienta \b An\'e1lisis de seguridad\b0  y revises los \b Permisos de MN program\b0  para evaluar el estado de situaci\'f3n actual. As\'ed mismo te sugerimos que actives la \b Auditor\'eda de datos\b0  para registrar posibles incidencias.  Recuerda que esta herramienta s\'f3lo verificar\'e1 aquellos procesos que realices dentro de MN program.\par  Si tienes dudas o quieres profundizar en este tema te recomendamos que leas el documento adjunto.\par  \pard\ltrpar\f2\fs20\par  }  ",0,,0,,0,0,,,,,,,0,0,,0,0.0000,0,,HONORARIO,0,,0,0,,0,,,,,,0,,Protección de Datos,-1,1.0,0.0000,,,0,0.0000,0,0,Actuación,1899-12-30 15:08:10,1899-12-30 15:08:10,0,0,0,-1,0,2021-11-19 00:00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2184,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0000,0.0000,0.0000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,0,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,36,,,,2021-11-19 15:08:10.997000,,,,,,,,,,False,,,,,,,,,,,0,,,,,,,,,,,,False,,,,,,,,,,,,,,
2,2021,2021-11-22 00:00:00,1,Paso 5: Elaborar el Documento de Seguridad,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,0,,,,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,-1,-1,"{\rtf1\fbidis\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fswiss\fprq2\fcharset0 Microsoft Sans Serif;}{\f2\fnil\fcharset0 Microsoft Sans Serif;}}  \viewkind4\uc1\pard\ltrpar\sa200\sl276\slmult1\f0\fs22 El RGPD ya no distingue entre ficheros de nivel b\'e1sico, medio o alto, sino que especifica que las medidas de seguridad se aplicar\'e1n teniendo en cuenta el estado de la t\'e9cnica, los costes de aplicaci\'f3n, y la naturaleza, el alcance, el contexto y los fines del tratamiento, as\'ed como los riesgos para los derechos y libertades de las personas f\'edsicas. \par  Al evaluar la adecuaci\'f3n del nivel de seguridad se tendr\'e1n particularmente en cuenta los riesgos que presente el tratamiento de datos, en particular como consecuencia de la destrucci\'f3n, p\'e9rdida o alteraci\'f3n accidental o il\'edcita de datos personales transmitidos, conservados o tratados de otra forma, o la comunicaci\'f3n o acceso no autorizados a dichos datos\par  La nueva legislaci\'f3n habla de la \ldblquote Protecci\'f3n de datos desde el dise\'f1o y por defecto\ldblquote , as\'ed como de \ldblquote medidas t\'e9cnicas y organizativas apropiadas\rdblquote  para garantizar un nivel de seguridad adecuado al riesgo. \par  En particular cita una serie de medidas generales:\par  \pard\ltrpar\fi-360\li720\sa200\sl276\slmult1\f1 -\tab\f0 la seudonimizaci\'f3n y el cifrado de datos personales; \par  \f1 -\tab\f0 la capacidad de garantizar la confidencialidad, integridad, disponibilidad y resiliencia permanentes de los sistemas y servicios de tratamiento;\par  \f1 -\tab\f0 la capacidad de restaurar la disponibilidad y el acceso a los datos personales de forma r\'e1pida en caso de incidente f\'edsico o t\'e9cnico; \par  \f1 -\tab\f0 un proceso de verificaci\'f3n, evaluaci\'f3n y valoraci\'f3n regulares de la eficacia de las medidas t\'e9cnicas y organizativas para garantizar la seguridad del tratamiento.\par  \pard\ltrpar\sa200\sl276\slmult1 Recuerda que hay varias formas de demostrar que tienes las medidas de seguridad necesarias:\par  \pard\ltrpar\fi-360\li720\sa200\sl276\slmult1\f1 -\tab\f0 Elaborar tu propio \b Documento de seguridad\b0 , aplicarlo y hacerle un seguimiento peri\'f3dico. Para ayudarte con este proceso hemos incluido un documento adjunto que te servir\'e1 de gu\'eda para elaborar tu propio documento de seguridad. \par  \f1 -\tab\f0 La adhesi\'f3n a un \b c\'f3digo de conducta\b0  aprobado o a un mecanismo de \b certificaci\'f3n\b0  aprobado\par  \pard\ltrpar Para ayudarte a implantar tu sistema obligatorio de copias de seguridad externas ponemos a tu disposici\'f3n el m\'f3dulo \b Backup Cloud.\b0\f2\fs20\par  }  ",0,,0,,0,0,,,,,,,0,0,,0,0.0000,0,,HONORARIO,0,,0,0,,0,,,,,,0,,Protección de Datos,-1,1.0,0.0000,,,0,0.0000,0,0,Actuación,1899-12-30 15:08:11,1899-12-30 15:08:11,0,0,0,-1,0,2021-11-19 00:00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2185,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0000,0.0000,0.0000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,0,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,37,,,,2021-11-19 15:08:12.333000,,,,,,,,,,False,,,,,,,,,,,0,,,,,,,,,,,,False,,,,,,,,,,,,,,
2,2021,2021-11-23 00:00:00,1,Firmar contratos de tratamiento y confidencialidad,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,0,,,,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,-1,-1,,0,,0,,0,0,,,,,,,0,0,,0,,0,,,0,,0,0,,0,,,,,,0,,Protección de Datos,,,,,,0,,0,,Actuación,1900-01-01 15:08:00,1900-01-01 15:08:00,0,0,0,-1,0,2021-11-19 00:00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,0,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,38,,,,2021-11-19 15:08:17.970000,,,,,,,,,,False,,,,,,,,,,,0,,,,,,,,,,,,False,,,,,,,,,,,,,,
2,2021,2021-11-24 00:00:00,1,Conocer y comunicar la normativa de protección de datos,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,0,,,,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,-1,-1,,0,,0,,0,0,,,,,,,0,0,,0,,0,,,0,,0,0,,0,,,,,,0,,Protección de Datos,,,,,,0,,0,,Actuación,1900-01-01 15:08:00,1900-01-01 15:08:00,0,0,0,-1,0,2021-11-19 00:00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,0,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,39,,,,2021-11-19 15:08:18.523000,,,,,,,,,,False,,,,,,,,,,,0,,,,,,,,,,,,False,,,,,,,,,,,,,,
2,2021,2021-11-26 00:00:00,1,Informar a los clientes y empleados,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,0,,,,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,-1,-1,,0,,0,,0,0,,,,,,,0,0,,0,,0,,,0,,0,0,,0,,,,,,0,,Protección de Datos,,,,,,0,,0,,Actuación,1900-01-01 15:08:00,1900-01-01 15:08:00,0,0,0,-1,0,2021-11-19 00:00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,0,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,40,,,,2021-11-19 15:08:19.170000,,,,,,,,,,False,,,,,,,,,,,0,,,,,,,,,,,,False,,,,,,,,,,,,,,
2,2021,2021-11-27 00:00:00,1,Control periódico verificación del cumplimiento,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,0,,,,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,0,-1,,1900-01-01 08:00:00,1900-01-01 08:00:00,-1,-1,{\rtf1\ansi\ansicpg1252\deff0\deflang3082{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fnil\fcharset0 Microsoft Sans Serif;}{\f2\fnil\fcharset2 Symbol;}}  \viewkind4\uc1\pard{\pntext\f2\'B7\tab}{\*\pn\pnlvlblt\pnf2\pnindent0{\pntxtb\'B7}}\f0\fs22 Identificaci\'f3n de los datos personales que se tratan\par  {\pntext\f2\'B7\tab}Reconocer el nivel de seguridad (EIPD) \par  {\pntext\f2\'B7\tab}Registro de las actividades de tratamiento \par  {\pntext\f2\'B7\tab}Elaborar documento de seguridad \par  {\pntext\f2\'B7\tab}Firmar contratos de tratamiento y confidencialidad \par  {\pntext\f2\'B7\tab}Conocer y comunicar la normativa de protecci\'f3n de datos \par  {\pntext\f2\'B7\tab}Delegado de protecci\'f3n de datos \par  \pard\f1\fs20\par  },0,,0,,0,0,,,,,,,0,0,,0,0.0000,0,,HONORARIO,0,,0,0,,0,,,,,,0,,Protección de Datos,-1,1.0,0.0000,,,0,0.0000,0,0,Actuación,1899-12-30 15:08:20,1899-12-30 15:08:20,0,0,0,-1,0,2021-11-19 00:00:00,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2200,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0000,0.0000,0.0000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,0,0,,,,,,,,,,,,,,,,,,1,,,,0,,,,,,,,,,,,41,,,,2021-11-19 15:08:20.987000,,,,,,,,,,False,,,,,,,,,,,0,,,,,,,,,,,,False,,,,,,,,,,,,,,
