descripcion,cuenta,Importe,notas,contrapartida,area,referencia
"Edicto (BOP, BOE y periódicos)",5610000000,,,,,
"Ex. requerimiento título, traslado perit",5610000000,,,,,
Exhorto embargo,5610000000,,,,,
Exhorto emplazamiento requerimiento,5610000000,,,,,
Exhorto sentencia,5610000000,,,,,
Fotocopias,5610000000,,,,,
Gastos del procemiento,5610000000,,,,,
Hacienda de derechos reales,5610000000,,,,,
"Oficios tráfico, sueldos y saldo bancos",5610000000,,,,,
Perito,5610000000,,,,,
Pólizas y bastanteo,5610000000,,,,,
Registro (certificación de cargas),5610000000,,,,,
"Registro (mandamiento, actuación)",5610000000,,,,,
