icod,tipofichero,cliotro,bnumcli,busucli,bfechaaltacli,bcuecontcli,bsociecli,bfiscli,becocli,bobligcli,breshisto,verfichaampliada,bvercobros,historialarea2,historialarea3,historialarea4,historialarea5,historialarea6,bverrentabilidades,vernotas2cliypot,vernotas3cliypot,vernotas4cliypot,vernotas5cliypot,vernotas6cliypot,bverimgcli,bcuencli,bsegcli,etiqnotascli1,etiqnotascli2,etiqnotascli3,etiqnotascli4,etiqnotascli5,etiqnotascli6,bnumOtros,busuotros,bfechaaltaotros,bcuecontotros,bsocieotros,bfisotros,becootros,bobligotros,breshistootros,verfichaampliadaotros,bvercobrosotros,historialarea2otros,historialarea3otros,historialarea4otros,historialarea5otros,historialarea6otros,bverrentabilidadesotros,bverlinksOtros,vernotas2trayotr,vernotas3trayotr,vernotas4trayotr,vernotas5trayotr,vernotas6trayotr,bcuenotros,bsegotros,etiqnotasotros1,etiqnotasotros2,etiqnotasotros3,etiqnotasotros4,etiqnotasotros5,etiqnotasotros6,etiotrosdatostit1,etiotrosdatostit2,etiotrosdatostit3,etiotrodatoscampo21,etiotrodatoscampo22,etiotrodatoscampo23,etiotrodatoscampo24,bverotrosdatoscampo21,bverotrosdatoscampo22,bverotrosdatoscampo23,bverotrosdatoscampo24,etiotrodatosfecha9,etiotrodatosfecha10,etiotrodatosfecha11,etiotrodatosfecha12,etiotrodatosfecha13,bverotrosdatosfecha9,bverotrosdatosfecha10,bverotrosdatosfecha11,bverotrosdatosfecha12,bverotrosdatosfecha13,etiotrodatosnie,etiotrodatospasaporte,etiotrodatostarjetaresidencia,etiotrodatosorigen,etiotrodatoszona,etiotrodatosempresa,etiotrodatosdepartamento,etiotrodatoscargo,etiotrodatosnumempleados,etiotrodatossector,etiotrodatosfechanacimiento,etiotrodatosfechapermiso,bverotrosdatosnie,bverotrosdatospasaporte,bverotrosdatostarjetaresidencia,bverotrosdatosorigen,bverotrosdatoszona,bverotrosdatosempresa,bverotrosdatosdepartamento,bverotrosdatoscargo,bverotrosdatosnumempleados,bverotrosdatossector,bverotrosdatosfechanacimiento,bverotrosdatosfechapermiso,bverlinkscli,clipoten,clitrabajador,bnumcliPot,busuclipot,bfechaaltaclipot,bcuecontclipot,bsocieclipot,bfisclipot,becoclipot,bobligclipot,breshistoclipot,verfichaampliadaclipot,bvercobrosclipot,historialarea2clipot,historialarea3clipot,historialarea4clipot,historialarea5clipot,historialarea6clipot,bverrentabilidadesclipot,bverlinkscliPot,bcuenclipot,bsegclipot,verotrosdatos2cli,verotrosdatos3cli,verotrosdatos2clipot,verotrosdatos3clipot,verotrosdatos2trab,verotrosdatos3trab,verotrosdatos2otros,verotrosdatos3otros,etiotrodatoscampo1,bverotrosdatoscampo1,etiotrodatoscampo2,bverotrosdatoscampo2,etiotrodatoscampo3,bverotrosdatoscampo3,etiotrodatoscampo4,bverotrosdatoscampo4,etiotrodatoscampo7,bverotrosdatoscampo7,etiotrodatoscampo8,bverotrosdatoscampo8,etiotrodatoscampo9,bverotrosdatoscampo9,etiotrodatoscampo10,bverotrosdatoscampo10,etiotrodatoscampo6,bverotrosdatoscampo6,etiotrodatoscampo5,bverotrosdatoscampo5,etiotrodatosperso88,bverotrosdatosperso88,etiotrodatosperso85,bverotrosdatosperso85,etiotrodatosperso86,bverotrosdatosperso86,etiotrodatosperso87,bverotrosdatosperso87,etiotrodatosperso83,bverotrosdatosperso83,etiotrodatosperso84,bverotrosdatosperso84,etiotrodatoscampofecha1,bverotrosdatoscampofecha1,etiotrodatoscampofecha2,bverotrosdatoscampofecha2,etiotrodatoscampofecha3,bverotrosdatoscampofecha3,etiotrodatoscampofecha4,bverotrosdatoscampofecha4,etiotrodatoscampopersofecha2,bverotrosdatospersofecha2,etiotrodatoscampopersofecha3,bverotrosdatospersofecha3,etiotrodatoscampopersofecha4,bverotrosdatospersofecha4,etiotrodatoscampopersofecha5,bverotrosdatospersofecha5,etiotrodatoscampo11,bverotrosdatoscampo11,etiotrodatoscampo12,bverotrosdatoscampo12,etiotrodatoscampo13,bverotrosdatoscampo13,etiotrodatoscampo14,bverotrosdatoscampo14,etiotrodatoscampo15,bverotrosdatoscampo15,etiotrodatoscampo16,bverotrosdatoscampo16,etiotrodatoscampo17,bverotrosdatoscampo17,etiotrodatoscampo18,bverotrosdatoscampo18,etiotrodatoscampofecha5,bverotrosdatoscampofecha5,etiotrodatoscampofecha6,bverotrosdatoscampofecha6,etiotrodatoscampofecha7,bverotrosdatoscampofecha7,etiotrodatoscampofecha8,bverotrosdatoscampofecha8,etiotrodatoscampo19,bverotrosdatoscampo19,etiotrodatoscampo20,bverotrosdatoscampo20,etiotrosdatos2tit1,etiotrosdatos2tit2,etiotrosdatos2tit3,etiotrosdatos3tit1,etiotrosdatos3tit2,etiotrosdatos3tit3,bvernomcomercialcli,bvernacionalidadcli,bverestadocli,bverfechabajacli,bvernatjuridicacli,bvertipoficherocli,bvertrabajadorcli,bvercontactocli,bvercolaboracli,bverdireccionescli,bverexpediencli,bverdoccli,bvernomcomercialclipot,bvernacionalidadclipot,bverestadoclipot,bverfechabajaclipot,bvernatjuridicaclipot,bvertipoficheroclipot,bvertrabajadorclipot,bvercontactoclipot,bvercolaboraclipot,bverdireccionesclipot,bverexpedienclipot,bverdocclipot,bvernomcomercialotros,bvernacionalidadotros,bverestadootros,bverfechabajaotros,bvernatjuridicaotros,bvertipoficherootros,bverotrosajadorotros,bvercontactootros,bvercolaboraotros,bverdireccionesotros,bverexpedienotros,bverdocotros,bverpolizas,bverpolizaspot,bverpolizasotros,bverbtnformulariocli,bverbtnformulariopot,bverbtnformulariootros,bverbtnpoderotros,bverdatosbancarioscli,bverdatosbancariospot,bverdatosbancariostra,bverdatosbancariosotro,etiotrodatosperso79,bverotrosdatosperso79,etiotrodatosperso78,bverotrosdatosperso78,etiotrodatosperso77,bverotrosdatosperso77,etiotrodatosperso76,bverotrosdatosperso76,etiotrodatosperso75,bverotrosdatosperso75,etiotrodatosperso74,bverotrosdatosperso74,etiotrodatospersofecha6,bverotrosdatospersofecha6,etiotrodatospersofecha7,bverotrosdatospersofecha7,etiotrodatospersofecha8,bverotrosdatospersofecha8,etiotrodatospersofecha9,bverotrosdatospersofecha9,bAltaCtaCliente,bAltaCtaProvSupl,bAltaCtaVentas,bAltaCtaBancoCaja,bAltaCtaImpagado,etiotrodatosedad,bverotrosdatosedad,baltaexpdesdecli,etiqnotaspot1,etiqnotaspot2,etiqnotaspot3,etiqnotaspot4,etiqnotaspot5,etiqnotaspot6,tipobd,bVerPaisCliente,bverconfcontable,bvermedicacioncli,bverplanindividualcli,bverplanindividualter,bcalcularedadmescli,bcalcularedadmesotro,bverpestercerocli,bverpesalum,bverpespaciente,bverfechayedad
2,Potencial,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,3,3,0,0,0,0,1,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,Deporte,Altura,Peso (Kg),Campo Libre 1,0,0,0,0,Fecha fin del ejercicio,Fecha vencimiento contrato,,,Campo Fecha Libre 5,0,0,0,0,0,Etiqueta Editable,CNAE,Etiqueta Editable,Fuente Contacto,Ubicación,Tamaño,Departamento,Campo Libre 1,Campo Libre 2,Sector,Fecha Nacimiento,Fecha inicio del ejercicio,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Mútua,0,Núm. Póliza,0,,0,,0,,0,,0,,0,,0,Cobertura,0,Núm. Afiliación Seguridad Social,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,Edad,1,0,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,2,False,0,0,0,0,0,0,0,0,0,0
9,Cliente,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,Campo Libre 1,Campo Libre 2,Campo Libre 3,Campo Libre 4,0,0,0,0,Fecha fin del ejercicio,Fecha vencimiento contrato,Campo Fecha Libre 3,Campo Fecha Libre 4,,0,0,0,0,0,Etiqueta Editable,CNAE,Etiqueta Editable,Fuente Contacto,Ubicación,Tamaño,Departamento,Cargo,Nº Empleados,Sector,Fecha Nacimiento,Fecha inicio del ejercicio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,perso88,0,perso85,0,perso86,0,perso87,0,perso83,0,perso84,0,Campo Fecha Libre,0,Campo Fecha Libre,0,Campo Fecha Libre,0,Campo Fecha Libre,0,persofecha2,0,persofecha3,0,persofecha4,0,persofecha5,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Fecha Libre,0,Campo Fecha Libre,0,Campo Fecha Libre,0,Campo Fecha Libre,0,Campo Libre,0,Campo Libre,0,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,Edad,1,0,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,0,False,0,0,0,0,0,0,0,0,0,0
13,Proveedor,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,3,3,0,0,0,0,1,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,Campo Libre 1,Campo Libre 2,Campo Libre 3,Campo Libre 4,0,0,0,0,Fecha fin contrato,Campo Fecha Libre 2,Campo Fecha Libre 3,Campo Fecha Libre 4,Campo Fecha Libre 5,0,0,0,0,0,Etiqueta Editable,Tiempo de respuesta,Etiqueta Editable,Ubicación,Plazo de pago,Empresa,Departamento,Cargo,Nº Empleados,Plazo de entrega,Fecha,Fecha inicio contrato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Campo 1,0,Campo 2,0,Campo 3,0,Campo 4,0,Campo 7,0,Campo 8,0,Campo 9,0,Campo 10,0,Campo 6,0,Campo 5,0,Perso 88,0,Perso 85,0,Perso 86,0,Perso 87,0,Perso 83,0,Perso 84,0,Fecha1,0,Fecha2,0,Fecha3,0,Fecha4,0,PersoFecha2,0,PersoFecha3,0,PersoFecha4,0,PersoFecha5,0,Campo 11,0,Campo 12,0,Campo 13,0,Campo 14,0,Campo 15,0,Campo 16,0,Campo 17,0,Campo 18,0,Fecha5,0,Fecha6,0,Fecha7,0,Fecha8,0,Campo 19,0,Campo 20,0,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,Perso 79,0,Perso 78,0,Perso 77,0,Perso 76,0,Perso 75,0,Perso 74,0,Perso Fecha6,0,Perso Fecha7,0,Perso Fecha8,0,Perso Fecha9,0,0,0,0,0,0,Edad,0,0,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,9,False,0,0,0,0,0,0,0,0,0,0
21,Tercero,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,3,3,0,0,0,0,1,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,,,,,0,0,0,0,,,,,,0,0,0,0,0,,,,,,,,,,,Fecha Nacimiento,Campo Fecha Libre,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,Edad,1,0,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,3,False,0,0,0,0,0,0,0,0,0,0
22,Trabajador,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,3,3,0,0,0,0,1,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,,,,,0,0,0,0,Fecha fin del ejercicio,Fecha vencimiento contrato,,,,0,0,0,0,0,Etiqueta Editable,Categoría profesional,Etiqueta Editable,Carnet de conducir,Nivel de estudios,Tamaño,,,,Sector,Fecha Nacimiento,Fecha inicio del ejercicio,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,Campos de Información,Campos de Tipología,Campos Fechas/Plazos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,Edad,1,0,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,1,False,0,0,0,0,0,0,0,0,0,0
24,Paciente,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Notas,Antecedentes y Exploración,Diagnóstico,Pronóstico,Evolución,Notas 6,Campos de Información,Campos de Tipologías,Campos de Fechas/Plazos,Deporte,Altura,Peso (Kg),Fumador,0,0,0,0,f1,f2,f3,f4,Campo Fecha Libre 5,0,0,0,0,0,NIE,Índice de Masa Corporal,Profesión,Consulta en,Procedencia,Adjunta Informe Médico,Sexo,Campo Libre 1,Campo Libre 2,Convenio,Fecha Nacimiento,conducir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mútua,0,Núm. Póliza,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Cobertura,0,Núm. Afiliación Seguridad Social,0,perso88,0,perso85,0,perso86,0,perso87,0,perso83,0,perso84,0,Campo Fecha Libre,0,Campo Fecha Libre,0,Campo Fecha Libre,0,Campo Fecha Libre,0,persofecha2,0,persofecha3,0,persofecha4,0,persofecha5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,Perso 79,0,Perso 78,0,Perso 77,0,Perso 76,0,Perso 75,0,Perso 74,0,Perso Fecha6,0,Perso Fecha7,0,Perso Fecha8,0,Perso Fecha9,0,0,0,0,0,0,Edad,1,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,4,True,0,1,0,0,0,0,0,0,0,0
25,Mutua,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,Campos de Información,Campos de Tipologías,Campos de Fechas/Plazos,Campo Libre 1,Campo Libre 2,Campo Libre 3,Campo Libre 4,0,0,0,0,Campo Fecha Libre 1,Campo Fecha Libre 2,Campo Fecha Libre 3,Campo Fecha Libre 4,Campo Fecha Libre 5,0,0,0,0,0,NIE,Pasaporte,Tarjeta de Residencia,Origen,Zona,Empresa,Departamento,Cargo,Nº Empleados,Sector,Fecha,Campo Fecha Libre,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,Campo Libre,0,perso88,0,perso85,0,perso86,0,perso87,0,perso83,0,perso84,0,Campo Fecha Libre,0,Campo Fecha Libre,0,Campo Fecha Libre,0,Campo Fecha Libre,0,persofecha2,0,persofecha3,0,persofecha4,0,persofecha5,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,Perso 79,0,Perso 78,0,Perso 77,0,Perso 76,0,Perso 75,0,Perso 74,0,Perso Fecha6,0,Perso Fecha7,0,Perso Fecha8,0,Perso Fecha9,0,0,0,0,0,0,Edad,0,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,8,True,0,1,0,0,0,0,0,0,0,0
26,Mascota,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,Campos de Información,Campos de Tipologías,Campos de Fechas/Plazos,Campo Libre 1,Campo Libre 2,Campo Libre 3,Campo Libre 4,0,0,0,0,Campo Fecha Libre 1,Campo Fecha Libre 2,Campo Fecha Libre 3,Campo Fecha Libre 4,Campo Fecha Libre 5,0,0,0,0,0,NIE,Pasaporte,Tarjeta de Residencia,Origen,Zona,Empresa,Departamento,Cargo,Nº Empleados,Sector,Fecha Nacimiento,Fecha Permiso Conducir,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,Perso 79,0,Perso 78,0,Perso 77,0,Perso 76,0,Perso 75,0,Perso 74,0,Perso Fecha6,0,Perso Fecha7,0,Perso Fecha8,0,Perso Fecha9,0,0,0,0,0,0,Edad,0,0,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,7,False,0,0,0,0,0,0,0,0,0,0
27,Alumno,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,Campos de Información,Campos de Tipologías,Campos de Fechas/Plazos,Campo Libre 1,Campo Libre 2,Campo Libre 3,Campo Libre 4,0,0,0,0,Campo Fecha Libre 1,Campo Fecha Libre 2,Campo Fecha Libre 3,Campo Fecha Libre 4,Campo Fecha Libre 5,0,0,0,0,0,NIE,Pasaporte,Tarjeta de Residencia,Origen,Zona,Empresa,Departamento,Cargo,Nº Empleados,Sector,Fecha Nacimiento,Fecha Permiso Conducir,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,Perso 79,0,Perso 78,0,Perso 77,0,Perso 76,0,Perso 75,0,Perso 74,0,Perso Fecha6,0,Perso Fecha7,0,Perso Fecha8,0,Perso Fecha9,0,0,0,0,0,0,Edad,0,0,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,5,False,0,0,0,0,0,0,0,0,0,0
28,Compañía,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,Campos de Información,Campos de Tipologías,Campos de Fechas/Plazos,Campo Libre 1,Campo Libre 2,Campo Libre 3,Campo Libre 4,0,0,0,0,Campo Fecha Libre 1,Campo Fecha Libre 2,Campo Fecha Libre 3,Campo Fecha Libre 4,Campo Fecha Libre 5,0,0,0,0,0,NIE,Pasaporte,Tarjeta de Residencia,Origen,Zona,Empresa,Departamento,Cargo,Nº Empleados,Sector,Fecha Nacimiento,Fecha Permiso Conducir,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,Perso 79,0,Perso 78,0,Perso 77,0,Perso 76,0,Perso 75,0,Perso 74,0,Perso Fecha6,0,Perso Fecha7,0,Perso Fecha8,0,Perso Fecha9,0,0,0,0,0,0,Edad,0,0,Notas,Notas 2,Notas 3,Notas 4,Notas 5,Notas 6,6,False,0,0,0,0,0,0,0,0,0,0
