id,id_linedcto,id_tabla,id_field,indice,numero,itabla,seccion
10376,109,1,1,1,,,
10377,109,1,2,2,,,
10378,109,1,3,3,,,
10379,109,1,4,4,,,
10380,109,1,5,5,,,
10381,109,1,6,6,,,
10382,109,1,7,7,,,
10383,109,1,8,8,,,
10384,109,1,4,9,,,
10385,109,1,274,10,,,
10386,109,22,96,11,,,
10387,109,22,97,12,,,
10388,109,22,92,13,,,
10389,109,22,4,14,,,
10390,109,22,6,15,,,
10391,109,22,5,16,,,
10392,109,22,7,17,,,
10393,109,22,20,18,,,
10394,109,22,95,19,,,
10395,109,22,8,20,,,
10396,109,22,17,21,,,
10397,109,22,18,22,,,
10398,109,1,1,23,,,
10423,111,1,1,1,,,
10424,111,1,2,2,,,
10425,111,1,3,3,,,
10426,111,1,4,4,,,
10427,111,1,5,5,,,
10428,111,1,6,6,,,
10429,111,1,7,7,,,
10430,111,1,8,8,,,
10431,111,1,9,9,,,
10432,111,1,4,10,,,
10433,111,24,101,11,,,
10434,111,24,102,12,,,
10435,111,4,34,13,1,,
10436,111,4,77,14,1,,
10437,111,37,91,15,,,
10438,111,24,286,16,,,
10439,111,24,100,17,,,
10440,111,24,103,18,,,
10441,111,24,71,19,,,
10442,111,25,104,20,,,
10443,111,26,105,21,1,,
10444,111,24,106,22,,,
10445,111,22,96,23,1,,
10446,111,22,7,24,1,,
10447,111,23,98,25,1,,
10448,111,23,99,26,1,,
10483,112,1,1,1,,,
10484,112,1,2,2,,,
10485,112,1,3,3,,,
10486,112,1,4,4,,,
10487,112,1,5,5,,,
10488,112,1,6,6,,,
10489,112,1,7,7,,,
10490,112,1,8,8,,,
10491,112,1,4,9,,,
10492,112,1,274,10,,,
10493,112,24,101,11,,,
10494,112,24,102,12,,,
10495,112,24,286,13,,,
10496,112,24,71,14,,,
10497,112,24,100,15,,,
10498,112,24,103,16,,,
10499,112,61,287,17,,,
10500,112,62,288,18,,,
10501,112,25,104,19,,,
10502,112,4,34,20,1,,
10503,112,4,77,21,1,,
10504,112,64,270,22,,2,
10505,112,64,271,23,,2,
10506,112,64,272,24,,2,
10507,112,64,273,25,,2,
10508,112,24,276,26,,,
10509,112,24,277,27,,,
10510,112,24,278,28,,,
10511,112,24,279,29,,,
10512,112,24,281,30,,,
10513,112,24,280,31,,,
10514,112,24,282,32,,,
10515,112,24,283,33,,,
10516,112,1,1,34,,,
10517,113,1,1,1,,,
10518,113,1,2,2,,,
10519,113,1,3,3,,,
10520,113,1,4,4,,,
10521,113,1,5,5,,,
10522,113,1,6,6,,,
10523,113,1,7,7,,,
10524,113,1,8,8,,,
10525,113,1,4,9,,,
10526,113,1,274,10,,,
10527,113,24,101,11,,,
10528,113,24,102,12,,,
10529,113,24,286,13,,,
10530,113,24,71,14,,,
10531,113,24,100,15,,,
10532,113,24,103,16,,,
10533,113,61,287,17,,,
10534,113,62,288,18,,,
10535,113,25,104,19,,,
10536,113,24,289,20,,,
10537,113,4,34,21,1,,
10538,113,4,77,22,1,,
10539,113,4,17,23,1,,
10540,113,22,96,24,1,,
10541,113,22,7,25,1,,
10542,113,22,17,26,1,,
10543,113,23,98,27,1,,
10544,113,23,99,28,1,,
10545,113,23,17,29,1,,
10546,113,1,1,30,,,
10547,114,1,1,1,,,
10548,114,1,2,2,,,
10549,114,1,3,3,,,
10550,114,1,4,4,,,
10551,114,1,5,5,,,
10552,114,1,6,6,,,
10553,114,1,7,7,,,
10554,114,1,8,8,,,
10555,114,1,4,9,,,
10556,114,1,274,10,,,
10557,114,24,101,11,,,
10558,114,24,102,12,,,
10559,114,24,286,13,,,
10560,114,24,71,14,,,
10561,114,24,100,15,,,
10562,114,24,103,16,,,
10563,114,61,287,17,,,
10564,114,62,288,18,,,
10565,114,25,104,19,,,
10566,114,4,34,20,1,,
10567,114,4,77,21,1,,
10568,114,27,107,22,,2,
10569,114,27,108,23,,2,
10570,115,1,1,1,,,
10571,115,1,2,2,,,
10572,115,1,3,3,,,
10573,115,1,4,4,,,
10574,115,1,5,5,,,
10575,115,1,6,6,,,
10576,115,1,7,7,,,
