icodcli,codcliente,codtercero,recargabonos,backcolor,codmutua,numero,tipoalerta,CNAE,fechacaducidadNET,fechaCapSocial,codcontacto,dpto,idtipofichero,presidente,secretario,clasejunta,idGestorcuadroRendimiento,idComisionTipoOpor,idIndicadorDatoDeUso,modoComision,fijoComision,estadoAEAT,docPdteFirma,tieneCobrosPdte,snombretutor1,sniftutor1,stelefonotutor1,emailtutor1,facturartutor1,snombretutor2,sniftutor2,stelefonotutor2,emailtutor2,facturartutor2,idTarifa,creadoEl,diaCobro,nifcomunitario,ctaIrpfComision,ctasuplidos,ctacontrsuplidos,tipoId,escliface,codorganogestor,codunidadtramitadora,codoficinacontable,codorganoproponente,nomorganogestor,nomunidadtramitadora,nomoficinacontable,nomorganoproponente,rolorganogestor,rolunidadtramitadora,roloficinacontable,rolorganoproponente,mascotaraza,mascotaespecie,mascotavariedad,mascotanumero,mascotacaracter,mascotabozal,mascotaesteriliz,mascotacapa,mascotasexo,costeHoraDefecto,alertaOdontograma,paisTipoId,precio,operacion,descripcion,estadoLOPD,fijodiscontinuo,recursotipo,recursonumhabitacion,erte,nombrepral,ape1,ape2,recursoplanta,recursotipohabitacion,comComerciales,pasaporteMascota,numChapaRabia,municipio,tipogasto
6,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2023-05-26 10:06:23.133000,,,,5610000000,5700000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,1,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:37.467000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,2,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:38.770000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,3,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:40.827000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
10,,,,,,4,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:41.907000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
11,,,,,,5,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:42.890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,6,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:44.170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
13,,,,,,7,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:44.563000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
14,,,,,,8,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:45.097000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
15,,,,,,9,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2024-06-20 09:27:46.297000,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,
