id,tabla,campo,valor,bloqueado,tipo,orden,selec
250,PersoCampos,1,Horario,False,,234,
251,PersoCampos,1,Mala atención,False,,235,
252,PersoCampos,1,Instalaciones,False,,236,
253,PersoCampos,1,Precio incorrecto,False,,237,
254,PersoCampos,4,Luz,False,,238,
255,PersoCampos,4,Carlos,False,,239,
256,PersoCampos,4,Alejandra,False,,240,
257,PersoCampos,4,Cristina,False,,241,
258,PersoCampos,3,Sin Iniciar,False,,242,
259,PersoCampos,3,En Gestión,False,,243,
260,PersoCampos,3,Ilocalizable,False,,244,
261,PersoCampos,3,Resuelta Favorable,False,,245,
262,PersoCampos,3,Cliente Baja,False,,246,
263,PersoCampos,4,Clínica,False,,247,
264,PersoCampos,1,Retraso Entrega,False,,248,
265,PersoCampos,13,Diop,False,,249,
266,PersoCampos,13,Base,False,,250,
267,PersoCampos,50,Ortoforia,False,,251,
268,PersoCampos,50,Exoforia,False,,252,
269,PersoCampos,50,Endoforia,False,,253,
270,PersoCampos,50,Hiperforia,False,,254,
271,PersoCampos,50,Hipoforia,False,,255,
272,PersoCampos,55,Reactivas,False,,256,
273,PersoCampos,55,No Reactivas,False,,257,
274,PersoCampos,56,Párpados. Ptosis,False,,258,
275,PersoCampos,56,Pterigium,False,,259,
276,PersoCampos,56,Ojo Seco. Test Schimer,False,,260,
277,PersoCampos,56,Alt. Pupila,False,,261,
278,PersoCampos,56,Opacidad Medios,False,,262,
279,PersoCampos,56,Úlceras Corneales,False,,264,
280,PersoCampos,56,Uveitis,False,,265,
293,PersoCampos,178,Ud,,,293,
294,PersoCampos,178,m,,,294,
295,PersoCampos,178,m2,,,295,
296,PersoCampos,178,kg,,,296,
320,PersoCampos,604,1,,,320,
321,PersoCampos,604,2,,,321,
322,PersoCampos,604,3,,,322,
323,PersoCampos,604,4,,,323,
324,PersoCampos,604,5,,,324,
325,PersoCampos,604,6 o más,,,325,
326,PersoCampos,605,1,,,326,
327,PersoCampos,605,2,,,327,
328,PersoCampos,605,3,,,328,
329,PersoCampos,605,4,,,329,
330,PersoCampos,605,5 o más,,,330,
331,PersoCampos,606,Exterior,,,331,
332,PersoCampos,606,Interior,,,332,
333,PersoCampos,607,Sin electrodomésticos ni muebles,,,333,
334,PersoCampos,607,Sin electrodomésticos y con muebles,,,334,
335,PersoCampos,607,Con electrodomésticos y sin muebles,,,335,
336,PersoCampos,607,Con electrodomésticos y con muebles,,,336,
337,PersoCampos,608,Calefacción,,,337,
338,PersoCampos,608,Garaje,,,338,
339,PersoCampos,608,Trastero,,,339,
340,PersoCampos,608,Balcón,,,340,
341,PersoCampos,608,Terraza,,,341,
342,PersoCampos,608,Piscina,,,342,
343,PersoCampos,608,Aire acondicionado,,,343,
344,PersoCampos,613,Sí,,,344,
345,PersoCampos,613,No,,,345,
346,PersoCampos,615,Sí,,,346,
347,PersoCampos,615,No,,,347,
348,PersoCampos,616,Sí,,,348,
349,PersoCampos,616,No,,,349,
350,PersoCampos,617,Sí,,,350,
351,PersoCampos,617,No,,,351,
595,clientes,departamento,Hombre,False,,1,
596,clientes,departamento,Mujer,False,,2,
597,clientes,cargo,No,False,,3,
598,clientes,cargo,Si,False,,4,
599,clientes,origen,Clinica,False,,5,
600,clientes,origen,Domicilio,False,,6,
601,clientes,origen,Mixto,False,,7,
602,clientes,zona,Seguro,False,,8,
603,clientes,zona,Particular,False,,9,
604,clientes,zona,Convenio,False,,10,
605,clientes,zona,Mixto,False,,11,
