id,nombre,valor,valorstring
1,rutaPortadaCarnet,,
2,rutaContraPortadaCarnet,,
3,rutaLogoPassBook,,
4,previcliinumexp,1,
5,TiempoActualizarAgenda,1,
6,ColorSeleccionAgenda,16051844,
1006,AdjuntosWhatsappConfigPlantilla,0,
1007,iBusqDupContacto,0,
1008,simmonedaplan,0,
1009,horainiofic,28800,
1010,maxSizeCorreoAdjunto,1,
1011,iBusqDupCP,0,
1012,ValoracionPublicarPorDefectoAnonimoNoAutorizadas,1,
1013,mailcampo5expedientes,0,
1014,horafinofic,75600,
1015,ValoracionEnviarConfirmacion,0,
1016,ctrlhorariocuenta,0,
1017,ClavePublicaStripe,0,
1018,ClavePrivadaStripe,0,
1019,idiomasFormularios,0,
1020,HorasEnlaceStripe,48,
1021,ctasuplidos,0,
1022,codPredefAltaOportunidad,0,
1023,codPredefAltaServicio,0,
1024,NumDiasRecordatorioAccesoTrabajadores,30,
1025,codPredefCierreOportunidad,0,
1026,colorOportunidadesPasadas,16777215,
1027,codPredefCierreServicio,0,
1028,colorOportunidadesFuturas,16777215,
1029,indexenviarcorreooportunidad,0,
1030,AceptacionWhatsappConfigPlantilla,0,
1031,icodopecorreooportunidad,0,
1032,colorServiciosPasados,16777215,
1033,FirmarWebEnviarEmail,0,
1034,ilineacorreooportunidad,0,
1035,colorServiciosFuturos,16777215,
1036,indexenviarcorreotarea,0,
1037,icodopecorreotarea,0,
1038,ilineacorreotarea,0,
1039,AccesoWebTrabajadoresAuto,1,
1041,CuadrosMando22.8,1,
1042,CapturarAdjuntosBaseDatosRecomendacion,0,
1043,CapturarAdjuntosCriterioRecomendacion,0,
1044,CapturarAdjuntosSoloTareasAnho,,
1045,formatoFechasPlantillas,0,dd/MM/yyyy
1046,tipoImpresoraCobro,0,
1047,tiempoActuDefectoCorreo,600,
1050,DocumentoFormulariosClientes,1,278
1051,DocumentoFormulariosClientes,3,279
1056,contadoAEfectivo,1,
1057,CorreoRecordatorioTrab,0,
1058,TipoRectificacionAbono,,
1059,MotivoRectificacionFEAbono,,
1060,MNActualizacion_VersionBD,20250910,25.7.3.0
1061,procesadoPrevcobrosBancocliente,1,
1062,OperadoresCierreModulos,0,1
1063,plantillaWordBase,0,
1064,MNActuPlantillas,1,
1065,DesactivarTablaDireccion22.4,1,
1066,configsV24_7,1,
1067,Libros_Modelos_AEAT,1,
1068,ActivarControlHorario24.11,1,
1069,DesactivarConfGenTiposExp,1,
1070,DesactivarInformes25.03,1,
1071,ActivarEnvioFacturas25.03,1,
1072,minutosAvisoTiempoCor,5,
1073,MNActuEstadosCancelada,1,10/09/2025 9:47:39
1074,ocultarMunicipio,1,
