tipodocumento,descripcion,plantilla,fechaFTP,subidoFTP,id,itipo,theme,orientation,favorito,notas,recomendada,idMN
Abogados,datos generales del abogado.doc,abogados\datos generales del abogado.doc,,,96,,none,0,,,,
Bancos,datos generales del banco.doc,bancos\datos generales del banco.doc,,,97,,none,0,,,,
Clientes,1 caratula del cliente.doc,clientes\1 caratula del cliente.doc,,,133,,none,0,,,,
Clientes,1 datos generales del cliente.doc,clientes\1 datos generales del cliente.doc,,,132,,none,0,,,,
Clientes,1. Caratula del Cliente.doc,Clientes\1. Caratula del Cliente.doc,,,144,,none,0,,,,
Clientes,1.1 caratula del cliente.doc,clientes\informes\1.1 caratula del cliente.doc,,,204,,none,0,,,,
Clientes,1.1 caratula del paciente.doc,clientes\informes\1.1 caratula del paciente.doc,,,243,,none,0,,,,
Clientes,1.1 presupuesto (vs20.12).doc,Clientes\Oportunidades\1.1 presupuesto (vs20.12).doc,,,295,,none,0,,,True,6561CBED-EC8A-4598-955C-FB729AC853EB
Clientes,2.1 datos generales del cliente.doc,clientes\2.1 datos generales del cliente.doc,,,134,,none,0,,,,
Clientes,2.1 datos generales del cliente.doc,clientes\informes\2.1 datos generales del cliente.doc,,,205,,none,0,,,,
Clientes,2.1 datos generales del paciente.doc,clientes\informes\2.1 datos generales del paciente.doc,,,244,,none,0,,,,
Clientes,2.1. DATOS Generales del Cliente.doc,Clientes\2.1. DATOS Generales del Cliente.doc,,,145,,none,0,,,,
Clientes,2.2 datos del cliente y notas.doc,clientes\2.2 datos del cliente y notas.doc,,,135,,none,0,,,,
Clientes,2.2 datos generales del cliente con notas.doc,clientes\informes\2.2 datos generales del cliente con notas.doc,,,206,,none,0,,,,
Clientes,2.2 datos generales del paciente con notas.doc,clientes\informes\2.2 datos generales del paciente con notas.doc,,,245,,none,0,,,,
Clientes,2.2. DATOS Sociales del Cliente.doc,Clientes\2.2. DATOS Sociales del Cliente.doc,,,146,,none,0,,,,
Clientes,2.3 adjuntos del cliente.doc,clientes\2.3 adjuntos del cliente.doc,,,136,,none,0,,,,
Clientes,2.3 adjuntos del cliente.doc,clientes\informes\2.3 adjuntos del cliente.doc,,,232,,none,0,,,,
Clientes,2.3 adjuntos del paciente.doc,clientes\informes\2.3 adjuntos del paciente.doc,,,246,,none,0,,,,
Clientes,2.3. DATOS Fiscales del Cliente.doc,Clientes\2.3. DATOS Fiscales del Cliente.doc,,,147,,none,0,,,,
Clientes,2.4 facturacion del cliente por servicios.doc,clientes\informes\2.4 facturacion del cliente por servicios.doc,,,233,,none,0,,,,
Clientes,2.4 facturacion del paciente por servicios.doc,clientes\informes\2.4 facturacion del paciente por servicios.doc,,,247,,none,0,,,,
Clientes,2.4. ADJUNTOS del Cliente.doc,Clientes\2.4. ADJUNTOS del Cliente.doc,,,148,,none,0,,,,
Clientes,2.5 adjuntos del cliente.doc,clientes\informes\2.5 adjuntos del cliente.doc,,,209,,none,0,,,,
Clientes,2.5 FACTURACION del Cliente por Servicios.doc,Clientes\2.5 FACTURACION del Cliente por Servicios.doc,,,143,,none,0,,,,
Clientes,2.5 FACTURACION del Cliente por Servicios.doc,Clientes\2.5 FACTURACION del Cliente por Servicios.doc,,,149,,,,,,,
Clientes,2.6 facturacion del cliente por servicios.doc,clientes\informes\2.6 facturacion del cliente por servicios.doc,,,210,,none,0,,,,
