numcta,descripcion,nif,numerolargo,domicilio,poblacion,provincia,codpostal,nacionalidad,telefono1,telefono2,telefono3,fax,movil,email,pagweb,cuentabanco,notas,idiva,claseiva,recargo,igic,idirpf,tipoirpf,IBAN,idmotivoexento,idmotivonoexento,EsServicio,EsBC,EsBI,EsExento,EsNoExento,vigente,pais,idmotivonosujeto,EsNoSujeto,cuentaregul,area,IPSI
1000000000,Capital social,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1010000000,Fondo social,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1020000000,Capital,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
103,Socios por desembolsos no exigidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1030000000,"Socios por desembolsos no exigidos, capital social",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1034000000,"Socios por desembolsos no exigidos, capital pendiente de inscripción",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
104,Socios por aportaciones no dinerarias pendientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1040000000,"Socios por aportaciones no dinerarias pendientes, capital social",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1044000000,"Socios por aportaciones no dinerarias pendientes, capital pendiente de inscripción",,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1080000000,Acciones o participaciones propias en situaciones especiales,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1090000000,Acciones o participaciones propias para reducción de capital,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1100000000,Prima de emisión o asunción,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
111,Otros instrumentos de patrimonio neto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1110000000,Patrimonio neto por emisión de instrumentos financieros compuestos,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1111000000,Resto de instrumentos de patrimonio neto,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1120000000,Reserva legal,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1130000000,Reservas voluntarias,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
114,Reservas especiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
