idCampo,codigo,valor,codigo2,id
623,7,Sí,,1
624,7,No,,2
623,8,Sí,,3
624,8,No,,4
622,9,Trabajo en fabrica,,5
623,9,No,,6
624,9,No,,7
622,10,Funcionaria,,8
623,10,No,,9
624,10,No,,10
623,11,Sí,,11
624,11,No,,12
622,12,Cadena de montaje,,13
623,12,No,,14
624,12,No,,15
622,13,Contable,,16
623,13,No,,17
624,13,No,,18
622,14,Asistente de hogar,,19
623,14,No,,20
624,14,No,,21
623,15,Sí,,22
624,15,No,,23
622,16,Florista Jubilada,,24
623,16,No,,25
624,16,No,,26
623,17,Sí,,27
624,17,No,,28
623,18,No,,29
624,18,No,,30
623,19,No,,31
624,19,No,,32
623,20,No,,33
624,20,No,,34
623,21,No,,35
624,21,No,,36
623,22,No,,37
624,22,No,,38
623,23,No,,39
624,23,No,,40
622,24,Pintor y agricultor,,41
623,24,No,,42
624,24,No,,43
622,25,ama de casa,,44
623,25,Sí,,45
624,25,No,,46
622,26,obrero,,47
623,26,Sí,,48
624,26,No,,49
622,27,ingeniero,,50
623,27,Sí,,51
624,27,No,,52
622,28,Administrativo,,53
623,28,Sí,,54
624,28,No,,55
622,29,Almacén de mercadona,,56
623,29,Sí,,57
624,29,No,,58
622,30,Técnico ferroviario,,59
623,30,No,,60
624,30,No,,61
622,31,administrativa,,62
623,31,No,,63
624,31,No,,64
623,32,Sí,,65
624,32,No,,66
622,33,Sindicalista,,67
623,33,Sí,,68
624,33,No,,69
623,34,Sí,,70
624,34,No,,71
623,35,Sí,,72
624,35,No,,73
623,36,Sí,,74
624,36,No,,75
623,37,Sí,,76
624,37,No,,77
622,38,jubilado,,78
623,38,Sí,,79
624,38,No,,80
623,39,Sí,,81
624,39,No,,82
623,40,Sí,,83
624,40,No,,84
623,41,Sí,,85
624,41,No,,86
623,42,Sí,,87
624,42,No,,88
622,43,hostelería,,89
623,43,No,,90
624,43,No,,91
622,44,Farmacia,,92
623,44,No,,93
624,44,No,,94
622,45,Funcionaria,,95
623,45,Sí,,96
624,45,No,,97
623,46,Sí,,98
624,46,No,,99
623,47,Sí,,100
624,47,No,,101
622,48,Jubilado,,102
623,48,Sí,,103
624,48,No,,104
623,49,Sí,,105
624,49,No,,106
622,50,Jubilada,,107
623,50,Sí,,108
624,50,No,,109
623,51,Sí,,110
624,51,No,,111
622,52,Administrativa,,112
623,52,Sí,,113
624,52,No,,114
623,53,Sí,,115
624,53,No,,116
623,54,Sí,,117
624,54,No,,118
623,55,Sí,,119
624,55,No,,120
623,56,Sí,,121
624,56,No,,122
623,57,No,,123
624,57,No,,124
622,58,Industrial,,125
623,58,Sí,,126
624,58,No,,127
623,59,Sí,,128
624,59,No,,129
623,60,Sí,,130
624,60,No,,131
622,61,Maestra,,132
623,61,No,,133
624,61,No,,134
622,62,Técnico de laboratorio,,135
623,62,Sí,,136
624,62,No,,137
623,63,Sí,,138
624,63,No,,139
622,64,informatico,,140
623,64,No,,141
624,64,No,,142
623,65,Sí,,143
624,65,No,,144
623,66,Sí,,145
624,66,No,,146
622,67,Jubilado (Gerente imprenta),,147
623,67,No,,148
624,67,No,,149
622,68,Peluquera,,150
623,68,No,,151
624,68,No,,152
622,69,Jubilada,,153
623,69,No,,154
624,69,No,,155
622,70,funcionario,,156
623,70,No,,157
624,70,No,,158
622,71,Recepcionista,,159
623,71,No,,160
624,71,No,,161
622,72,Estudiante,,162
623,72,Sí,,163
624,72,No,,164
622,73,Electricista,,165
623,73,Sí,,166
624,73,No,,167
622,74,agricultor,,168
623,74,Sí,,169
624,74,No,,170
622,75,Limpiadora,,171
623,75,No,,172
624,75,No,,173
623,76,Sí,,174
624,76,No,,175
623,77,Sí,,176
624,77,No,,177
623,78,Sí,,178
624,78,No,,179
622,79,Electricista,,180
623,79,Sí,,181
624,79,No,,182
623,80,Sí,,183
624,80,No,,184
