id,nombre,valor,modulo
1,plantillaCaratulaLexnet,0,0
2,comunicwhatsapp,0,0
3,prevcobros,0,0
4,ticketCobro,0,0
5,ticketCita,0,0
6,matricula,0,0
7,diplomaAlumno,0,0
8,notifausencia,0,0
9,plantillaCtrlAsistencia,0,0
10,plantillaCalificacion,0,0
11,plantillaCalificacionAlumno,0,0
12,actuCliCorreo,0,0
13,actuExpCorreo,0,0
14,plantillaCorreoCtrHoras,0,0
15,comuniccorreonuevo,0,0
16,comuniccarta,0,0
17,comunicfax,0,0
18,PlantillaPrevcobros,276,0
19,plantillacorreocobroauto,0,0
1002,plantillaTarea,0,0
1003,plantillaCompras,0,0
1004,comunicagenda,0,0
1005,1:plantillaCorreoFormulariosClientes,0,0
1006,3:plantillaCorreoFormulariosClientes,0,0
1007,4:plantillaCorreoFormulariosClientes,0,0
1008,5:plantillaCorreoFormulariosClientes,0,0
1009,6:plantillaCorreoFormulariosClientes,0,0
1010,7:plantillaCorreoFormulariosClientes,0,0
1011,plantillaOportunidad,0,0
1012,2:plantillaCorreoCitaCanceladaOnline,0,0
1013,2:plantillaCorreoCitaAdelantadaOnline,0,0
1014,plantillaEnvioAutoAccesoTrabajadores,8,0
1015,plantillaWordHistoriaClinica,0,0
1016,plantillaEnvioAutoAccesoClientes,200000062,0
1017,plantillaRecordaCitaAgendaWhatsapp,0,0
1018,plantillaRecordaCitaAgendaCorreo,0,0
