codinforme,informe,archivo
1,FIC_CORREO_ELECTRONICO.QR2,FIC_CORREO_ELECTRONICO.QR2
1,FIC_DIRECCION_COMPLETA.QR2,FIC_DIRECCION_COMPLETA.QR2
1,LISTADO_BASICO.QR2,FIC_LISTADO_BASICO.QR2
2,ACTUACIONES_VERTICAL.QR2,EXP_ACTUACIONES_VERTICAL.QR2
2,EXP_ACTUACIONES_HORIZONTAL.QR2,EXP_ACTUACIONES_HORIZONTAL.QR2
2,LISTADO_BASICO.QR2,EXP_LISTADO_BASICO.QR2
2,ULTIMA_ACTUACION.QR2,EXP_ULTIMA_ACTUACION.QR2
3,ACTUACIONES_VERTICAL.QR2,EXPH_ACTUACIONES_VERTICAL.QR2
3,LISTADO_BASICO.QR2,EXPH_LISTADO_BASICO.QR2
3,ULTIMA_ACTUACION.QR2,EXPH_ULTIMA_ACTUACION.QR2
4,ACTUACIONES_VERTICAL.QR2,EXT_ACTUACIONES_VERTICAL.QR2
4,LISTADO_BASICO.QR2,EXT_LISTADO_BASICO.QR2
4,ULTIMA_ACTUACION.QR2,EXT_ULTIMA_ACTUACION.QR2
5,ACTUACIONES_VERTICAL.QR2,EXTH_ACTUACIONES_VERTICAL.QR2
5,LISTADO_BASICO.QR2,EXTH_LISTADO_BASICO.QR2
5,ULTIMA_ACTUACION.QR2,EXTH_ULTIMA_ACTUACION.QR2
6,LISTADO_BASICO.QR2,OFI_LISTADO_BASICO.QR2
6,LISTADO_COBROS.QR2,OFI_LISTADO_COBROS.QR2
6,LISTADO_DETALLE.QR2,OFI_LISTADO_DETALLE.QR2
7,PRO_LISTADO_BASICO.QR2,PRO_LISTADO_BASICO.QR2
7,PRO_LISTADO_DETALLE.QR2,PRO_LISTADO_DETALLE.QR2
7,PROFORMAS.QR2,PROFORMAS.QR2
8,ACTUACIONES_VERTICAL.QR2,VAR_ACTUACIONES_VERTICAL.QR2
8,LISTADO_BASICO.QR2,VAR_LISTADO_BASICO.QR2
8,ULTIMA_ACTUACION.QR2,VAR_ULTIMA_ACTUACION.QR2
9,CONTROL_TIEMPOS_COMPARATIVO.QR,CONTROL_TIEMPOS_COMPARATIVO.QR2
9,CONTROL_TIEMPOS_EMPRESA.QR2,CONTROL_TIEMPOS_EMPRESA.QR2
