codproce,indice,procedimiento,orden,codigoProcedi,idLexnet,adaptadoTest,descripcionLexnet
1,0,Proceso de Selección,0,,,,
2,0,Reingeniería de Procesos,0,,,,
3,0,Diagnóstico TIC,0,,,,
5,0,Auditoría de Proceso Comercial,0,,,,
6,0,Estudio de Viabilidad,0,,,,
7,0,Auditoría de Marca,0,,,,
8,0,Implantación ISO 9000,0,,,,
9,0,Salida a Bolsa,0,,,,
201,1,Servicio de Coaching,0,,,,
202,1,Asesoramiento en RRHH,0,,,,
203,1,Asesoramiento en Marketing,0,,,,
204,1,Asesoramiento en Ventas,0,,,,
205,1,Asesoramiento en Gestión de Calidad,0,,,,
206,1,Asesoramiento Integral,0,,,,
301,2,Problemas con el Servicio,0,,,,
302,2,Problemas de Importe Incorrecto en Factura,0,,,,
303,2,Reclamación por largos tiempos de espera,0,,,,
304,2,Incumplimiento de plazos,0,,,,
305,2,Atención despersonalizada,0,,,,
306,2,Reclamación por trato descortés,0,,,,
307,2,Problema pendiente de solucionar,0,,,,
501,4,"Modelos de Documentos, Correos e Informes",0,,,,
502,4,Procedimientos,0,,,,
503,4,Bibliografía,0,,,,
504,4,Informes,0,,,,
505,4,Reuniones,0,,,,
