idiva,descripcion,iva,recequ,vigente,predeterminada
0,TIPO IVA 0,0.0,0.0,True,
1,TIPO IVA 1,16.0,4.0,True,
2,TIPO IVA 2,7.0,1.0,True,
3,TIPO IVA 3,4.0,0.5,True,
4,TIPO IGIC 1,13.0,0.0,True,
5,TIPO IGIC 2,5.0,0.0,True,
6,TIPO IGIC 3,2.0,0.0,True,
7,TIPO IVA 4,18.0,4.0,True,
8,TIPO IVA 5,8.0,1.0,True,
9,TIPO IVA 6,21.0,4.0,True,
10,TIPO IVA 7,10.0,1.0,True,
17,TIPO IVA AL 21%,21.0,0.0,True,
18,TIPO IVA AL 10%,10.0,0.0,True,
19,TIPO IVA AL 4%,4.0,0.0,True,
20,TIPO IVA AL 7%,7.0,0.0,True,
21,TIPO IVA AL 3%,3.0,0.0,True,
