icodcli,linea,descripcion,acciones,valorAcc,prima,tipo,fecha,documento,numeracion,notario
7,0,,460,0.0,0.0,Compra,2019-02-26 09:27:15.630000,,,
7,1,,460,0.0,0.0,Compra,2019-02-26 09:27:15.630000,,,
7,2,,460,0.0,0.0,Compra,2019-02-26 09:27:15.630000,,,
7,3,,460,0.0,0.0,Compra,2019-02-26 09:27:15.630000,,,
7,4,,460,0.0,0.0,Compra,2019-02-26 09:27:15.630000,,,
8,0,,250,0.0,0.0,Compra,2019-02-26 09:27:15.630000,,,
8,1,,250,0.0,0.0,Compra,2019-02-26 09:27:15.630000,,,
8,2,,250,0.0,0.0,Compra,2019-02-26 09:27:15.630000,,,
8,3,,250,0.0,0.0,Compra,2019-02-26 09:27:15.630000,,,
9,0,,1600,0.0,0.0,Compra,2019-02-26 09:27:15.630000,,,
