dn,nombre,tipoSujeto,esDestino,apellido1,apellido2,email,codigoColegiado,nif,codigo,subtipo,partidoJudicial,numeroOrgano,dnColectivo,activo,codigoConsejo,comunidad,provincia
101059,Ilustre Colegio de Procuradores de Álava,0,0,,,,,,,procuradores,01059,,101059,0,P01059,,01
102003,Ilustre Colegio de Procuradores de Albacete,0,0,,,,,,,procuradores,02003,,102003,0,P02003,,02
103014,Ilustre Colegio de Procuradores de Alicante,0,0,,,,,,,procuradores,03014,,103014,0,P03014,,03
103065,Ilustre Colegio de Procuradores de Elche,0,0,,,,,,,procuradores,03065,,103065,0,P03065,,03
104013,Ilustre Colegio de Procuradores de Almería,0,0,,,,,,,procuradores,04013,,104013,0,P04013,,04
105019,Ilustre Colegio de Procuradores de Ávila,0,0,,,,,,,procuradores,05019,,105019,0,P05019,,05
106015,Ilustre Colegio de Procuradores de Badajoz,0,0,,,,,,,procuradores,06015,,106015,0,P06015,,06
107040,Ilustre Colegio de Procuradores de Baleares,0,0,,,,,,,procuradores,07040,,107040,0,P07040,,07
108019,Ilustre Colegio de Procuradores de Barcelona,0,0,,,,,,,procuradores,08019,,108019,0,P08019,,08
108113,Ilustre Colegio de Procuradores de Manresa,0,0,,,,,,,procuradores,08113,,108113,0,P08113,,08
108121,Ilustre Colegio de Procuradores de Mataró,0,0,,,,,,,procuradores,08121,,108121,0,P08121,,08
108279,Ilustre Colegio de Procuradores de Terrassa,0,0,,,,,,,procuradores,08279,,108279,0,P08279,,08
109059,Ilustre Colegio de Procuradores de Burgos,0,0,,,,,,,procuradores,09059,,109059,0,P09059,,09
110037,Ilustre Colegio de Procuradores de Cáceres,0,0,,,,,,,procuradores,10037,,110037,0,P10037,,10
111012,Ilustre Colegio de Procuradores de Cádiz,0,0,,,,,,,procuradores,11012,,111012,0,P11012,,11
111020,Ilustre Colegio de Procuradores de Jerez de la Frontera,0,0,,,,,,,procuradores,11020,,111020,0,P11020,,11
112040,Ilustre Colegio de Procuradores de Castellón,0,0,,,,,,,procuradores,12040,,112040,0,P12040,,12
113034,Ilustre Colegio de Procuradores de Ciudad Real,0,0,,,,,,,procuradores,13034,,113034,0,P13034,,13
113087,Ilustre Colegio de Procuradores de Valdepeñas,0,0,,,,,,,procuradores,13087,,113087,0,P13087,,13
114021,Ilustre Colegio de Procuradores de Córdoba,0,0,,,,,,,procuradores,14021,,114021,0,P14021,,14
115030,Ilustre Colegio de Procuradores de La Coruña,0,0,,,,,,,procuradores,15030,,115030,0,P15030,,15
115078,Ilustre Colegio de Procuradores de Santiago de Compostela,0,0,,,,,,,procuradores,15078,,115078,0,P15078,,15
116078,Ilustre Colegio de Procuradores de Cuenca,0,0,,,,,,,procuradores,16078,,116078,0,P16078,,16
117079,Ilustre Colegio de Procuradores de Girona,0,0,,,,,,,procuradores,17079,,117079,0,P17079,,17
118087,Ilustre Colegio de Procuradores de Granada,0,0,,,,,,,procuradores,18087,,118087,0,P18087,,18
119130,Ilustre Colegio de Procuradores de Guadalajara,0,0,,,,,,,procuradores,19130,,119130,0,P19130,,19
120069,Ilustre Colegio de Procuradores de Gipuzkoa,0,0,,,,,,,procuradores,20069,,120069,0,P20069,,20
121041,Ilustre Colegio de Procuradores de Huelva,0,0,,,,,,,procuradores,21041,,121041,0,P21041,,21
122125,Ilustre Colegio de Procuradores de Huesca,0,0,,,,,,,procuradores,22125,,122125,0,P22125,,22
123050,Ilustre Colegio de Procuradores de Jaén,0,0,,,,,,,procuradores,23050,,123050,0,P23050,,23
124089,Ilustre Colegio de Procuradores de León,0,0,,,,,,,procuradores,24089,,124089,0,P24089,,24
125120,Ilustre Colegio de Procuradores de Lleida,0,0,,,,,,,procuradores,25120,,125120,0,P25120,,25
126089,Ilustre Colegio de Procuradores de La Rioja,0,0,,,,,,,procuradores,26089,,126089,0,P26089,,26
127028,Ilustre Colegio de Procuradores de Lugo,0,0,,,,,,,procuradores,27028,,127028,0,P27028,,27
128079,Ilustre Colegio de Procuradores de Madrid,0,0,,,,,,,procuradores,28079,,128079,0,P28079,,28
129015,Ilustre Colegio de Procuradores de Antequera,0,0,,,,,,,procuradores,29015,,129015,0,P29015,,29
129067,Ilustre Colegio de Procuradores de Málaga,0,0,,,,,,,procuradores,29067,,129067,0,P29067,,29
130016,Ilustre Colegio de Procuradores de Cartagena,0,0,,,,,,,procuradores,30016,,130016,0,P30016,,30
130024,Ilustre Colegio de Procuradores de Lorca,0,0,,,,,,,procuradores,30024,,130024,0,P30024,,30
130030,Ilustre Colegio de Procuradores de Murcia,0,0,,,,,,,procuradores,30030,,130030,0,P30030,,30
130043,Ilustre Colegio de Procuradores de Yecla,0,0,,,,,,,procuradores,30043,,130043,0,P30043,,30
131201,Ilustre Colegio de Procuradores de Navarra,0,0,,,,,,,procuradores,31201,,131201,0,P31201,,31
132054,Ilustre Colegio de Procuradores de Orense,0,0,,,,,,,procuradores,32054,,132054,0,P32054,,32
133024,Ilustre Colegio de Procuradores de Gijón,0,0,,,,,,,procuradores,33024,,133024,0,P33024,,33
133044,Ilustre Colegio de Procuradores de Oviedo,0,0,,,,,,,procuradores,33044,,133044,0,P33044,,33
134120,Ilustre Colegio de Procuradores de Palencia,0,0,,,,,,,procuradores,34120,,134120,0,P34120,,34
135016,Ilustre Colegio de Procuradores de Las Palmas,0,0,,,,,,,procuradores,35016,,135016,0,P35016,,35
136038,Ilustre Colegio de Procuradores de Pontevedra,0,0,,,,,,,procuradores,36038,,136038,0,P36038,,36
136057,Ilustre Colegio de Procuradores de Vigo,0,0,,,,,,,procuradores,36057,,136057,0,P36057,,36
137274,Ilustre Colegio de Procuradores de Salamanca,0,0,,,,,,,procuradores,37274,,137274,0,P37274,,37
138038,Ilustre Colegio de Procuradores de Tenerife,0,0,,,,,,,procuradores,38038,,138038,0,P38038,,38
139075,Ilustre Colegio de Procuradores de Cantabria,0,0,,,,,,,procuradores,39075,,139075,0,P39075,,39
140194,Ilustre Colegio de Procuradores de Segovia,0,0,,,,,,,procuradores,40194,,140194,0,P40194,,40
141091,Ilustre Colegio de Procuradores de Sevilla,0,0,,,,,,,procuradores,41091,,141091,0,P41091,,41
142173,Ilustre Colegio de Procuradores de Soria,0,0,,,,,,,procuradores,42173,,142173,0,P42173,,42
143123,Ilustre Colegio de Procuradores de Reus,0,0,,,,,,,procuradores,43123,,143123,0,P43123,,43
143148,Ilustre Colegio de Procuradores de Tarragona,0,0,,,,,,,procuradores,43148,,143148,0,P43148,,43
143155,Ilustre Colegio de Procuradores de Tortosa,0,0,,,,,,,procuradores,43155,,143155,0,P43155,,43
144216,Ilustre Colegio de Procuradores de Teruel,0,0,,,,,,,procuradores,44216,,144216,0,P44216,,44
145168,Ilustre Colegio de Procuradores de Toledo,0,0,,,,,,,procuradores,45168,,145168,0,P45168,,45
146250,Ilustre Colegio de Procuradores de Valencia,0,0,,,,,,,procuradores,46250,,146250,0,P46250,,46
147186,Ilustre Colegio de Procuradores de Valladolid,0,0,,,,,,,procuradores,47186,,147186,0,P47186,,47
148020,Ilustre Colegio de Procuradores de Bizkaia,0,0,,,,,,,procuradores,48020,,148020,0,P48020,,48
149275,Ilustre Colegio de Procuradores de Zamora,0,0,,,,,,,procuradores,49275,,149275,0,P49275,,49
150297,Ilustre Colegio de Procuradores de Zaragoza,0,0,,,,,,,procuradores,50297,,150297,0,P50297,,50
151001,Ilustre Colegio de Procuradores de Ceuta,0,0,,,,,,,procuradores,51001,,151001,0,P51001,,51
152001,Ilustre Colegio de Procuradores de Melilla,0,0,,,,,,,procuradores,52001,,152001,0,P52001,,52
201059,Ilustre Colegio de Abogados de Álava,0,0,,,,,,,abogados,01059,,201059,0,A01059,,01
202003,Ilustre Colegio de Abogados de Albacete,0,0,,,,,,,abogados,02003,,202003,0,A02003,,02
203009,Ilustre Colegio de Abogados de Alcoy,0,0,,,,,,,abogados,03009,,203009,0,A03009,,03
203014,Ilustre Colegio de Abogados de Alicante,0,0,,,,,,,abogados,03014,,203014,0,A03014,,03
203065,Ilustre Colegio de Abogados de Elche,0,0,,,,,,,abogados,03065,,203065,0,A03065,,03
203099,Ilustre Colegio de Abogados de Orihuela,0,0,,,,,,,abogados,03099,,203099,0,A03099,,03
204013,Ilustre Colegio de Abogados de Almería,0,0,,,,,,,abogados,04013,,204013,0,A04013,,04
205019,Ilustre Colegio de Abogados de Ávila,0,0,,,,,,,abogados,05019,,205019,0,A05019,,05
206015,Ilustre Colegio de Abogados de Badajoz,0,0,,,,,,,abogados,06015,,206015,0,A06015,,06
207040,Ilustre Colegio de Abogados de Illes Balears,0,0,,,,,,,abogados,07040,,207040,0,A07040,,07
208019,Ilustre Colegio de Abogados de Barcelona,0,0,,,,,,,abogados,08019,,208019,0,A08019,,08
208096,Ilustre Colegio de Abogados de Granollers,0,0,,,,,,,abogados,08096,,208096,0,A08096,,08
208113,Ilustre Colegio de Abogados de Manresa,0,0,,,,,,,abogados,08113,,208113,0,A08113,,08
208121,Ilustre Colegio de Abogados de Mataró,0,0,,,,,,,abogados,08121,,208121,0,A08121,,08
208187,Ilustre Colegio de Abogados de Sabadell,0,0,,,,,,,abogados,08187,,208187,0,A08187,,08
208211,Ilustre Colegio de Abogados de Sant Feliu de Llobregat,0,0,,,,,,,abogados,08211,,208211,0,A08211,,08
208279,Ilustre Colegio de Abogados de Terrassa,0,0,,,,,,,abogados,08279,,208279,0,A08279,,08
208298,Ilustre Colegio de Abogados de Vic,0,0,,,,,,,abogados,08298,,208298,0,A08298,,08
209059,Ilustre Colegio de Abogados de Burgos,0,0,,,,,,,abogados,09059,,209059,0,A09059,,09
210037,Ilustre Colegio de Abogados de Cáceres,0,0,,,,,,,abogados,10037,,210037,0,A10037,,10
211012,Ilustre Colegio de Abogados de Cádiz,0,0,,,,,,,abogados,11012,,211012,0,A11012,,11
211020,Ilustre Colegio de Abogados de Jerez de la Frontera,0,0,,,,,,,abogados,11020,,211020,0,A11020,,11
212040,Ilustre Colegio de Abogados de Castellón,0,0,,,,,,,abogados,12040,,212040,0,A12040,,12
213034,Ilustre Colegio de Abogados de Ciudad Real,0,0,,,,,,,abogados,13034,,213034,0,A13034,,13
214021,Ilustre Colegio de Abogados de Córdoba,0,0,,,,,,,abogados,14021,,214021,0,A14021,,14
214038,Ilustre Colegio de Abogados de Lucena,0,0,,,,,,,abogados,14038,,214038,0,A14038,,14
215030,Ilustre Colegio de Abogados de A Coruña,0,0,,,,,,,abogados,15030,,215030,0,A15030,,15
215036,Ilustre Colegio de Abogados del Ferrol,0,0,,,,,,,abogados,15036,,215036,0,A15036,,15
