Codigo,fecha,linea,imagen,descripcion,fechaftp,subidoftp,ubicacion,principal
1,2007-06-20 00:00:00,1,1234 EAT\Per4(1)1.jpg,SEAT LEON 01,2007-06-20 13:43:08,,,1
1,2007-06-20 00:00:00,2,1234 EAT\Per4(1)2.jpg,SEAT LEON 02,2007-06-20 13:43:12,,,0
2,2007-06-20 00:00:00,1,4567 AU3\Per4(2)1.jpg,AUDI A3 01,2007-06-20 13:46:41,,,1
2,2007-06-20 00:00:00,2,4567 AU3\Per4(2)2.jpg,AUDI A3 02,2007-06-20 13:46:44,,,0
3,2007-06-20 00:00:00,1,7894 PGT\Per4(3)1.jpg,PEUGEOT 307 01,2007-06-20 13:49:14,,,1
3,2007-06-20 00:00:00,2,7894 PGT\Per4(3)2.jpg,PEUGEOT 307 02,2007-06-20 13:49:18,,,0
4,2007-06-20 00:00:00,1,1475 MZD\Per4(4)1.jpg,MERCEDES SPORT 01,2007-06-20 13:51:54,,,1
4,2007-06-20 00:00:00,2,1475 MZD\Per4(4)2.jpg,MERCEDES SPORT 02,2007-06-20 13:51:58,,,0
5,2007-06-20 00:00:00,1,9875 RLT\Per4(5)1.jpg,RENAULT MEGANE 01.jpg,2007-06-20 13:54:51,,,1
5,2007-06-20 00:00:00,2,9875 RLT\Per4(5)2.jpg,RENAULT MEGANE 02.jpg,2007-06-20 13:54:54,,,0
