id,areaprofesional,codigo
1,ADMINISTRACIÓN Y AUDITORÍA,ADGD
2,GESTIÓN DE LA INFORMACIÓN Y COMUNICACIÓN,ADGG
3,FINANZAS Y SEGUROS,ADGN
4,ACTIVIDADES FÍSICO DEPORTIVAS RECREATIVAS,AFDA
5,PREVENCIÓN Y RECUPERACION,AFDP
6,JARDINERÍA,AGAJ
7,GANADERÍA,AGAN
8,FORESTAL,AGAR
9,AGRICULTURA,AGAU
10,ACTIVIDADES Y TÉCNICAS GRÁFICAS ARTÍSTICAS,ARGA
11,ENCUADERNACIÓN INDUSTRIAL,ARGC
12,DISEÑO GRÁFICO Y MULTIMEDIA,ARGG
13,IMPRESIÓN,ARGI
14,EDICIÓN,ARGN
15,PREIMPRESIÓN,ARGP
16,TRANSFORMACION Y CONVERSIÓN EN INDUSTRIAS GRÁFICAS,ARGT
17,ARTESANÍA TRADICIONAL,ARTA
18,JOYERÍA Y ORFEBRERÍA,ARTB
19,FABRICACIÓN Y MANTENIMIENTO DE INSTRUMENTOS MUSICALES,ARTG
20,VIDRIO Y CERÁMICA ARTESANAL,ARTN
21,"RECUPERACIÓN, REPARACIÓN Y MANTENIMIENTO ARTÍSTICOS",ARTR
22,ARTES ESCÉNICAS,ARTU
23,LOGÍSTICA COMERCIAL Y GESTIÓN DEL TRANSPORTE,COML
24,MARKETING Y RELACIONES PÚBLICAS,COMM
25,COMPRAVENTA,COMT
26,INSTALACIONES ELÉCTRICAS,ELEE
27,EQUIPOS ELECTRÓNICOS,ELEQ
28,AGUA,ENAA
29,ENERGÍAS RENOVABLES,ENAE
30,ENERGÍA ELÉCTRICA,ENAL
31,GAS,ENAS
32,ALBAÑILERÍA Y ACABADOS,EOCB
33,ESTRUCTURAS,EOCE
34,COLOCACIÓN Y MONTAJE,EOCJ
35,PROYECTOS Y SEGUIMIENTO DE OBRAS,EOCO
36,MAQUINARIA DE CONSTRUCCIÓN,EOCQ
37,ASPECTOS MEDIOAMBIENTALES,FCOA
38,LENGUAS EXTRANJERAS,FCOE
39,Informática complementaria,FCOI
40,LENGUAS Y DIALECTOS ESPAÑOLES,FCOL
41,Manipulación alimentaria,FCOM
42,Orientación laboral,FCOO
43,Seguridad y salud laboral,FCOS
44,COMPETENCIAS CLAVE,FCOV
45,CONSTRUCCIONES METÁLICAS,FMEC
46,FUNDICIÓN,FMEF
47,OPERACIONES MECÁNICAS,FMEH
48,PRODUCCIÓN MECÁNICA,FMEM
49,ALOJAMIENTO,HOTA
50,JUEGOS DE AZAR,HOTJ
51,RESTAURACIÓN,HOTR
52,TURISMO,HOTT
53,AGROTURISMO,HOTU
54,PIEDRA NATURAL,IEXD
55,MINERÍA,IEXM
56,DESARROLLO,IFCD
57,COMUNICACIONES,IFCM
58,SISTEMAS Y TELEMÁTICA,IFCT
59,MONTAJE Y MANTENIMIENTO DE INSTALACIONES,IMAI
60,MAQUINARIA Y EQUIPO INDUSTRIAL,IMAQ
61,FRÍO Y CLIMATIZACIÓN,IMAR
62,ESTÉTICA,IMPE
63,PELUQUERÍA,IMPQ
64,ESPECTACULOS EN VIVO,IMSE
65,PRODUCCIONES FOTOGRÁFICAS,IMST
66,PRODUCCIÓN AUDIOVISUAL,IMSV
67,ALIMENTOS DIVERSOS,INAD
68,LÁCTEOS,INAE
69,"PANADERÍA, PASTELERÍA, CONFITERÍA Y MOLINERÍA",INAF
70,BEBIDAS,INAH
71,CÁRNICAS,INAI
72,PRODUCTOS DE LA PESCA,INAJ
73,ACEITES Y GRASAS,INAK
74,CONSERVAS VEGETALES,INAV
75,TRANSFORMACIÓN MADERA Y CORCHO,MAMA
76,INSTALACIÓN Y AMUEBLAMIENTO,MAMB
77,PRODUCCION CARPINTERÍA Y MUEBLE,MAMD
78,BUCEO,MAPB
79,PESCA Y NAVEGACION,MAPN
80,ACUICULTURA,MAPU
81,ANÁLISIS Y CONTROL,QUIA
82,PROCESO QUÍMICO,QUIE
83,FARMAQUÍMICA,QUIM
84,"PASTA, PAPEL Y CARTÓN",QUIO
85,TRANSFORMACIÓN DE POLÍMEROS,QUIT
86,SERVICIOS Y PRODUCTOS SANITARIOS,SANP
87,SOPORTE Y AYUDA AL DIAGNÓSTICO,SANS
88,ATENCIÓN SANITARIA,SANT
89,SEGURIDAD Y PREVENCIÓN,SEAD
90,GESTIÓN AMBIENTAL,SEAG
91,ACTIVIDADES CULTURALES Y RECREATIVAS,SSCB
92,FORMACIÓN Y EDUCACIÓN,SSCE
93,ATENCIÓN SOCIAL,SSCG
94,SERVICIOS AL CONSUMIDOR,SSCI
95,CALZADO,TCPC
96,CONFECCIÓN EN TEXTIL Y PIEL,TCPF
97,ENNOBLECIMIENTO DE MATERIAS TEXTILES Y PIELES,TCPN
98,PRODUCCIÓN DE HILOS Y TEJIDOS,TCPP
99,FERROCARRIL Y CABLE,TMVB
100,ELECTROMECÁNICA DE VEHÍCULOS,TMVG
101,CONDUCCION DE VEHÍCULOS POR CARRETERA,TMVI
102,CARROCERÍA DE VEHÍCULOS,TMVL
103,AERONÁUTICA,TMVO
104,NÁUTICA,TMVU
105,FABRICACIÓN CERÁMICA,VICF
106,VIDRIO INDUSTRIAL,VICI
