id,formname,dbgridname,camponame,bocultar,tablaetiexcel,bestaendiseno
1,formclipral,dbgrid2,expediente,0,expedien,1
2,formclipral,dbgrid2,iyear,0,expedien,1
3,formclipral,dbgrid2,estado,0,expedien,1
4,formclipral,dbgrid2,stipoexp,0,expedien,1
5,formclipral,dbgrid2,refsiniestro,1,expedien,1
6,formclipral,dbgrid2,descripcion,0,expedien,1
7,formclipral,dbgrid2,srefabogado,0,expedien,1
8,formclipral,dbgrid2,inumexp,0,expedien,1
9,formclipotenpral,dbgrid2,expediente,0,expedien,1
10,formclipotenpral,dbgrid2,iyear,0,expedien,1
11,formclipotenpral,dbgrid2,estado,0,expedien,1
12,formclipotenpral,dbgrid2,stipoexp,0,expedien,1
13,formclipotenpral,dbgrid2,refsiniestro,1,expedien,1
14,formclipotenpral,dbgrid2,descripcion,0,expedien,1
15,formclipotenpral,dbgrid2,srefabogado,0,expedien,1
16,formclipotenpral,dbgrid2,inumexp,0,expedien,1
17,formotros,dbgrid2,expediente,0,expedien,1
18,formotros,dbgrid2,iyear,0,expedien,1
19,formotros,dbgrid2,estado,0,expedien,1
20,formotros,dbgrid2,stipoexp,0,expedien,1
21,formotros,dbgrid2,refsiniestro,1,expedien,1
22,formotros,dbgrid2,descripcion,0,expedien,1
23,formotros,dbgrid2,srefabogado,0,expedien,1
24,formotros,dbgrid2,inumexp,0,expedien,1
25,formtrabajadores,dbgrid2,expediente,0,expedien,1
26,formtrabajadores,dbgrid2,iyear,0,expedien,1
27,formtrabajadores,dbgrid2,estado,0,expedien,1
28,formtrabajadores,dbgrid2,stipoexp,0,expedien,1
29,formtrabajadores,dbgrid2,refsiniestro,1,expedien,1
30,formtrabajadores,dbgrid2,descripcion,0,expedien,1
31,formtrabajadores,dbgrid2,srefabogado,0,expedien,1
32,formtrabajadores,dbgrid2,inumexp,0,expedien,1
33,formclipral,dbgrid2,snumasunto,1,expedien,1
34,formclipral,dbgrid2,stipoproc,1,expedien,1
35,formclipral,dbgrid2,snombreclicon,1,expedien,1
36,formclipotenpral,dbgrid2,snumasunto,1,expedien,1
37,formclipotenpral,dbgrid2,stipoproc,1,expedien,1
38,formclipotenpral,dbgrid2,snombreclicon,1,expedien,1
39,formotros,dbgrid2,snumasunto,1,expedien,1
40,formotros,dbgrid2,stipoproc,1,expedien,1
41,formotros,dbgrid2,snombreclicon,1,expedien,1
42,formtrabajadores,dbgrid2,snumasunto,1,expedien,1
43,formtrabajadores,dbgrid2,stipoproc,1,expedien,1
44,formtrabajadores,dbgrid2,snombreclicon,1,expedien,1
45,formclipral,dbgrid2,refhisto,1,expedien,1
46,FormCliPotenPral,dbgrid2,refhisto,1,expedien,1
47,FormTrabajadores,dbgrid2,refhisto,1,expedien,1
48,FormOtros,dbgrid2,refhisto,1,expedien,1
49,FormOtros,DBGrid2,NomCliente,0,expedien,1
50,formtrabajadores,dbgrid2,NomCliente,0,expedien,1
51,formclipral,dbgrid2,nomsubusu,0,expedien,1
52,formclipotenpral,dbgrid2,nomsubusu,0,expedien,1
53,formotros,dbgrid2,nomsubusu,0,expedien,1
54,formtrabajadores,dbgrid2,nomsubusu,0,expedien,1
55,FormAlumnos,dbgrid2,nomsubusu,0,expedien,1
