id,id_linedcto,id_tabla,id_field,indice,numero,itabla,seccion
15374,197,1,1,1,,,
15375,197,1,2,2,,,
15376,197,1,3,3,,,
15377,197,1,4,4,,,
15378,197,1,5,5,,,
15379,197,1,6,6,,,
15380,197,1,7,7,,,
15381,197,1,8,8,,,
15382,197,1,4,9,,,
15383,197,1,274,10,,,
15384,197,4,34,11,,,
15385,197,1,1,12,,,
15812,209,1,1,1,,,
15813,209,1,2,2,,,
15814,209,1,3,3,,,
15815,209,1,4,4,,,
15816,209,1,5,5,,,
15817,209,1,6,6,,,
15818,209,1,7,7,,,
15819,209,1,8,8,,,
15820,209,1,4,9,,,
15821,209,1,274,10,,,
15822,209,4,34,11,,,
15823,209,4,72,12,,,
15824,209,4,73,13,,,
15825,209,4,74,14,,,
15826,209,4,75,15,,,
15827,209,4,76,16,,,
15828,209,4,77,17,,,
15829,209,4,20,18,,,
15830,209,4,79,19,,,
15831,209,4,78,20,,,
15832,209,4,17,21,,,
15833,209,4,18,22,,,
15834,209,36,40,23,,2,
15835,209,36,246,24,,2,
15836,209,36,71,25,,2,
15837,209,1,1,26,,,
15912,210,1,1,1,,,
15913,210,1,2,2,,,
15914,210,1,3,3,,,
15915,210,1,4,4,,,
15916,210,1,5,5,,,
15917,210,1,6,6,,,
15918,210,1,7,7,,,
15919,210,1,8,8,,,
15920,210,1,4,9,,,
15921,210,1,274,10,,,
15922,210,4,34,11,,,
15923,210,4,72,12,,,
15924,210,4,73,13,,,
15925,210,4,74,14,,,
15926,210,4,75,15,,,
15927,210,4,76,16,,,
15928,210,4,77,17,,,
15929,210,4,20,18,,,
15930,210,4,79,19,,,
15931,210,4,78,20,,,
15932,210,4,17,21,,,
15933,210,4,18,22,,,
15934,210,4,80,23,,,
15935,210,37,91,24,,,
15936,210,4,81,25,,,
15937,210,4,138,26,,,
15938,210,4,139,27,,,
15939,210,4,140,28,,,
15940,210,4,295,29,,,
15941,210,4,141,30,,,
15942,210,4,142,31,,,
15943,210,4,143,32,,,
15944,210,4,296,33,,,
15945,210,4,144,34,,,
15946,210,4,145,35,,,
15947,210,4,146,36,,,
15948,210,4,297,37,,,
15949,210,4,147,38,,,
15950,210,4,148,39,,,
