id,icodcli,inumexp,iyear,fecha,fechaliquidacion,tipocomision,tipoliquidacion,baseimponible,totaliva,totalirpf,porirpf,ctairpf,poriva,ctaiva,concepto,estado,liquidada,idprevcobros,inumfacturarelacionado,yearfactrelacionado,serierelacionado,subusufactrelacionado,idcomisionista,idLineContagastos,backcolor,formapago,ctacajban,porcenaplicado,importebase,idElementoTipo,tipoprofrelacionado
1,18,3,-1,2021-05-31 00:00:00,2021-06-21 00:00:00,,2,150.000000,,22.500000,15.000000,4730000015,,,Comisión Junio,2,False,,,,,,,11,,Transferencia,5700000000,,,,
2,18,30,-1,2021-06-21 00:00:00,,,5,15.000000,,,,,,,Radiofrecuencia INDIBA EDNA PRO,0,False,,,,,,,,,,,,,,
3,18,28,-1,2021-06-21 00:00:00,2021-06-21 00:00:00,,5,15.000000,,,,,,,Radiofrecuencia INDIBA EDNA PRO,2,False,,,,,,,,,,,,,,
4,18,26,-1,2021-06-21 00:00:00,2021-06-21 00:00:00,,5,15.000000,,,,,,,Radiofrecuencia INDIBA EDNA PRO,2,False,,,,,,,,,,,,,,
5,18,16,-1,2021-06-21 00:00:00,2021-06-21 00:00:00,,5,15.000000,,,,,,,Radiofrecuencia INDIBA EDNA PRO,2,False,,,,,,,,,,,,,,
6,20,29,-1,2021-06-21 00:00:00,,,5,165.000000,,,,,,,ZIONIC (rollactive RF)  50 min,1,False,,,,,,,,,,,,,,
7,20,26,-1,2021-06-21 00:00:00,2021-06-21 00:00:00,,5,165.000000,,,,,,,ZIONIC (rollactive RF)  50 min,2,False,,,,,,,,,,,,,,
8,20,25,-1,2021-06-21 00:00:00,2021-06-21 00:00:00,,5,165.000000,,,,,,,ZIONIC (rollactive RF)  50 min,2,False,,,,,,,,,,,,,,
9,21,13,-1,2021-06-21 00:00:00,,,5,100.000000,,,,,,,Renueva tu bono,0,False,,,,,,,,,,,,,,
10,21,12,-1,2021-06-21 00:00:00,,,5,100.000000,,,,,,,Renueva tu bono,1,False,,,,,,,,,,,,,,
11,21,11,-1,2021-06-21 00:00:00,,,5,100.000000,,,,,,,Renueva tu bono,1,False,,,,,,,,,,,,,,
12,21,10,-1,2021-06-21 00:00:00,,,5,100.000000,,,,,,,Renueva tu bono,0,False,,,,,,,,,,,,,,
13,21,6,-1,2021-06-21 00:00:00,,,5,100.000000,,,,,,,Renueva tu bono,0,False,,,,,,,,,,,,,,
14,21,5,-1,2021-06-21 00:00:00,2021-06-21 00:00:00,,5,100.000000,,,,,,,Renueva tu bono,2,False,,,,,,,,,,,,,,
15,21,4,-1,2021-06-21 00:00:00,,,5,100.000000,,,,,,,Renueva tu bono,0,False,,,,,,,,,,,,,,
16,21,3,-1,2021-06-21 00:00:00,2021-06-21 00:00:00,,5,100.000000,,,,,,,Renueva tu bono,2,False,,,,,,,,,,,,,,
17,21,2,-1,2021-06-21 00:00:00,2021-06-21 00:00:00,,5,100.000000,,,,,,,Renueva tu bono,2,False,,,,,,,,,,,,,,
18,21,1,-1,2021-06-21 00:00:00,,,5,100.000000,,,,,,,Renueva tu bono,0,False,,,,,,,,,,,,,,
19,20,28,-1,2021-06-21 00:00:00,,,5,165.000000,,,,,,,ZIONIC (rollactive RF)  50 min,1,False,,,,,,,,,,,,,,
20,18,27,-1,2021-06-21 00:00:00,,,5,15.000000,,,,,,,Radiofrecuencia INDIBA EDNA PRO,0,False,,,,,,,,,,,,,,
21,20,27,-1,2021-06-21 00:00:00,,,5,165.000000,,,,,,,ZIONIC (rollactive RF)  50 min,1,False,,,,,,,,,,,,,,
22,58,64,-1,2022-10-26 00:00:00,2022-10-28 00:00:00,,2,50.000000,2.500000,7.500000,15.000000,4750000000,5.000000,4770000005,PRUEBA MN,0,False,,,,,,,,,Contado,5700000000,,,,
